method,input_version,task,n,n_converters,auc,ci_lo,ci_hi,delta_vs_direct,delta_ci_lo,delta_ci_hi,delta_p,r2_d_mod3,pearson_d_mod3,spearman_d_mod3
direct_logistic_sparse_labels,raw,MCI_to_AD_2y,65,14,0.6400560224089636,0.48038632119514474,0.7877422077321493,,,,,,,
ridge_d_hat,raw,MCI_to_AD_2y,65,14,0.7044817927170869,0.5404402480689247,0.845596328153903,0.06518986768633815,-0.07861635220125784,0.21201258912655982,0.3832,0.2370208374243633,0.5123545020823749,0.4667079120022348
oracle_true_d_mod3,raw,MCI_to_AD_2y,65,14,0.6624649859943977,0.49881688047559447,0.8108755641521599,0.022794296031858077,-0.14088452380952374,0.1913402861144456,0.7968,,,
euclidean_contrastive_z_setup3,raw,MCI_to_AD_2y,65,14,0.7394957983193278,0.5933333333333333,0.8676524996890932,0.10027912999665099,-0.03873522965504096,0.24686008519559297,0.1648,,,
direct_logistic_sparse_labels,raw,CN_to_MCI_2y,59,5,0.31481481481481477,0.14545454545454548,0.49317082388510936,,,,,,,
ridge_d_hat,raw,CN_to_MCI_2y,59,5,0.7666666666666666,0.4736842105263158,0.956140350877193,0.45130170268785874,0.08166666666666665,0.7449325674325672,0.03411599438089504,0.2370208374243633,0.5123545020823749,0.4667079120022348
oracle_true_d_mod3,raw,CN_to_MCI_2y,59,5,0.6518518518518519,0.4407407407407407,0.8481481481481481,0.33652720664645636,0.017241379310344862,0.6190476190476191,0.04415011037527594,,,
euclidean_contrastive_z_setup3,raw,CN_to_MCI_2y,59,5,0.7074074074074075,0.4910845295055821,0.8967799188640972,0.3927285753698614,0.0654761904761905,0.6820754716981131,0.02006823198876179,,,
direct_logistic_sparse_labels,combat,MCI_to_AD_2y,65,14,0.6834733893557423,0.5277515723270441,0.8218259485612427,,,,,,,
ridge_d_hat,combat,MCI_to_AD_2y,65,14,0.7717086834733894,0.6190436507936509,0.8977600946038793,0.08879390290911253,-0.02414866765971523,0.2149177242752271,0.1368,0.14760243322690314,0.4450355542121561,0.4376833484057679
oracle_true_d_mod3,combat,MCI_to_AD_2y,65,14,0.6624649859943977,0.49881688047559447,0.8108755641521599,-0.020781935207373176,-0.18639053254437865,0.1482843137254901,0.8124,,,
euclidean_contrastive_z_setup3,combat,MCI_to_AD_2y,65,14,0.7086834733893558,0.530812324929972,0.8585901386748843,0.026587083010279657,-0.0933455377574371,0.16431209895305623,0.7064,,,
direct_logistic_sparse_labels,combat,CN_to_MCI_2y,59,5,0.2777777777777778,0.12666666666666668,0.45024725274725264,,,,,,,
ridge_d_hat,combat,CN_to_MCI_2y,59,5,0.8444444444444444,0.6964285714285714,0.9545454545454545,0.5686534650551853,0.33333333333333337,0.7818181818181817,0.0,0.14760243322690314,0.4450355542121561,0.4376833484057679
oracle_true_d_mod3,combat,CN_to_MCI_2y,59,5,0.6518518518518519,0.4407407407407407,0.8481481481481481,0.3755320185630099,0.05228070175438593,0.6226415094339623,0.02970098334336745,,,
euclidean_contrastive_z_setup3,combat,CN_to_MCI_2y,59,5,0.5962962962962963,0.2712280701754386,0.8771929824561403,0.3218853790033657,-0.034591194968553535,0.6724137931034482,0.07385109371864339,,,
