method,input_version,task,horizon_years,n,n_converters,n_nonconverters,auc,ci_lo,ci_hi,delta_vs_direct,delta_ci_lo,delta_ci_hi,delta_p,r2_days,pearson_score_neg_days,spearman_score_neg_days
direct_logistic_sparse_labels,raw,MCI_to_AD_1y,1,85,4,81,0.6666666666666667,0.5,0.8380015432098765,,,,,,,
ridge_d_hat,raw,MCI_to_AD_1y,1,85,4,81,0.8425925925925926,0.7289156626506024,0.941035708704485,0.17499545104014763,-0.012195121951219523,0.36904761904761907,0.08307880268784362,,,
oracle_true_d_mod3,raw,MCI_to_AD_1y,1,85,4,81,0.6697530864197532,0.3766033349366683,0.9457831325301205,0.0013783486004846153,-0.28048780487804875,0.27669469085131737,0.9806556709427815,,,
euclidean_contrastive_z_setup3,raw,MCI_to_AD_1y,1,85,4,81,0.8209876543209877,0.6385542168674699,0.9634146341463414,0.15451649638140194,-0.06779948446615111,0.3459915611814346,0.13439218081857054,,,
direct_logistic_sparse_labels,raw,MCI_to_AD_2y,2,65,14,51,0.6400560224089636,0.48038632119514474,0.7877422077321493,,,,,,,
ridge_d_hat,raw,MCI_to_AD_2y,2,65,14,51,0.7044817927170869,0.5404402480689247,0.845596328153903,0.06518986768633815,-0.07861635220125784,0.21201258912655982,0.3832,,,
oracle_true_d_mod3,raw,MCI_to_AD_2y,2,65,14,51,0.6624649859943977,0.49881688047559447,0.8108755641521599,0.022794296031858077,-0.14088452380952374,0.1913402861144456,0.7968,,,
euclidean_contrastive_z_setup3,raw,MCI_to_AD_2y,2,65,14,51,0.7549019607843137,0.6066654411764705,0.8829540043290041,0.11578975986068576,-0.010909090909090872,0.25001666666666644,0.0752,,,
direct_logistic_sparse_labels,raw,MCI_to_AD_3y,3,51,19,32,0.768092105263158,0.6279419191919192,0.8857164902998236,,,,,,,
ridge_d_hat,raw,MCI_to_AD_3y,3,51,19,32,0.7779605263157895,0.6285266457680251,0.9008297962648554,0.009689665007000072,-0.11284511784511782,0.13045576632533137,0.8812,,,
oracle_true_d_mod3,raw,MCI_to_AD_3y,3,51,19,32,0.6858552631578947,0.5235554558745348,0.8397741312741311,-0.08269491276547188,-0.2582236842105263,0.09110817701693662,0.3384,,,
euclidean_contrastive_z_setup3,raw,MCI_to_AD_3y,3,51,19,32,0.819078947368421,0.689642411524501,0.9258064516129032,0.05018579459897469,-0.05901131905851591,0.1676940789473683,0.3816,,,
direct_logistic_sparse_labels,raw,MCI_to_AD_4y,4,45,22,23,0.6640316205533597,0.49792750156022475,0.817469153653364,,,,,,,
ridge_d_hat,raw,MCI_to_AD_4y,4,45,22,23,0.7312252964426877,0.5647773279352227,0.875,0.0671331392095921,-0.08695872205597611,0.22199999999999998,0.3848,,,
oracle_true_d_mod3,raw,MCI_to_AD_4y,4,45,22,23,0.6640316205533597,0.48595474308300396,0.816,-0.000630354965778972,-0.21938339920948616,0.22066517578531292,0.9924,,,
euclidean_contrastive_z_setup3,raw,MCI_to_AD_4y,4,45,22,23,0.7608695652173914,0.6071428571428572,0.8919999999999999,0.09684456441502017,-0.0622354925775979,0.255062811349361,0.2332,,,
direct_logistic_sparse_labels,raw,CN_to_MCI_2y,2,59,5,54,0.31481481481481477,0.14545454545454548,0.49317082388510936,,,,,,,
ridge_d_hat,raw,CN_to_MCI_2y,2,59,5,54,0.7666666666666666,0.4736842105263158,0.956140350877193,0.45130170268785874,0.08166666666666665,0.7449325674325672,0.03411599438089504,,,
oracle_true_d_mod3,raw,CN_to_MCI_2y,2,59,5,54,0.6518518518518519,0.4407407407407407,0.8481481481481481,0.33652720664645636,0.017241379310344862,0.6190476190476191,0.04415011037527594,,,
euclidean_contrastive_z_setup3,raw,CN_to_MCI_2y,2,59,5,54,0.6851851851851852,0.3971153846153846,0.9120118874835855,0.3707040275396864,0.005952380952380962,0.6542938822184104,0.04776239213325306,,,
direct_logistic_sparse_labels,raw,CN_to_MCI_3y,3,49,9,40,0.41111111111111115,0.2380952380952381,0.5909368070953438,,,,,,,
ridge_d_hat,raw,CN_to_MCI_3y,3,49,9,40,0.7027777777777777,0.5,0.8846901709401712,0.2916136673273079,0.018275484677923715,0.5580628943901259,0.03960792158431686,,,
oracle_true_d_mod3,raw,CN_to_MCI_3y,3,49,9,40,0.5777777777777778,0.4136067193675889,0.7393135435992583,0.16871509161068335,-0.07364341085271314,0.39725907029478463,0.16643328665733145,,,
euclidean_contrastive_z_setup3,raw,CN_to_MCI_3y,3,49,9,40,0.5861111111111111,0.39852114758947055,0.7726159085915186,0.1766595855332914,-0.1054421768707483,0.4500225225225226,0.21804360872174436,,,
direct_logistic_sparse_labels,raw,CN_to_MCI_4y,4,42,9,33,0.44781144781144777,0.24339383371641438,0.6527919501133788,,,,,,,
ridge_d_hat,raw,CN_to_MCI_4y,4,42,9,33,0.6868686868686869,0.4749632352941176,0.8713511029411766,0.24331205422613014,-0.027064564564564558,0.5117845117845119,0.07921584316863373,,,
oracle_true_d_mod3,raw,CN_to_MCI_4y,4,42,9,33,0.5858585858585859,0.41202342047930285,0.7551020408163265,0.14411458989398665,-0.1433979860272555,0.4117783224400873,0.3320664132826565,,,
