method,input_version,task,horizon_years,n,n_converters,n_nonconverters,auc,ci_lo,ci_hi,delta_vs_direct,delta_ci_lo,delta_ci_hi,delta_p,r2_days,pearson_score_neg_days,spearman_score_neg_days
direct_logistic_sparse_labels,raw,MCI_to_AD_1y,1,85,4,81,0.6666666666666667,0.5,0.8380015432098765,,,,,,,
ridge_d_hat,raw,MCI_to_AD_1y,1,85,4,81,0.8425925925925926,0.7289156626506024,0.941035708704485,0.1749954510401476,-0.0121951219512195,0.369047619047619,0.0830788026878436,,,
oracle_true_d_mod3,raw,MCI_to_AD_1y,1,85,4,81,0.6697530864197532,0.3766033349366683,0.9457831325301204,0.0013783486004846,-0.2804878048780487,0.2766946908513173,0.9806556709427816,,,
euclidean_contrastive_z_setup3,raw,MCI_to_AD_1y,1,85,4,81,0.8209876543209877,0.6385542168674699,0.9634146341463414,0.1545164963814019,-0.0677994844661511,0.3459915611814346,0.1343921808185705,,,
direct_logistic_sparse_labels,raw,MCI_to_AD_2y,2,65,14,51,0.6400560224089636,0.4803863211951447,0.7877422077321493,,,,,,,
ridge_d_hat,raw,MCI_to_AD_2y,2,65,14,51,0.7044817927170869,0.5404402480689247,0.845596328153903,0.0651898676863381,-0.0786163522012578,0.2120125891265598,0.3832,,,
oracle_true_d_mod3,raw,MCI_to_AD_2y,2,65,14,51,0.6624649859943977,0.4988168804755944,0.8108755641521599,0.022794296031858,-0.1408845238095237,0.1913402861144456,0.7968,,,
euclidean_contrastive_z_setup3,raw,MCI_to_AD_2y,2,65,14,51,0.7549019607843137,0.6066654411764705,0.8829540043290041,0.1157897598606857,-0.0109090909090908,0.2500166666666664,0.0752,,,
direct_logistic_sparse_labels,raw,MCI_to_AD_3y,3,51,19,32,0.768092105263158,0.6279419191919192,0.8857164902998236,,,,,,,
ridge_d_hat,raw,MCI_to_AD_3y,3,51,19,32,0.7779605263157895,0.6285266457680251,0.9008297962648554,0.009689665007,-0.1128451178451178,0.1304557663253313,0.8812,,,
oracle_true_d_mod3,raw,MCI_to_AD_3y,3,51,19,32,0.6858552631578947,0.5235554558745348,0.8397741312741311,-0.0826949127654718,-0.2582236842105263,0.0911081770169366,0.3384,,,
euclidean_contrastive_z_setup3,raw,MCI_to_AD_3y,3,51,19,32,0.819078947368421,0.689642411524501,0.9258064516129032,0.0501857945989746,-0.0590113190585159,0.1676940789473683,0.3816,,,
direct_logistic_sparse_labels,raw,MCI_to_AD_4y,4,45,22,23,0.6640316205533597,0.4979275015602247,0.817469153653364,,,,,,,
ridge_d_hat,raw,MCI_to_AD_4y,4,45,22,23,0.7312252964426877,0.5647773279352227,0.875,0.0671331392095921,-0.0869587220559761,0.2219999999999999,0.3848,,,
oracle_true_d_mod3,raw,MCI_to_AD_4y,4,45,22,23,0.6640316205533597,0.4859547430830039,0.816,-0.0006303549657789,-0.2193833992094861,0.2206651757853129,0.9924,,,
euclidean_contrastive_z_setup3,raw,MCI_to_AD_4y,4,45,22,23,0.7608695652173914,0.6071428571428572,0.8919999999999999,0.0968445644150201,-0.0622354925775979,0.255062811349361,0.2332,,,
direct_logistic_sparse_labels,raw,CN_to_MCI_2y,2,59,5,54,0.3148148148148147,0.1454545454545454,0.4931708238851093,,,,,,,
ridge_d_hat,raw,CN_to_MCI_2y,2,59,5,54,0.7666666666666666,0.4736842105263158,0.956140350877193,0.4513017026878587,0.0816666666666666,0.7449325674325672,0.034115994380895,,,
oracle_true_d_mod3,raw,CN_to_MCI_2y,2,59,5,54,0.6518518518518519,0.4407407407407407,0.8481481481481481,0.3365272066464563,0.0172413793103448,0.6190476190476191,0.0441501103752759,,,
euclidean_contrastive_z_setup3,raw,CN_to_MCI_2y,2,59,5,54,0.6851851851851852,0.3971153846153846,0.9120118874835856,0.3707040275396864,0.0059523809523809,0.6542938822184104,0.047762392133253,,,
direct_logistic_sparse_labels,raw,CN_to_MCI_3y,3,49,9,40,0.4111111111111111,0.2380952380952381,0.5909368070953438,,,,,,,
ridge_d_hat,raw,CN_to_MCI_3y,3,49,9,40,0.7027777777777777,0.5,0.8846901709401712,0.2916136673273079,0.0182754846779237,0.5580628943901259,0.0396079215843168,,,
oracle_true_d_mod3,raw,CN_to_MCI_3y,3,49,9,40,0.5777777777777778,0.4136067193675889,0.7393135435992583,0.1687150916106833,-0.0736434108527131,0.3972590702947846,0.1664332866573314,,,
euclidean_contrastive_z_setup3,raw,CN_to_MCI_3y,3,49,9,40,0.5861111111111111,0.3985211475894705,0.7726159085915186,0.1766595855332914,-0.1054421768707483,0.4500225225225226,0.2180436087217443,,,
direct_logistic_sparse_labels,raw,CN_to_MCI_4y,4,42,9,33,0.4478114478114477,0.2433938337164143,0.6527919501133788,,,,,,,
ridge_d_hat,raw,CN_to_MCI_4y,4,42,9,33,0.6868686868686869,0.4749632352941176,0.8713511029411766,0.2433120542261301,-0.0270645645645645,0.5117845117845119,0.0792158431686337,,,
oracle_true_d_mod3,raw,CN_to_MCI_4y,4,42,9,33,0.5858585858585859,0.4120234204793028,0.7551020408163265,0.1441145898939866,-0.1433979860272555,0.4117783224400873,0.3320664132826565,,,
euclidean_contrastive_z_setup3,raw,CN_to_MCI_4y,4,42,9,33,0.5454545454545454,0.3333333333333333,0.74375,0.1013728999738962,-0.1898148148148147,0.412037037037037,0.5173034606921384,,,
ridge_d_hat,raw,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.1216681888017474,0.2812860727636583,0.2411067193675889
euclidean_contrastive_z_setup3,raw,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.0733450617732371,0.0069195217194675,-0.0141163184641445
direct_768_ridge_time,raw,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.6518486770186016,-0.0261691492698619,-0.0581592320722755
oracle_true_d_mod3,raw,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-4.019868159245994,0.0050889812413116,0.1157538114059853
direct_logistic_sparse_labels,combat,MCI_to_AD_1y,1,85,4,81,0.6450617283950617,0.4819277108433735,0.8333333333333333,,,,,,,
ridge_d_hat,combat,MCI_to_AD_1y,1,85,4,81,0.8271604938271605,0.7312409812409812,0.9096385542168676,0.1810969275286204,-0.0148470356803689,0.3611947791164659,0.0712685807371207,,,
oracle_true_d_mod3,combat,MCI_to_AD_1y,1,85,4,81,0.6697530864197532,0.3766033349366683,0.9457831325301204,0.0222766654533635,-0.2377645502645503,0.3132530120481928,0.8882101405009163,,,
euclidean_contrastive_z_setup3,combat,MCI_to_AD_1y,1,85,4,81,0.7438271604938271,0.5476190476190476,0.9642857142857144,0.0992834383757319,-0.0863821138211381,0.2710843373493976,0.2541233964569334,,,
direct_logistic_sparse_labels,combat,MCI_to_AD_2y,2,65,14,51,0.6834733893557423,0.5277515723270441,0.8218259485612427,,,,,,,
