method,input_version,task,horizon_years,n,n_converters,n_nonconverters,auc,ci_lo,ci_hi,delta_vs_direct,delta_ci_lo,delta_ci_hi,delta_p,r2_days,pearson_score_neg_days,spearman_score_neg_days
ridge_d_hat,raw,MCI_to_AD_1y,1,85,4,81,0.8425925925925926,0.7289156626506024,0.941035708704485,0.1749954510401476,-0.0121951219512195,0.369047619047619,0.0830788026878436,,,
ridge_d_hat,raw,MCI_to_AD_2y,2,65,14,51,0.7044817927170869,0.5404402480689247,0.845596328153903,0.0651898676863381,-0.0786163522012578,0.2120125891265598,0.3832,,,
ridge_d_hat,raw,MCI_to_AD_3y,3,51,19,32,0.7779605263157895,0.6285266457680251,0.9008297962648554,0.009689665007,-0.1128451178451178,0.1304557663253313,0.8812,,,
ridge_d_hat,raw,MCI_to_AD_4y,4,45,22,23,0.7312252964426877,0.5647773279352227,0.875,0.0671331392095921,-0.0869587220559761,0.2219999999999999,0.3848,,,
ridge_d_hat,raw,CN_to_MCI_2y,2,59,5,54,0.7666666666666666,0.4736842105263158,0.956140350877193,0.4513017026878587,0.0816666666666666,0.7449325674325672,0.034115994380895,,,
ridge_d_hat,raw,CN_to_MCI_3y,3,49,9,40,0.7027777777777777,0.5,0.8846901709401712,0.2916136673273079,0.0182754846779237,0.5580628943901259,0.0396079215843168,,,
ridge_d_hat,raw,CN_to_MCI_4y,4,42,9,33,0.6868686868686869,0.4749632352941176,0.8713511029411766,0.2433120542261301,-0.0270645645645645,0.5117845117845119,0.0792158431686337,,,
ridge_d_hat,raw,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.1216681888017474,0.2812860727636583,0.2411067193675889
ridge_d_hat,combat,MCI_to_AD_1y,1,85,4,81,0.8271604938271605,0.7312409812409812,0.9096385542168676,0.1810969275286204,-0.0148470356803689,0.3611947791164659,0.0712685807371207,,,
ridge_d_hat,combat,MCI_to_AD_2y,2,65,14,51,0.7717086834733894,0.6190436507936509,0.8977600946038793,0.0887939029091125,-0.0241486676597152,0.2149177242752271,0.1368,,,
ridge_d_hat,combat,MCI_to_AD_3y,3,51,19,32,0.8108552631578947,0.6717099567099567,0.9285714285714286,0.028222780932772,-0.0714453649798477,0.1349517236562143,0.6032,,,
ridge_d_hat,combat,MCI_to_AD_4y,4,45,22,23,0.7628458498023716,0.6086956521739131,0.896,0.094454877303369,-0.0515873015873015,0.2411067193675888,0.2096,,,
ridge_d_hat,combat,CN_to_MCI_2y,2,59,5,54,0.8444444444444444,0.6964285714285714,0.9545454545454544,0.5686534650551853,0.3333333333333333,0.7818181818181817,0.0,,,
ridge_d_hat,combat,CN_to_MCI_3y,3,49,9,40,0.7194444444444444,0.5476190476190477,0.8743910256410258,0.3145418087594727,0.0502272727272726,0.5797101449275363,0.0212042408481696,,,
ridge_d_hat,combat,CN_to_MCI_4y,4,42,9,33,0.6936026936026936,0.5026696083838941,0.8545972876330019,0.2485632963849891,-0.0394736842105263,0.525735294117647,0.0944188837767553,,,
ridge_d_hat,combat,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.0302978585848956,0.0175571535811255,0.0175042348955392
