version,metric,n,auc_or_value,n_pos
raw,d_mod3_R2,239,0.07685795511779125,
raw,d_mod3_pearson,239,0.3458317185423631,
raw,d_mod3_spearman,239,0.32542632115607745,
raw,NORMAL_vs_AD_AUC,125,0.7446808510638299,31.0
raw,NORMAL_vs_MCI_AUC,208,0.4954273982829414,114.0
raw,MCI_vs_AD_AUC,145,0.72354272778721,31.0
raw,3class_macro_direct_MCI,239,0.5743114693381562,
raw,3class_macro_middle_MCI,239,0.5763933406831855,
raw,OvR_NORMAL,239,0.5487160674981658,
raw,OvR_MCI_direct,239,0.44112280701754386,
raw,OvR_MCI_middle,239,0.4473684210526316,
raw,OvR_AD,239,0.7330955334987592,
combat,d_mod3_R2,239,0.08188668527274379,
combat,d_mod3_pearson,239,0.36858538676336244,
combat,d_mod3_spearman,239,0.35945641855068383,
combat,NORMAL_vs_AD_AUC,125,0.7707618393960192,31.0
combat,NORMAL_vs_MCI_AUC,208,0.5084919746173945,114.0
combat,MCI_vs_AD_AUC,145,0.7232597623089984,31.0
combat,3class_macro_direct_MCI,239,0.5867693513184759,
combat,3class_macro_middle_MCI,239,0.5777635033652594,
combat,OvR_NORMAL,239,0.5645634629493763,
combat,OvR_MCI_direct,239,0.4510175438596491,
combat,OvR_MCI_middle,239,0.424,
combat,OvR_AD,239,0.744727047146402,
