input_version,task,score_type,loss_mode,horizons,n_test_sum,n_converters_sum,auc_mean,auc_weighted_by_n,auc_weighted_by_converters
combat,CN_to_MCI,setup3_s_direct,hybrid,2/3/4,282,23,0.6790531443538713,0.6790531443538713,0.6697433834305584
combat,CN_to_MCI,setup3_probe,hybrid,2/3/4,282,23,0.6664708330273432,0.6664708330273432,0.6565361073594067
combat,CN_to_MCI,setup3_s_direct,hybrid_basic,2/3/4,282,23,0.6477736163129422,0.6477736163129422,0.638886174890083
combat,CN_to_MCI,setup3_probe,hybrid_basic,2/3/4,282,23,0.6467650730704267,0.6467650730704267,0.6400471277910285
combat,CN_to_MCI,setup3_s_direct,rank_kendall,2/3/4,282,23,0.6192161758586082,0.6192161758586082,0.6143509870973304
combat,CN_to_MCI,setup3_probe,euclidean,2/3/4,282,23,0.599769895473795,0.5997698954737949,0.5962125348429552
combat,CN_to_MCI,setup3_s_direct,rank_kendall_basic,2/3/4,282,23,0.5798193434677242,0.5798193434677241,0.5786545590390528
combat,CN_to_MCI,setup3_probe,rank_kendall_basic,2/3/4,282,23,0.49042128711659444,0.49042128711659444,0.4873875686082933
combat,CN_to_MCI,setup3_probe,rank_kendall,2/3/4,282,23,0.48504075787618417,0.48504075787618417,0.48615190091669297
combat,CN_to_MCI,setup3_s_direct,euclidean,2/3/4,282,23,0.3333920834251303,0.3333920834251303,0.34564786344435183
raw,CN_to_MCI,setup3_probe,euclidean,2/3/4,282,23,0.5992558321705711,0.5992558321705711,0.5870111210092244
raw,CN_to_MCI,setup3_probe,hybrid_basic,2/3/4,282,23,0.5945166580989449,0.5945166580989448,0.5830110060633926
raw,CN_to_MCI,setup3_s_direct,hybrid,2/3/4,282,23,0.593194781033512,0.593194781033512,0.5841949481306934
raw,CN_to_MCI,setup3_s_direct,rank_kendall,2/3/4,282,23,0.590428630878069,0.5904286308780691,0.5860283341475329
raw,CN_to_MCI,setup3_s_direct,hybrid_basic,2/3/4,282,23,0.589449462681452,0.589449462681452,0.5817523492054368
raw,CN_to_MCI,setup3_probe,hybrid,2/3/4,282,23,0.58909696213067,0.58909696213067,0.5774303859306302
raw,CN_to_MCI,setup3_s_direct,rank_kendall_basic,2/3/4,282,23,0.5569019118259039,0.5569019118259039,0.5537055662519038
raw,CN_to_MCI,setup3_probe,rank_kendall_basic,2/3/4,282,23,0.48640180166948177,0.48640180166948177,0.4893129112905543
raw,CN_to_MCI,setup3_s_direct,euclidean,2/3/4,282,23,0.47541553450343926,0.4754155345034393,0.4705537515445845
raw,CN_to_MCI,setup3_probe,rank_kendall,2/3/4,282,23,0.45954811387726124,0.45954811387726124,0.46247880686226617
combat,MCI_to_AD,setup3_s_direct,hybrid_basic,1/2/3/4,456,59,0.8106719406692308,0.8106719406692307,0.7989874582617862
combat,MCI_to_AD,setup3_probe,hybrid_basic,1/2/3/4,456,59,0.8063925787268255,0.8063925787268255,0.797555154382909
combat,MCI_to_AD,setup3_probe,hybrid,1/2/3/4,456,59,0.7861764348201479,0.786176434820148,0.7830764809793629
combat,MCI_to_AD,setup3_s_direct,hybrid,1/2/3/4,456,59,0.7858701732748764,0.7858701732748764,0.7751601301773897
combat,MCI_to_AD,setup3_probe,euclidean,1/2/3/4,456,59,0.7782665336891219,0.7782665336891219,0.7824808101180128
combat,MCI_to_AD,setup3_probe,rank_kendall_basic,1/2/3/4,456,59,0.7595288844901937,0.7595288844901936,0.7351331215423835
combat,MCI_to_AD,setup3_probe,rank_kendall,1/2/3/4,456,59,0.7594997818031661,0.7594997818031661,0.7357452232443505
combat,MCI_to_AD,setup3_s_direct,rank_kendall_basic,1/2/3/4,456,59,0.7500839881845242,0.750083988184524,0.7483958069623042
combat,MCI_to_AD,setup3_s_direct,rank_kendall,1/2/3/4,456,59,0.7374309238876262,0.7374309238876263,0.7350558683840304
combat,MCI_to_AD,setup3_s_direct,euclidean,1/2/3/4,456,59,0.20841585188267106,0.20841585188267106,0.2090353051517384
raw,MCI_to_AD,setup3_s_direct,hybrid,1/2/3/4,456,59,0.8033647750539236,0.8033647750539236,0.7950390496909522
raw,MCI_to_AD,setup3_probe,hybrid,1/2/3/4,456,59,0.8016812085601981,0.8016812085601981,0.8006068480640873
raw,MCI_to_AD,setup3_probe,hybrid_basic,1/2/3/4,456,59,0.7829031538436272,0.7829031538436272,0.7779216749584822
raw,MCI_to_AD,setup3_probe,euclidean,1/2/3/4,456,59,0.7812034200594058,0.7812034200594057,0.7940460768723577
raw,MCI_to_AD,setup3_probe,rank_kendall,1/2/3/4,456,59,0.774486455372882,0.774486455372882,0.7473684210526316
raw,MCI_to_AD,setup3_s_direct,hybrid_basic,1/2/3/4,456,59,0.7665563514830346,0.7665563514830346,0.7508220356612708
raw,MCI_to_AD,setup3_probe,rank_kendall_basic,1/2/3/4,456,59,0.7599364198670173,0.7599364198670173,0.7374429592437582
raw,MCI_to_AD,setup3_s_direct,rank_kendall,1/2/3/4,456,59,0.7198695315884887,0.7198695315884887,0.7210152214461256
raw,MCI_to_AD,setup3_s_direct,rank_kendall_basic,1/2/3/4,456,59,0.7164432703873267,0.7164432703873268,0.7169922041655354
raw,MCI_to_AD,setup3_s_direct,euclidean,1/2/3/4,456,59,0.7027188439947382,0.7027188439947382,0.7282304407766921
