epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,lambda_rank
1,299.5869542172081,299.5869542172081,0.0073836673247186764,euclidean,1.0,1.0,10.0,1.0
2,270.9375658537212,270.9375658537212,-0.021499461862013527,euclidean,1.0,1.0,10.0,1.0
3,249.0450832969264,249.0450832969264,0.009498160209898887,euclidean,1.0,1.0,10.0,1.0
4,239.8102344713713,239.8102344713713,0.025528312636245238,euclidean,1.0,1.0,10.0,1.0
5,225.09138006913034,225.09138006913034,0.013717192445734614,euclidean,1.0,1.0,10.0,1.0
6,214.99890217028167,214.99890217028167,0.0302851221426145,euclidean,1.0,1.0,10.0,1.0
7,203.0170609323602,203.0170609323602,0.009532392319095763,euclidean,1.0,1.0,10.0,1.0
8,191.1917580052426,191.1917580052426,-0.02904856668809723,euclidean,1.0,1.0,10.0,1.0
9,179.896484375,179.896484375,-0.016022818653207076,euclidean,1.0,1.0,10.0,1.0
10,167.92662931743422,167.92662931743422,-0.006108864063495084,euclidean,1.0,1.0,10.0,1.0
11,158.40944952713815,158.40944952713815,0.025100870842212124,euclidean,1.0,1.0,10.0,1.0
12,148.63134123149672,148.63134123149672,-0.011742035000536003,euclidean,1.0,1.0,10.0,1.0
13,138.9998369718853,138.9998369718853,-0.006403243132425766,euclidean,1.0,1.0,10.0,1.0
14,129.78645043624076,129.78645043624076,0.0017453149867881286,euclidean,1.0,1.0,10.0,1.0
15,120.62655719957854,120.62655719957854,-0.014476560362565675,euclidean,1.0,1.0,10.0,1.0
16,111.17043625681023,111.17043625681023,-0.036134045091641476,euclidean,1.0,1.0,10.0,1.0
17,101.19673518130654,101.19673518130654,-0.01882227546976585,euclidean,1.0,1.0,10.0,1.0
18,91.35074896561473,91.35074896561473,-0.01671717528676565,euclidean,1.0,1.0,10.0,1.0
19,82.6042251586914,82.6042251586914,-0.03498662282761775,euclidean,1.0,1.0,10.0,1.0
20,75.70630043431332,75.70630043431332,0.010560358433347,euclidean,1.0,1.0,10.0,1.0
21,70.42727380049855,70.42727380049855,0.0169673129184,euclidean,1.0,1.0,10.0,1.0
22,64.55807033338044,64.55807033338044,0.019112162524834275,euclidean,1.0,1.0,10.0,1.0
23,60.31946623952765,60.31946623952765,0.04679404311862431,euclidean,1.0,1.0,10.0,1.0
24,54.65387605365954,54.65387605365954,0.019661708440827697,euclidean,1.0,1.0,10.0,1.0
25,50.909449326364616,50.909449326364616,0.052388719797722604,euclidean,1.0,1.0,10.0,1.0
26,47.5925158450478,47.5925158450478,0.036407801592232364,euclidean,1.0,1.0,10.0,1.0
27,43.21662742213199,43.21662742213199,0.012108216772934324,euclidean,1.0,1.0,10.0,1.0
28,39.71288159019068,39.71288159019068,0.03376995710852115,euclidean,1.0,1.0,10.0,1.0
29,36.42530401129471,36.42530401129471,0.023871741233099448,euclidean,1.0,1.0,10.0,1.0
30,33.23292943050987,33.23292943050987,0.016011471124856097,euclidean,1.0,1.0,10.0,1.0
31,29.85873754400956,29.85873754400956,-0.009722094210845075,euclidean,1.0,1.0,10.0,1.0
32,27.121413883410003,27.121413883410003,0.03780232820855944,euclidean,1.0,1.0,10.0,1.0
33,23.97553233096474,23.97553233096474,-0.008474676840705797,euclidean,1.0,1.0,10.0,1.0
34,21.083356355365954,21.083356355365954,0.010869960224035344,euclidean,1.0,1.0,10.0,1.0
35,18.39854521500437,18.39854521500437,-0.003905099577662584,euclidean,1.0,1.0,10.0,1.0
36,15.931578736556204,15.931578736556204,0.01432843219586893,euclidean,1.0,1.0,10.0,1.0
37,13.378391366255912,13.378391366255912,0.023589252371733125,euclidean,1.0,1.0,10.0,1.0
38,11.093163791455721,11.093163791455721,0.056360218624927495,euclidean,1.0,1.0,10.0,1.0
39,9.242766731663755,9.242766731663755,0.05941021189975895,euclidean,1.0,1.0,10.0,1.0
40,7.526144353966964,7.526144353966964,0.03922421782963762,euclidean,1.0,1.0,10.0,1.0
41,6.238773120077033,6.238773120077033,0.024502085092918652,euclidean,1.0,1.0,10.0,1.0
42,5.421827441767642,5.421827441767642,0.024950782328615834,euclidean,1.0,1.0,10.0,1.0
43,5.006677602466784,5.006677602466784,0.017551671924976336,euclidean,1.0,1.0,10.0,1.0
44,4.870390239514802,4.870390239514802,0.024675845150149575,euclidean,1.0,1.0,10.0,1.0
45,4.838728252210115,4.838728252210115,0.02109560422219434,euclidean,1.0,1.0,10.0,1.0
46,4.832775090870104,4.832775090870104,0.03322125797919733,euclidean,1.0,1.0,10.0,1.0
47,4.8301295732197005,4.8301295732197005,0.040085664864531474,euclidean,1.0,1.0,10.0,1.0
48,4.828402895676462,4.828402895676462,0.03602317041919665,euclidean,1.0,1.0,10.0,1.0
49,4.828118223893015,4.828118223893015,0.03133067395538092,euclidean,1.0,1.0,10.0,1.0
50,4.826775651229055,4.826775651229055,0.03563995742680211,euclidean,1.0,1.0,10.0,1.0
51,4.8247505238181665,4.8247505238181665,0.028231774358765074,euclidean,1.0,1.0,10.0,1.0
52,4.82500319731863,4.82500319731863,0.030690524285953296,euclidean,1.0,1.0,10.0,1.0
53,4.824302773726614,4.824302773726614,0.030468317968035608,euclidean,1.0,1.0,10.0,1.0
54,4.823744874251516,4.823744874251516,0.041549977797426675,euclidean,1.0,1.0,10.0,1.0
55,4.823384134392989,4.823384134392989,0.04192721912343251,euclidean,1.0,1.0,10.0,1.0
56,4.822537020633095,4.822537020633095,0.045783409750775286,euclidean,1.0,1.0,10.0,1.0
57,4.821887116683157,4.821887116683157,0.03720459894056579,euclidean,1.0,1.0,10.0,1.0
58,4.820734325208162,4.820734325208162,0.039619408106725464,euclidean,1.0,1.0,10.0,1.0
59,4.8216738198932845,4.8216738198932845,0.039032464209747944,euclidean,1.0,1.0,10.0,1.0
60,4.8207472500048185,4.8207472500048185,0.0342900499603466,euclidean,1.0,1.0,10.0,1.0
61,4.820649799547698,4.820649799547698,0.03382124242029692,euclidean,1.0,1.0,10.0,1.0
62,4.820327206661827,4.820327206661827,0.03591413090103551,euclidean,1.0,1.0,10.0,1.0
63,4.818431753861277,4.818431753861277,0.023881692721165325,euclidean,1.0,1.0,10.0,1.0
64,4.817944426285593,4.817944426285593,0.032084454341154346,euclidean,1.0,1.0,10.0,1.0
65,4.818732136174252,4.818732136174252,0.03063191266770254,euclidean,1.0,1.0,10.0,1.0
66,4.818046469437449,4.818046469437449,0.0359533626194063,euclidean,1.0,1.0,10.0,1.0
67,4.816636562347412,4.816636562347412,0.03677880381675143,euclidean,1.0,1.0,10.0,1.0
68,4.817443170045552,4.817443170045552,0.03137714897380456,euclidean,1.0,1.0,10.0,1.0
69,4.818561528858385,4.818561528858385,0.034809537746600415,euclidean,1.0,1.0,10.0,1.0
70,4.814879618192974,4.814879618192974,0.03531216910893196,euclidean,1.0,1.0,10.0,1.0
71,4.818247970781829,4.818247970781829,0.036971693074232655,euclidean,1.0,1.0,10.0,1.0
72,4.815824860020688,4.815824860020688,0.04236692160760101,euclidean,1.0,1.0,10.0,1.0
73,4.816928311398155,4.816928311398155,0.03665518819501525,euclidean,1.0,1.0,10.0,1.0
74,4.816301772468968,4.816301772468968,0.03831902744346544,euclidean,1.0,1.0,10.0,1.0
75,4.814315971575286,4.814315971575286,0.04285890408056347,euclidean,1.0,1.0,10.0,1.0
76,4.815439349726627,4.815439349726627,0.04292143204886662,euclidean,1.0,1.0,10.0,1.0
77,4.812682503148129,4.812682503148129,0.04475675513477702,euclidean,1.0,1.0,10.0,1.0
78,4.8151835140429045,4.8151835140429045,0.03741499953168003,euclidean,1.0,1.0,10.0,1.0
79,4.81303260200902,4.81303260200902,0.035770287706614716,euclidean,1.0,1.0,10.0,1.0
80,4.8122304615221525,4.8122304615221525,0.04243156637408232,euclidean,1.0,1.0,10.0,1.0
81,4.81057586167988,4.81057586167988,0.04384506832023984,euclidean,1.0,1.0,10.0,1.0
82,4.815093391820004,4.815093391820004,0.03915295578343304,euclidean,1.0,1.0,10.0,1.0
83,4.815980735578035,4.815980735578035,0.03627978446648309,euclidean,1.0,1.0,10.0,1.0
84,4.812369848552503,4.812369848552503,0.03989271040221578,euclidean,1.0,1.0,10.0,1.0
85,4.811687569869192,4.811687569869192,0.04979494057203594,euclidean,1.0,1.0,10.0,1.0
86,4.8090743265653915,4.8090743265653915,0.047373065823002866,euclidean,1.0,1.0,10.0,1.0
87,4.8101730597646615,4.8101730597646615,0.044591065986376056,euclidean,1.0,1.0,10.0,1.0
88,4.810835913607948,4.810835913607948,0.04428050490586381,euclidean,1.0,1.0,10.0,1.0
89,4.810494924846449,4.810494924846449,0.046398256268156204,euclidean,1.0,1.0,10.0,1.0
