input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,
raw,setup2,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.45990180032733224,0.6100324148600236,0.6264285714285713,0.24044943820224718,0.05667737860061095,0.3766981130296147,0.33840706791516206,0.09952133573890615,,,,,,,,,,,,,,,,,
raw,setup3,0.7927058823529413,0.5722934362934363,0.7390794155500038,0.469721767594108,0.6334662678580828,0.7535714285714286,0.6764044943820224,0.10558607336742676,0.43333764609520625,0.41239206637552933,0.16034336921444747,hybrid,1.0,1.0,10.0,1.0,1.0,0.026175186038017273,0.027310896664857864,0.014872299507260323,0.13648653030395508,12.0,3.0,0.0,0.08170674671628733,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.7521428571428571,0.6449438202247191,,0.43110307295838085,0.4091336848656449,,hybrid,1.0,1.0,10.0,1.0,1.0,,,,,,,,,,,
raw,setup4,0.8289411764705882,0.5962007722007722,0.7837837837837839,0.5090016366612111,0.6702019308239661,0.6707142857142857,0.4561797752808989,0.1268491744519753,0.44705487405707883,0.4110479629591634,0.10797125124903673,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.20224719101123598,0.03846202746765437,0.3364881530149269,0.3309324234107262,0.09127184302438816,,,,,,,,,,,,,,,,,
combat,setup3,0.8321568627450979,0.6090656370656371,0.7507381330910742,0.48936170212765956,0.6599450187647943,0.7542857142857142,0.696629213483146,0.10588181132602248,0.4405350793872847,0.42327536364549845,0.16338488776832832,hybrid,1.0,1.0,10.0,1.0,1.0,0.027181215584278107,0.026453640311956406,0.013816352933645248,0.15482628345489502,16.0,3.0,0.0,0.15326051216816314,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7357142857142857,0.6584269662921348,,0.40081952738775933,0.38527915043026145,,hybrid,1.0,1.0,10.0,1.0,1.0,,,,,,,,,,,
combat,setup4,0.8308627450980391,0.5844787644787645,0.7484669543493072,0.5253682487725041,0.7011568575739112,0.667142857142857,0.2404494382022472,0.1644303914988725,0.4346804172894172,0.41730710045817043,0.09598872191963256,,,,,,,,,,,,,,,,,
