epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,lambda_rank
1,300.15848260176807,300.1596037212171,-0.003739312879349056,hybrid,1.0,1.0,20.0,0.3
2,271.56345487895766,271.57830248380964,-0.04948849309431879,hybrid,1.0,1.0,20.0,0.3
3,251.945262708162,251.95497532894737,-0.03237656724492186,hybrid,1.0,1.0,20.0,0.3
4,238.32983157509253,238.3473976536801,-0.058558604018272536,hybrid,1.0,1.0,20.0,0.3
5,227.03362635562294,227.05223404733758,-0.06202318819582855,hybrid,1.0,1.0,20.0,0.3
6,215.08431203741776,215.10008400364927,-0.05257721059637046,hybrid,1.0,1.0,20.0,0.3
7,203.9554314864309,203.97475875051398,-0.06442387100603235,hybrid,1.0,1.0,20.0,0.3
8,191.41368103027344,191.4310198332134,-0.05779332555156495,hybrid,1.0,1.0,20.0,0.3
9,181.04996691252055,181.07625218441612,-0.0876156040222237,hybrid,1.0,1.0,20.0,0.3
10,168.25795384457237,168.28619866622122,-0.09414926644316629,hybrid,1.0,1.0,20.0,0.3
11,158.4631572522615,158.48367630807977,-0.06840243086978597,hybrid,1.0,1.0,20.0,0.3
12,148.19238602487664,148.22463587710732,-0.10750493250395123,hybrid,1.0,1.0,20.0,0.3
13,138.90735184518914,138.9441809403269,-0.12275720289663265,hybrid,1.0,1.0,20.0,0.3
14,129.17523675215872,129.20730952212685,-0.1069118890323137,hybrid,1.0,1.0,20.0,0.3
15,120.83623223555715,120.87389333624589,-0.12553578674008972,hybrid,1.0,1.0,20.0,0.3
16,111.16652599133943,111.21071544446443,-0.14729735078780273,hybrid,1.0,1.0,20.0,0.3
17,100.60326184724507,100.65112826698704,-0.15955303540747418,hybrid,1.0,1.0,20.0,0.3
18,91.74364993446751,91.78556823730469,-0.13972869495812215,hybrid,1.0,1.0,20.0,0.3
19,82.93269629227488,82.97991581967003,-0.15739965948619342,hybrid,1.0,1.0,20.0,0.3
20,75.33493162456311,75.37621387682464,-0.13760593705075352,hybrid,1.0,1.0,20.0,0.3
21,70.41140064440276,70.45747014095909,-0.15356306849341644,hybrid,1.0,1.0,20.0,0.3
22,64.16101013986687,64.2111651771947,-0.16718429248583944,hybrid,1.0,1.0,20.0,0.3
23,59.25114440917969,59.30026024266293,-0.16371828709778033,hybrid,1.0,1.0,20.0,0.3
24,54.29004488493267,54.34068539268092,-0.168801333167051,hybrid,1.0,1.0,20.0,0.3
25,50.08530365793329,50.136757700066816,-0.1715132781353436,hybrid,1.0,1.0,20.0,0.3
26,46.750851480584394,46.80165642186215,-0.16934930650811447,hybrid,1.0,1.0,20.0,0.3
27,42.99743632266396,43.049759111906354,-0.17440914990086304,hybrid,1.0,1.0,20.0,0.3
28,39.31273851896587,39.36284637451172,-0.16702494476186602,hybrid,1.0,1.0,20.0,0.3
29,35.5741524947317,35.635393243086966,-0.20413680041306898,hybrid,1.0,1.0,20.0,0.3
30,32.11482800935444,32.17712803890831,-0.20766721548218475,hybrid,1.0,1.0,20.0,0.3
31,29.520763397216797,29.583660928826582,-0.20965865646537982,hybrid,1.0,1.0,20.0,0.3
32,26.421032855385228,26.48099788866545,-0.19988404998653814,hybrid,1.0,1.0,20.0,0.3
33,23.181880549380654,23.24543571472168,-0.21185098274757988,hybrid,1.0,1.0,20.0,0.3
