epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,lambda_rank
1,296.92142285798724,296.94029798005755,-0.01887597062772042,hybrid,1.0,1.0,20.0,1.0
2,261.4199331183183,261.4679557398746,-0.0480242645318963,hybrid,1.0,1.0,20.0,1.0
3,240.59341350354646,240.67594749049135,-0.08253566741845325,hybrid,1.0,1.0,20.0,1.0
4,232.29222428171258,232.3741350675884,-0.0819102841257853,hybrid,1.0,1.0,20.0,1.0
5,219.61758583470396,219.67720834832443,-0.0596229402642501,hybrid,1.0,1.0,20.0,1.0
6,209.38994317305716,209.47094485634253,-0.08100168152075064,hybrid,1.0,1.0,20.0,1.0
7,197.2250518798828,197.30962331671464,-0.08457123929340589,hybrid,1.0,1.0,20.0,1.0
8,186.2168073152241,186.31484262566818,-0.09803616064355562,hybrid,1.0,1.0,20.0,1.0
9,175.5235427053351,175.60051847759047,-0.07697574359037007,hybrid,1.0,1.0,20.0,1.0
10,167.03056255139802,167.1384108693976,-0.10784827768312473,hybrid,1.0,1.0,20.0,1.0
11,157.37577498586555,157.48570251464844,-0.1099283391315686,hybrid,1.0,1.0,20.0,1.0
12,147.82580807334497,147.92123413085938,-0.09542603712332876,hybrid,1.0,1.0,20.0,1.0
13,138.07267520302221,138.19360512181333,-0.12093123477442484,hybrid,1.0,1.0,20.0,1.0
14,128.8046746504934,128.94178169652037,-0.13710628959693408,hybrid,1.0,1.0,20.0,1.0
15,118.77370171797902,118.89631933914988,-0.12261857680584255,hybrid,1.0,1.0,20.0,1.0
16,108.58457384611431,108.70659998843544,-0.12202617026081211,hybrid,1.0,1.0,20.0,1.0
17,99.77720039769223,99.9305917840255,-0.15339157691127375,hybrid,1.0,1.0,20.0,1.0
18,91.70477977551911,91.8567617315995,-0.15198264565122754,hybrid,1.0,1.0,20.0,1.0
19,83.90045045551501,84.08576322856702,-0.1853123617015387,hybrid,1.0,1.0,20.0,1.0
20,76.33085471705387,76.48181072034333,-0.1509561254397819,hybrid,1.0,1.0,20.0,1.0
21,70.14825981541684,70.31818670975535,-0.16992657866917157,hybrid,1.0,1.0,20.0,1.0
22,65.10411694175319,65.2711605272795,-0.1670434832769005,hybrid,1.0,1.0,20.0,1.0
23,60.3161755612022,60.501672644364206,-0.18549658848266853,hybrid,1.0,1.0,20.0,1.0
24,55.49098787809673,55.67532208091334,-0.1843337855840984,hybrid,1.0,1.0,20.0,1.0
25,51.11255545365183,51.296112863641035,-0.18355712608287209,hybrid,1.0,1.0,20.0,1.0
26,45.76804492348119,45.9634441576506,-0.19539901222053327,hybrid,1.0,1.0,20.0,1.0
27,42.044047707005554,42.23903033607885,-0.1949827439690891,hybrid,1.0,1.0,20.0,1.0
28,38.3114591899671,38.5050556785182,-0.1935969155869986,hybrid,1.0,1.0,20.0,1.0
29,34.05542654740183,34.25463084170693,-0.1992044786089345,hybrid,1.0,1.0,20.0,1.0
30,30.907874559101305,31.124208851864463,-0.21633433276101163,hybrid,1.0,1.0,20.0,1.0
31,27.116805026405736,27.311874690808747,-0.1950698557652925,hybrid,1.0,1.0,20.0,1.0
32,23.852569981625205,24.0400861438952,-0.18751630167427816,hybrid,1.0,1.0,20.0,1.0
33,21.149427213166888,21.35243696915476,-0.20300966893371783,hybrid,1.0,1.0,20.0,1.0
34,17.978364743684466,18.19985550328305,-0.22149091606077395,hybrid,1.0,1.0,20.0,1.0
35,14.919618004246763,15.137863008599533,-0.21824505846751363,hybrid,1.0,1.0,20.0,1.0
36,12.867580313431588,13.088276411357679,-0.2206960406742598,hybrid,1.0,1.0,20.0,1.0
37,10.367287083675986,10.572001808568052,-0.20471484723844027,hybrid,1.0,1.0,20.0,1.0
38,8.382007096943102,8.599581241607666,-0.21757418779950394,hybrid,1.0,1.0,20.0,1.0
39,6.8212097820482755,7.040455793079577,-0.21924596279859543,hybrid,1.0,1.0,20.0,1.0
40,5.726047089225368,5.946980551669472,-0.2209334334260539,hybrid,1.0,1.0,20.0,1.0
41,5.105259167520623,5.322678591075697,-0.21741940850686087,hybrid,1.0,1.0,20.0,1.0
42,4.808029450868306,5.016023962121261,-0.20799453634964793,hybrid,1.0,1.0,20.0,1.0
43,4.656350612640381,4.886332085258083,-0.22998144595246567,hybrid,1.0,1.0,20.0,1.0
44,4.615230485012657,4.85277795791626,-0.2375474823148627,hybrid,1.0,1.0,20.0,1.0
45,4.618156985232704,4.840972272973311,-0.22281529930861374,hybrid,1.0,1.0,20.0,1.0
46,4.606006245864065,4.837860634452419,-0.2318543925097114,hybrid,1.0,1.0,20.0,1.0
47,4.5686367687426115,4.830992472799201,-0.2623557597398758,hybrid,1.0,1.0,20.0,1.0
48,4.5776065525255705,4.83010701129311,-0.2525004501405515,hybrid,1.0,1.0,20.0,1.0
49,4.5453923125016065,4.828756834331312,-0.2833645022229144,hybrid,1.0,1.0,20.0,1.0
50,4.569364572826185,4.8278296119288395,-0.2584650504745935,hybrid,1.0,1.0,20.0,1.0
51,4.544457159544292,4.826561074507864,-0.2821039541771537,hybrid,1.0,1.0,20.0,1.0
52,4.55663706126966,4.8259791825947005,-0.26934212995202916,hybrid,1.0,1.0,20.0,1.0
53,4.554524697755513,4.826964830097399,-0.27244007509005697,hybrid,1.0,1.0,20.0,1.0
54,4.549095981999447,4.826906630867406,-0.2778106535735883,hybrid,1.0,1.0,20.0,1.0
55,4.5554456208881575,4.828477784206993,-0.27303221272794825,hybrid,1.0,1.0,20.0,1.0
56,4.553210183193809,4.827484432019685,-0.2742742998035331,hybrid,1.0,1.0,20.0,1.0
57,4.542181516948499,4.829848314586439,-0.2876667654828021,hybrid,1.0,1.0,20.0,1.0
58,4.521191446404708,4.826443923147101,-0.30525253007286474,hybrid,1.0,1.0,20.0,1.0
59,4.548881279794793,4.825412800437526,-0.2765315378967084,hybrid,1.0,1.0,20.0,1.0
60,4.541384696960449,4.825047442787572,-0.2836627450428511,hybrid,1.0,1.0,20.0,1.0
61,4.4983114443327255,4.822233601620323,-0.3239221431707081,hybrid,1.0,1.0,20.0,1.0
62,4.523578317541825,4.821533905832391,-0.29795555613542857,hybrid,1.0,1.0,20.0,1.0
63,4.493629957500257,4.8184225433751156,-0.3247926227356258,hybrid,1.0,1.0,20.0,1.0
64,4.510258348364579,4.81949321847213,-0.30923486618619217,hybrid,1.0,1.0,20.0,1.0
65,4.5076119523299365,4.820698361647756,-0.3130864548055749,hybrid,1.0,1.0,20.0,1.0
66,4.497663497924805,4.819098271821675,-0.32143473782037435,hybrid,1.0,1.0,20.0,1.0
67,4.5021078461094906,4.817445453844573,-0.3153376069508101,hybrid,1.0,1.0,20.0,1.0
68,4.5032194037186475,4.81925294273778,-0.3160335233337001,hybrid,1.0,1.0,20.0,1.0
69,4.501869502820466,4.819057288922761,-0.3171877272819218,hybrid,1.0,1.0,20.0,1.0
70,4.496080473849648,4.81769965824328,-0.3216192094903243,hybrid,1.0,1.0,20.0,1.0
71,4.488099223689029,4.818065618213854,-0.3299664298170491,hybrid,1.0,1.0,20.0,1.0
72,4.475345686862343,4.814204893614116,-0.3388591557741165,hybrid,1.0,1.0,20.0,1.0
73,4.497618198394775,4.816404618714985,-0.3187864038505052,hybrid,1.0,1.0,20.0,1.0
74,4.4887652146188834,4.816849683460436,-0.328084439823502,hybrid,1.0,1.0,20.0,1.0
75,4.4896007086101335,4.817271082024825,-0.32767035851353093,hybrid,1.0,1.0,20.0,1.0
76,4.504665926883095,4.819173536802593,-0.31450761933075755,hybrid,1.0,1.0,20.0,1.0
77,4.4899316335979265,4.818633732042815,-0.3287021172674079,hybrid,1.0,1.0,20.0,1.0
78,4.498444707770097,4.820094635612087,-0.321649874511518,hybrid,1.0,1.0,20.0,1.0
79,4.481459366647821,4.817679907146253,-0.33622054363551895,hybrid,1.0,1.0,20.0,1.0
80,4.496036554637708,4.816768345079924,-0.32073174181737396,hybrid,1.0,1.0,20.0,1.0
81,4.4730554128948015,4.816473960876465,-0.3434185722940846,hybrid,1.0,1.0,20.0,1.0
82,4.466039808172929,4.814045303746274,-0.3480055034160614,hybrid,1.0,1.0,20.0,1.0
83,4.474701906505384,4.8135734357331925,-0.33887156059867457,hybrid,1.0,1.0,20.0,1.0
84,4.447367693248548,4.806295194123921,-0.35892748205285324,hybrid,1.0,1.0,20.0,1.0
85,4.453437855369167,4.80959415435791,-0.3561562848718543,hybrid,1.0,1.0,20.0,1.0
86,4.44483746980366,4.809033092699553,-0.3641956244644366,hybrid,1.0,1.0,20.0,1.0
87,4.467952803561562,4.811399259065327,-0.3434464327598873,hybrid,1.0,1.0,20.0,1.0
88,4.440848450911672,4.807320092853747,-0.3664715854745162,hybrid,1.0,1.0,20.0,1.0
89,4.474931767112331,4.812495532788728,-0.3375637390111622,hybrid,1.0,1.0,20.0,1.0
90,4.4474302843997355,4.812223936382093,-0.36479361433731883,hybrid,1.0,1.0,20.0,1.0
91,4.4490228703147485,4.807948739905107,-0.3589258727274443,hybrid,1.0,1.0,20.0,1.0
92,4.449492881172581,4.808220286118357,-0.35872745984479,hybrid,1.0,1.0,20.0,1.0
93,4.442330510992753,4.808100725475111,-0.36577022075653076,hybrid,1.0,1.0,20.0,1.0
94,4.460645148628636,4.809323988462749,-0.34867881865877853,hybrid,1.0,1.0,20.0,1.0
95,4.4525049611141805,4.809924502121775,-0.357419501794012,hybrid,1.0,1.0,20.0,1.0
96,4.458710971631501,4.810070288808722,-0.3513593140401338,hybrid,1.0,1.0,20.0,1.0
97,4.458110784229479,4.808393127039859,-0.35028234908455297,hybrid,1.0,1.0,20.0,1.0
98,4.4294070193642066,4.806246355960243,-0.37683932561623423,hybrid,1.0,1.0,20.0,1.0
99,4.4293692488419385,4.805120016399183,-0.375750775399961,hybrid,1.0,1.0,20.0,1.0
100,4.436201020290977,4.80534751791703,-0.36914648664625066,hybrid,1.0,1.0,20.0,1.0
101,4.42115148745085,4.802701975169935,-0.3815504312515259,hybrid,1.0,1.0,20.0,1.0
102,4.4339572253980135,4.8049298085664445,-0.370972592579691,hybrid,1.0,1.0,20.0,1.0
103,4.432385896381579,4.80460806896812,-0.3722221819978011,hybrid,1.0,1.0,20.0,1.0
104,4.422604084014893,4.803849446146112,-0.38124537467956543,hybrid,1.0,1.0,20.0,1.0
105,4.450855179836876,4.809129840449283,-0.3582746386528015,hybrid,1.0,1.0,20.0,1.0
106,4.430795293105276,4.803801737333599,-0.3730064128574572,hybrid,1.0,1.0,20.0,1.0
107,4.437331902353387,4.805865940294768,-0.3685340591167149,hybrid,1.0,1.0,20.0,1.0
108,4.464863024259868,4.812905612744783,-0.3480425775051117,hybrid,1.0,1.0,20.0,1.0
109,4.437190582877712,4.811679463637502,-0.3744888776227048,hybrid,1.0,1.0,20.0,1.0
110,4.419517391606381,4.803893440648129,-0.38437607570698384,hybrid,1.0,1.0,20.0,1.0
111,4.417323965775339,4.801915645599365,-0.38459169158810064,hybrid,1.0,1.0,20.0,1.0
112,4.429284171054237,4.805845988424201,-0.37656181423287644,hybrid,1.0,1.0,20.0,1.0
113,4.422439223841617,4.804037621146755,-0.3815983424061223,hybrid,1.0,1.0,20.0,1.0
114,4.423101425170898,4.803649576086747,-0.380548200324962,hybrid,1.0,1.0,20.0,1.0
115,4.413405819943077,4.800523381484182,-0.38711753330732646,hybrid,1.0,1.0,20.0,1.0
116,4.409883298371968,4.797956215707879,-0.3880729408640611,hybrid,1.0,1.0,20.0,1.0
117,4.404799461364746,4.800701066067345,-0.39590157803736237,hybrid,1.0,1.0,20.0,1.0
118,4.395209136762117,4.796619264703048,-0.4014100824531756,hybrid,1.0,1.0,20.0,1.0
119,4.435159582840769,4.805135877508866,-0.36997630094227035,hybrid,1.0,1.0,20.0,1.0
120,4.423187180569298,4.807934208920128,-0.38474703148791667,hybrid,1.0,1.0,20.0,1.0
121,4.411937362269351,4.802819929624858,-0.3908825344160983,hybrid,1.0,1.0,20.0,1.0
122,4.416245259736714,4.8039353521246655,-0.38769013473862096,hybrid,1.0,1.0,20.0,1.0
123,4.402546556372392,4.801362012561999,-0.39881542638728495,hybrid,1.0,1.0,20.0,1.0
124,4.408045191513865,4.799537457917866,-0.39149227424671773,hybrid,1.0,1.0,20.0,1.0
125,4.401562238994398,4.797362202092221,-0.39579995682365016,hybrid,1.0,1.0,20.0,1.0
126,4.415651145734285,4.801798444045217,-0.38614725282317713,hybrid,1.0,1.0,20.0,1.0
127,4.389120528572484,4.795292477858694,-0.40617195556038305,hybrid,1.0,1.0,20.0,1.0
128,4.406458026484439,4.799369259884483,-0.39291125379110636,hybrid,1.0,1.0,20.0,1.0
129,4.396084685074656,4.79788697393317,-0.4018022967012305,hybrid,1.0,1.0,20.0,1.0
130,4.401436981401946,4.799030655308774,-0.397593639398876,hybrid,1.0,1.0,20.0,1.0
131,4.390588634892514,4.795361117312782,-0.40477248712589864,hybrid,1.0,1.0,20.0,1.0
132,4.404216691067345,4.79847358402453,-0.3942569321707675,hybrid,1.0,1.0,20.0,1.0
133,4.395374398482473,4.796136078081633,-0.4007616937160492,hybrid,1.0,1.0,20.0,1.0
134,4.382100883283113,4.7943115234375,-0.4122106401543868,hybrid,1.0,1.0,20.0,1.0
135,4.396079841412996,4.796586764486213,-0.40050696856097173,hybrid,1.0,1.0,20.0,1.0
136,4.402713047830682,4.798166124444259,-0.3954530766135768,hybrid,1.0,1.0,20.0,1.0
137,4.368809198078356,4.790716698295192,-0.42190749707974884,hybrid,1.0,1.0,20.0,1.0
138,4.410751970190751,4.801183725658216,-0.39043178056415756,hybrid,1.0,1.0,20.0,1.0
139,4.379488970104017,4.793794631958008,-0.4143056602854478,hybrid,1.0,1.0,20.0,1.0
140,4.3876857255634505,4.793731062035811,-0.406045349020707,hybrid,1.0,1.0,20.0,1.0
141,4.386864210429945,4.794674521998355,-0.4078103115684108,hybrid,1.0,1.0,20.0,1.0
142,4.392005192606073,4.796488084291157,-0.4044828665883918,hybrid,1.0,1.0,20.0,1.0
143,4.363789131766872,4.788349979802182,-0.42456083862405075,hybrid,1.0,1.0,20.0,1.0
144,4.37195170553107,4.791979714443809,-0.42002796656207037,hybrid,1.0,1.0,20.0,1.0
145,4.373599679846513,4.7912773082130835,-0.4176776675801528,hybrid,1.0,1.0,20.0,1.0
146,4.375065401980751,4.793947521008943,-0.41888205785500376,hybrid,1.0,1.0,20.0,1.0
147,4.364679185967696,4.78762654254311,-0.4229473628495869,hybrid,1.0,1.0,20.0,1.0
148,4.388278685118022,4.794985520212274,-0.4067068005862989,hybrid,1.0,1.0,20.0,1.0
149,4.3854473013626905,4.794458439475612,-0.4090111585039842,hybrid,1.0,1.0,20.0,1.0
150,4.388193255976627,4.794579756887336,-0.40638649463653564,hybrid,1.0,1.0,20.0,1.0
