epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,lambda_rank
1,-0.08340335225588397,386.7242865311472,-0.08340335225588397,rank_kendall,1.0,1.0,10.0,1.0
2,-0.13535269036104805,417.03468563682156,-0.13535269036104805,rank_kendall,1.0,1.0,10.0,1.0
3,-0.1530259130032439,419.81734426398026,-0.1530259130032439,rank_kendall,1.0,1.0,10.0,1.0
4,-0.1546119298589857,429.4718900981702,-0.1546119298589857,rank_kendall,1.0,1.0,10.0,1.0
5,-0.1564169628055472,436.2621508146587,-0.1564169628055472,rank_kendall,1.0,1.0,10.0,1.0
6,-0.16472528247456802,444.2451059441817,-0.16472528247456802,rank_kendall,1.0,1.0,10.0,1.0
7,-0.18496566422675786,446.380958958676,-0.18496566422675786,rank_kendall,1.0,1.0,10.0,1.0
8,-0.19728255389552368,448.7079419587788,-0.19728255389552368,rank_kendall,1.0,1.0,10.0,1.0
9,-0.20440761431267387,440.6253148129112,-0.20440761431267387,rank_kendall,1.0,1.0,10.0,1.0
10,-0.21517828930365412,430.4691788522821,-0.21517828930365412,rank_kendall,1.0,1.0,10.0,1.0
11,-0.1968822236123838,424.72668617650083,-0.1968822236123838,rank_kendall,1.0,1.0,10.0,1.0
12,-0.21333038336352297,439.07083611739307,-0.21333038336352297,rank_kendall,1.0,1.0,10.0,1.0
13,-0.2401671040999262,441.1136265804893,-0.2401671040999262,rank_kendall,1.0,1.0,10.0,1.0
14,-0.23646825002996544,438.6081944515831,-0.23646825002996544,rank_kendall,1.0,1.0,10.0,1.0
15,-0.2486099522364767,439.12336650647615,-0.2486099522364767,rank_kendall,1.0,1.0,10.0,1.0
16,-0.2561671702485335,432.4471290989926,-0.2561671702485335,rank_kendall,1.0,1.0,10.0,1.0
17,-0.24794476047942512,439.88436729029604,-0.24794476047942512,rank_kendall,1.0,1.0,10.0,1.0
18,-0.2387933346785997,447.68581028988484,-0.2387933346785997,rank_kendall,1.0,1.0,10.0,1.0
19,-0.25573820346280146,455.0593518708882,-0.25573820346280146,rank_kendall,1.0,1.0,10.0,1.0
20,-0.2629300120629762,452.24168155067844,-0.2629300120629762,rank_kendall,1.0,1.0,10.0,1.0
21,-0.24773698809899783,452.16282252261516,-0.24773698809899783,rank_kendall,1.0,1.0,10.0,1.0
22,-0.2638444790714665,455.01488936574833,-0.2638444790714665,rank_kendall,1.0,1.0,10.0,1.0
23,-0.27355090332658666,446.4455229106702,-0.27355090332658666,rank_kendall,1.0,1.0,10.0,1.0
24,-0.27132632465739,439.78728123715047,-0.27132632465739,rank_kendall,1.0,1.0,10.0,1.0
25,-0.28345826817186254,442.88984278628703,-0.28345826817186254,rank_kendall,1.0,1.0,10.0,1.0
26,-0.26797231090696233,436.51273064864307,-0.26797231090696233,rank_kendall,1.0,1.0,10.0,1.0
27,-0.2635098052652259,445.2029226202714,-0.2635098052652259,rank_kendall,1.0,1.0,10.0,1.0
28,-0.2795139049228869,453.84509116724917,-0.2795139049228869,rank_kendall,1.0,1.0,10.0,1.0
29,-0.2710492830527456,448.1694111071135,-0.2710492830527456,rank_kendall,1.0,1.0,10.0,1.0
30,-0.27339769194000646,454.63172992907073,-0.27339769194000646,rank_kendall,1.0,1.0,10.0,1.0
31,-0.2782876946424183,460.67633699115953,-0.2782876946424183,rank_kendall,1.0,1.0,10.0,1.0
32,-0.29243968740889903,452.5384312679893,-0.29243968740889903,rank_kendall,1.0,1.0,10.0,1.0
33,-0.2959187791535729,451.5851087068257,-0.2959187791535729,rank_kendall,1.0,1.0,10.0,1.0
34,-0.308428807478202,451.3690779836554,-0.308428807478202,rank_kendall,1.0,1.0,10.0,1.0
35,-0.2836739122867584,445.79386982164885,-0.2836739122867584,rank_kendall,1.0,1.0,10.0,1.0
36,-0.3025962616267957,442.398148386102,-0.3025962616267957,rank_kendall,1.0,1.0,10.0,1.0
37,-0.3084492612826197,436.3364659359581,-0.3084492612826197,rank_kendall,1.0,1.0,10.0,1.0
38,-0.28969281754995646,436.42187339381167,-0.28969281754995646,rank_kendall,1.0,1.0,10.0,1.0
39,-0.28296728981168645,452.45502351459703,-0.28296728981168645,rank_kendall,1.0,1.0,10.0,1.0
40,-0.3133075896062349,450.6645218698602,-0.3133075896062349,rank_kendall,1.0,1.0,10.0,1.0
41,-0.3052016473130176,445.57433921412417,-0.3052016473130176,rank_kendall,1.0,1.0,10.0,1.0
42,-0.3096140952486741,446.6216398540296,-0.3096140952486741,rank_kendall,1.0,1.0,10.0,1.0
43,-0.2981512797506232,450.7686880011308,-0.2981512797506232,rank_kendall,1.0,1.0,10.0,1.0
44,-0.3150125647846021,447.4962495502673,-0.3150125647846021,rank_kendall,1.0,1.0,10.0,1.0
45,-0.30709896824861826,450.38140869140625,-0.30709896824861826,rank_kendall,1.0,1.0,10.0,1.0
46,-0.31173511084757355,454.0996238306949,-0.31173511084757355,rank_kendall,1.0,1.0,10.0,1.0
47,-0.3165004402399063,459.08670525801807,-0.3165004402399063,rank_kendall,1.0,1.0,10.0,1.0
48,-0.3282570391893387,459.5812169125206,-0.3282570391893387,rank_kendall,1.0,1.0,10.0,1.0
49,-0.3290155749571951,457.7137081748561,-0.3290155749571951,rank_kendall,1.0,1.0,10.0,1.0
50,-0.3253500351780339,455.64775165758635,-0.3253500351780339,rank_kendall,1.0,1.0,10.0,1.0
51,-0.3239021183628785,458.949951171875,-0.3239021183628785,rank_kendall,1.0,1.0,10.0,1.0
52,-0.3182384512926403,452.7430628726357,-0.3182384512926403,rank_kendall,1.0,1.0,10.0,1.0
53,-0.3324962462249555,455.36399600380344,-0.3324962462249555,rank_kendall,1.0,1.0,10.0,1.0
54,-0.326230882814056,446.4608363101357,-0.326230882814056,rank_kendall,1.0,1.0,10.0,1.0
55,-0.3114840733377557,443.8786058927837,-0.3114840733377557,rank_kendall,1.0,1.0,10.0,1.0
56,-0.3117301934643796,450.1561536287007,-0.3117301934643796,rank_kendall,1.0,1.0,10.0,1.0
