epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,lambda_rank
1,-0.06849669548682868,395.75524420487255,-0.06849669548682868,rank_kendall,1.0,1.0,20.0,1.0
2,-0.12561430703652532,412.58391209652547,-0.12561430703652532,rank_kendall,1.0,1.0,20.0,1.0
3,-0.0959294249156588,436.50862041272615,-0.0959294249156588,rank_kendall,1.0,1.0,20.0,1.0
4,-0.11180329698407532,446.3582330001028,-0.11180329698407532,rank_kendall,1.0,1.0,20.0,1.0
5,-0.15748412446363977,438.00109702662417,-0.15748412446363977,rank_kendall,1.0,1.0,20.0,1.0
6,-0.13880250808831893,442.081587942023,-0.13880250808831893,rank_kendall,1.0,1.0,20.0,1.0
7,-0.17291426188067385,457.16150062962583,-0.17291426188067385,rank_kendall,1.0,1.0,20.0,1.0
8,-0.18641329635130732,459.89355629368833,-0.18641329635130732,rank_kendall,1.0,1.0,20.0,1.0
9,-0.17103712456791023,453.1409285695929,-0.17103712456791023,rank_kendall,1.0,1.0,20.0,1.0
10,-0.2028606283037286,454.75266145405016,-0.2028606283037286,rank_kendall,1.0,1.0,20.0,1.0
11,-0.1927226562249033,455.49804366262333,-0.1927226562249033,rank_kendall,1.0,1.0,20.0,1.0
12,-0.20196833304668727,454.88023938630755,-0.20196833304668727,rank_kendall,1.0,1.0,20.0,1.0
13,-0.1940002088484011,450.0968836734169,-0.1940002088484011,rank_kendall,1.0,1.0,20.0,1.0
14,-0.2145516441056603,457.3074533562911,-0.2145516441056603,rank_kendall,1.0,1.0,20.0,1.0
15,-0.22364244021867452,460.53520925421464,-0.22364244021867452,rank_kendall,1.0,1.0,20.0,1.0
16,-0.24024597280903867,455.4947622198808,-0.24024597280903867,rank_kendall,1.0,1.0,20.0,1.0
17,-0.24193223879525536,455.8843737150493,-0.24193223879525536,rank_kendall,1.0,1.0,20.0,1.0
18,-0.2515058411579383,454.8640923751028,-0.2515058411579383,rank_kendall,1.0,1.0,20.0,1.0
19,-0.23463540798739382,452.33861340974505,-0.23463540798739382,rank_kendall,1.0,1.0,20.0,1.0
20,-0.2218766459508946,450.0572574013158,-0.2218766459508946,rank_kendall,1.0,1.0,20.0,1.0
21,-0.2334955087617824,463.5858491596423,-0.2334955087617824,rank_kendall,1.0,1.0,20.0,1.0
22,-0.2519059887057857,455.9465733578331,-0.2519059887057857,rank_kendall,1.0,1.0,20.0,1.0
23,-0.24840669020226128,446.7485046386719,-0.24840669020226128,rank_kendall,1.0,1.0,20.0,1.0
24,-0.26623819611574473,463.26345503957646,-0.26623819611574473,rank_kendall,1.0,1.0,20.0,1.0
25,-0.2553157971093529,459.67349725020557,-0.2553157971093529,rank_kendall,1.0,1.0,20.0,1.0
26,-0.23983190051819148,453.62085442793995,-0.23983190051819148,rank_kendall,1.0,1.0,20.0,1.0
27,-0.2577943621497405,458.1717930843956,-0.2577943621497405,rank_kendall,1.0,1.0,20.0,1.0
28,-0.2726683663694482,460.8450590434827,-0.2726683663694482,rank_kendall,1.0,1.0,20.0,1.0
29,-0.2587963177969581,460.4146664268092,-0.2587963177969581,rank_kendall,1.0,1.0,20.0,1.0
30,-0.27636899054050446,457.59200889185854,-0.27636899054050446,rank_kendall,1.0,1.0,20.0,1.0
31,-0.2932193255738208,455.63406050832646,-0.2932193255738208,rank_kendall,1.0,1.0,20.0,1.0
32,-0.27078856370951,453.31844932154604,-0.27078856370951,rank_kendall,1.0,1.0,20.0,1.0
33,-0.25113624981359434,451.23289409436677,-0.25113624981359434,rank_kendall,1.0,1.0,20.0,1.0
34,-0.27393459646325363,460.40191650390625,-0.27393459646325363,rank_kendall,1.0,1.0,20.0,1.0
35,-0.27935836503380224,466.61164454409953,-0.27935836503380224,rank_kendall,1.0,1.0,20.0,1.0
36,-0.2576427200907155,458.38991667094984,-0.2576427200907155,rank_kendall,1.0,1.0,20.0,1.0
37,-0.28251653831256063,457.2834392346834,-0.28251653831256063,rank_kendall,1.0,1.0,20.0,1.0
38,-0.266504799064837,450.01576313219573,-0.266504799064837,rank_kendall,1.0,1.0,20.0,1.0
