input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,
raw,setup2,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.45990180032733224,0.6100324148600236,0.6264285714285713,0.24044943820224718,0.05667737860061095,0.3766981130296147,0.33840706791516206,0.09952133573890615,,,,,,,,,,,,,,,,,
raw,setup3,0.790156862745098,0.5850656370656371,0.7372246195775607,0.4877250409165303,0.6413193507341148,0.6871428571428572,0.45842696629213486,0.0776203504460321,0.40654278391593246,0.3791706846673096,0.058028064735634634,rank_kendall,1.0,1.0,20.0,1.0,1.0,1.0011800527572632,1.0117923021316528,0.9751905202865601,1.390081763267517,256.0,256.0,256.0,0.0573686317649058,results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.6014285714285714,0.503370786516854,,0.20393474912523918,0.20196699215759928,,rank_kendall,1.0,1.0,20.0,1.0,1.0,,,,,,,,,,,
raw,setup4,0.8225098039215687,0.6054749034749035,0.7705352411234765,0.4959083469721768,0.6652787937290041,0.5828571428571429,0.503370786516854,0.0983146392675992,0.371173362316664,0.3403944926955247,0.0646632174592735,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.20224719101123598,0.03846202746765437,0.3364881530149269,0.3309324234107262,0.09127184302438816,,,,,,,,,,,,,,,,,
combat,setup3,0.8130588235294118,0.588942084942085,0.7704216821863881,0.4762684124386252,0.6567873235055882,0.7121428571428572,0.4157303370786517,0.07663724161106955,0.40631490885719185,0.40537804453970155,0.06039614352817479,rank_kendall,1.0,1.0,20.0,1.0,1.0,0.9152829051017761,0.9454485774040222,0.9104777574539185,1.0461093187332153,256.0,256.0,256.0,0.0652828435712779,results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7107142857142857,0.6292134831460674,,0.28116031597955626,0.3733399410044397,,rank_kendall,1.0,1.0,20.0,1.0,1.0,,,,,,,,,,,
combat,setup4,0.8347843137254902,0.6046486486486486,0.7717086834733893,0.513911620294599,0.6852210213984312,0.6221428571428571,0.33033707865168543,0.10656104062581495,0.4153615269412213,0.3930913010746409,0.04764890228839747,,,,,,,,,,,,,,,,,
