epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,1517.7600804379113,1517.7600804379113,0.052182274625489584,euclidean,0.1,1.0,10.0,,1.0
2,1349.2027652138158,1349.2027652138158,0.007017767283526298,euclidean,0.1,1.0,10.0,,1.0
3,1263.9497584292762,1263.9497584292762,0.015823426729950466,euclidean,0.1,1.0,10.0,,1.0
4,1212.576171875,1212.576171875,0.020466338806344492,euclidean,0.1,1.0,10.0,,1.0
5,1136.3427734375,1136.3427734375,0.009819016243502694,euclidean,0.1,1.0,10.0,,1.0
6,1083.8823049444902,1083.8823049444902,-0.005554769779432957,euclidean,0.1,1.0,10.0,,1.0
7,1023.9264301500822,1023.9264301500822,-0.015878369737612575,euclidean,0.1,1.0,10.0,,1.0
8,967.3744506835938,967.3744506835938,-0.013330875087137284,euclidean,0.1,1.0,10.0,,1.0
9,912.8233224969161,912.8233224969161,0.024457657268564952,euclidean,0.1,1.0,10.0,,1.0
10,868.0473472193668,868.0473472193668,0.005995728296080702,euclidean,0.1,1.0,10.0,,1.0
11,813.4920076069079,813.4920076069079,0.0006101114038181933,euclidean,0.1,1.0,10.0,,1.0
12,774.0339259097451,774.0339259097451,-0.00438336469233036,euclidean,0.1,1.0,10.0,,1.0
13,713.8053588867188,713.8053588867188,0.01297217368540403,euclidean,0.1,1.0,10.0,,1.0
14,672.4679501182154,672.4679501182154,0.0451947015857226,euclidean,0.1,1.0,10.0,,1.0
15,627.8353271484375,627.8353271484375,0.021980435906076116,euclidean,0.1,1.0,10.0,,1.0
16,590.3985659950658,590.3985659950658,0.03848675118857309,euclidean,0.1,1.0,10.0,,1.0
17,549.7863191303454,549.7863191303454,0.017987004732468018,euclidean,0.1,1.0,10.0,,1.0
18,507.337302760074,507.337302760074,0.020262132907335303,euclidean,0.1,1.0,10.0,,1.0
19,469.0617193924753,469.0617193924753,0.022558458725382622,euclidean,0.1,1.0,10.0,,1.0
20,433.1600679096423,433.1600679096423,0.014299415634013712,euclidean,0.1,1.0,10.0,,1.0
21,390.0191280967311,390.0191280967311,0.026895791684326372,euclidean,0.1,1.0,10.0,,1.0
22,354.4578568307977,354.4578568307977,0.03349589169221489,euclidean,0.1,1.0,10.0,,1.0
23,318.66604774876646,318.66604774876646,0.024321812817728834,euclidean,0.1,1.0,10.0,,1.0
24,283.88292493318255,283.88292493318255,0.020671690054433912,euclidean,0.1,1.0,10.0,,1.0
25,253.2099400570518,253.2099400570518,0.052394047207934294,euclidean,0.1,1.0,10.0,,1.0
26,221.94608828895971,221.94608828895971,0.012177687028030815,euclidean,0.1,1.0,10.0,,1.0
27,193.3893649452611,193.3893649452611,0.05024919274116033,euclidean,0.1,1.0,10.0,,1.0
28,171.78346734297904,171.78346734297904,0.05560099826145329,euclidean,0.1,1.0,10.0,,1.0
29,150.02894592285156,150.02894592285156,0.026428901247288052,euclidean,0.1,1.0,10.0,,1.0
30,130.19057946456107,130.19057946456107,0.044008617926585045,euclidean,0.1,1.0,10.0,,1.0
31,112.1134177760074,112.1134177760074,0.053275479395922865,euclidean,0.1,1.0,10.0,,1.0
32,94.56969050357216,94.56969050357216,0.024561556668854075,euclidean,0.1,1.0,10.0,,1.0
33,79.14478944477283,79.14478944477283,0.026929249386548212,euclidean,0.1,1.0,10.0,,1.0
34,64.19067362735146,64.19067362735146,0.03254935052858567,euclidean,0.1,1.0,10.0,,1.0
35,50.33871660734478,50.33871660734478,0.04446031442402225,euclidean,0.1,1.0,10.0,,1.0
36,38.89944277311626,38.89944277311626,0.03540086865081991,euclidean,0.1,1.0,10.0,,1.0
37,27.59879092166298,27.59879092166298,0.02741618442202085,euclidean,0.1,1.0,10.0,,1.0
38,17.893417659558747,17.893417659558747,0.03820234996046087,euclidean,0.1,1.0,10.0,,1.0
39,10.245820572501735,10.245820572501735,0.02604501199369368,euclidean,0.1,1.0,10.0,,1.0
40,5.944383847086053,5.944383847086053,0.017001838662269477,euclidean,0.1,1.0,10.0,,1.0
41,4.868581094239888,4.868581094239888,0.016792506567741696,euclidean,0.1,1.0,10.0,,1.0
42,4.832671115272923,4.832671115272923,0.0048860979397049005,euclidean,0.1,1.0,10.0,,1.0
43,4.832556147324412,4.832556147324412,0.005626764657024883,euclidean,0.1,1.0,10.0,,1.0
44,4.832071429804752,4.832071429804752,0.006668057390733769,euclidean,0.1,1.0,10.0,,1.0
45,4.8314997773421435,4.8314997773421435,0.0071247134627284185,euclidean,0.1,1.0,10.0,,1.0
46,4.830902476059763,4.830902476059763,0.007661408184120725,euclidean,0.1,1.0,10.0,,1.0
47,4.830089744768645,4.830089744768645,0.00886308836695542,euclidean,0.1,1.0,10.0,,1.0
48,4.830210610439903,4.830210610439903,0.009068934994406606,euclidean,0.1,1.0,10.0,,1.0
