input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,,
raw,setup2,0.7694509803921569,0.585945945945946,0.6780225603755016,0.4500818330605565,0.615077708538665,0.6085714285714285,0.23146067415730337,-0.05690395758488731,0.31646411628709464,0.28643693604946857,0.09388755257968534,,,,,,,,,,,,,,,,,,
raw,setup3,0.7157254901960785,0.5816525096525097,0.6365735483382542,0.4762684124386252,0.6036125452252724,0.7585714285714286,0.6741573033707865,0.13547645814561948,0.4217125739756417,0.3960285581861732,0.15334048390060806,euclidean,0.1,1.0,10.0,,1.0,0.1,0.014402691274881363,0.01541061233729124,0.0024745382834225893,0.1201530322432518,3.0,1.0,0.0,0.10553203063307907,results_w0/mode_euclidean/setup3_pca_d_mod3_raw.png,results_w0/mode_euclidean/setup3_pairwise_distance_raw.png,results_w0/mode_euclidean/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.4971428571428572,0.8404494382022473,,0.07025467042529344,0.048719186307368954,,euclidean,0.1,1.0,10.0,,1.0,0.1,,,,,,,,,,,
raw,setup4,0.805764705882353,0.5940231660231661,0.7680369445075326,0.4779050736497545,0.6616524067395175,0.6821428571428572,0.29438202247191014,0.06683927742220142,0.41829182345964927,0.39357172505985577,0.09997944483957791,,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,,
combat,setup2,0.7734901960784314,0.5698841698841699,0.6827920357332122,0.46481178396072015,0.6156661966959477,0.5357142857142857,0.2584269662921349,-0.023391685081027402,0.3162456337590656,0.3139271171475927,0.06305070399365618,,,,,,,,,,,,,,,,,,
combat,setup3,0.7959607843137255,0.6130656370656371,0.7043682337799986,0.4959083469721768,0.6511515860599242,0.7385714285714285,0.7101123595505618,0.1663625306193509,0.4646355405823802,0.44910820114045463,0.19465730274839507,euclidean,0.1,1.0,10.0,,1.0,0.1,0.011822079308331013,0.01201966218650341,0.0015632093418389559,0.08283726125955582,2.0,0.0,0.0,0.055516063848200334,results_w0/mode_euclidean/setup3_pca_d_mod3_combat.png,results_w0/mode_euclidean/setup3_pairwise_distance_combat.png,results_w0/mode_euclidean/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7185714285714286,0.6224719101123596,,0.4499492977850022,0.42671361480118336,,euclidean,0.1,1.0,10.0,,1.0,0.1,,,,,,,,,,,
combat,setup4,0.8336470588235294,0.6208648648648648,0.718298130062836,0.486088379705401,0.6639409386813869,0.71,0.2966292134831461,0.1490584675600215,0.4410157322159736,0.42266410145931677,0.11864322010207638,,,,,,,,,,,,,,,,,,
