epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,1513.1433940686677,1513.1444798519738,-0.0010876580582637537,hybrid,0.1,1.0,10.0,,1.0
2,1350.6985826994244,1350.6780491879113,0.02052658869835891,hybrid,0.1,1.0,10.0,,1.0
3,1263.9038471422698,1263.9049971731085,-0.0011594165361633426,hybrid,0.1,1.0,10.0,,1.0
4,1207.12744140625,1207.1452251233552,-0.017791217511617823,hybrid,0.1,1.0,10.0,,1.0
5,1147.5578677528783,1147.5723105982731,-0.01444517022096797,hybrid,0.1,1.0,10.0,,1.0
6,1086.3425035978619,1086.3603194387335,-0.017804983350766922,hybrid,0.1,1.0,10.0,,1.0
7,1041.8447329872533,1041.8780003597863,-0.03325942545933159,hybrid,0.1,1.0,10.0,,1.0
8,984.0256636770148,984.0745721114309,-0.04890668171604997,hybrid,0.1,1.0,10.0,,1.0
9,928.8402677837171,928.8921187551398,-0.05184551573505527,hybrid,0.1,1.0,10.0,,1.0
10,874.0572092156661,874.1277337325247,-0.07052738524630274,hybrid,0.1,1.0,10.0,,1.0
11,826.1890933388158,826.2524960166529,-0.06339717537660985,hybrid,0.1,1.0,10.0,,1.0
12,779.2168803967928,779.2825702868009,-0.06568832376873807,hybrid,0.1,1.0,10.0,,1.0
13,731.4632761101974,731.5410862972861,-0.07781033788954742,hybrid,0.1,1.0,10.0,,1.0
14,686.6685405530428,686.7406391344572,-0.0720967604827724,hybrid,0.1,1.0,10.0,,1.0
15,638.6328799599096,638.6907926860608,-0.05791971679335754,hybrid,0.1,1.0,10.0,,1.0
16,593.5659276058799,593.6604646381579,-0.09454081228346024,hybrid,0.1,1.0,10.0,,1.0
17,548.9636101973684,549.0560688219572,-0.09246421236189474,hybrid,0.1,1.0,10.0,,1.0
18,506.4165697599712,506.51679109272203,-0.10022259885935407,hybrid,0.1,1.0,10.0,,1.0
19,468.2006530761719,468.3099284924959,-0.10927395556906336,hybrid,0.1,1.0,10.0,,1.0
20,429.927589818051,430.03510163959703,-0.10751316383003111,hybrid,0.1,1.0,10.0,,1.0
21,391.45136301141036,391.57641922800167,-0.12505607174611405,hybrid,0.1,1.0,10.0,,1.0
22,354.19960262900906,354.3056303325452,-0.1060274607550941,hybrid,0.1,1.0,10.0,,1.0
