epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,1519.260074013158,1519.2142076994244,0.04586409199002542,hybrid,0.1,1.0,10.0,,1.0
2,1347.7288175884046,1347.7308799342106,-0.0020654566438966676,hybrid,0.1,1.0,10.0,,1.0
3,1267.400943153783,1267.416259765625,-0.01532316210336591,hybrid,0.1,1.0,10.0,,1.0
4,1210.0169934724506,1210.031802528783,-0.014826484281863821,hybrid,0.1,1.0,10.0,,1.0
5,1134.3478489925988,1134.3552760074012,-0.007428489944064303,hybrid,0.1,1.0,10.0,,1.0
6,1085.139214766653,1085.1770629882812,-0.037845618642964644,hybrid,0.1,1.0,10.0,,1.0
7,1017.6671977796053,1017.7202983655428,-0.0531008449432097,hybrid,0.1,1.0,10.0,,1.0
8,965.3003861276727,965.3454300729852,-0.045048628247490057,hybrid,0.1,1.0,10.0,,1.0
9,905.9812782689145,906.0384906969572,-0.057212593622113526,hybrid,0.1,1.0,10.0,,1.0
10,867.2393959446957,867.2867463764392,-0.047360477895524944,hybrid,0.1,1.0,10.0,,1.0
11,813.2028101870889,813.2640605725741,-0.06125583141846092,hybrid,0.1,1.0,10.0,,1.0
12,772.1636802271793,772.2055053710938,-0.04182621603218937,hybrid,0.1,1.0,10.0,,1.0
13,715.1171328895971,715.1682546515214,-0.05112229169983613,hybrid,0.1,1.0,10.0,,1.0
14,676.9127871864721,676.9644325657895,-0.05164610947433271,hybrid,0.1,1.0,10.0,,1.0
15,627.1218872070312,627.2056820518092,-0.08380227736932666,hybrid,0.1,1.0,10.0,,1.0
16,588.1190024928043,588.1909500925165,-0.07194813674217776,hybrid,0.1,1.0,10.0,,1.0
17,543.6098954050165,543.6875931589227,-0.07770086310215686,hybrid,0.1,1.0,10.0,,1.0
18,503.23987137643917,503.3252772281044,-0.08540038717910647,hybrid,0.1,1.0,10.0,,1.0
19,461.0816987690173,461.1799942819696,-0.0982934974722172,hybrid,0.1,1.0,10.0,,1.0
20,423.4223215203536,423.52832352487667,-0.10600052391620059,hybrid,0.1,1.0,10.0,,1.0
21,385.2404383609169,385.35602609734786,-0.11559029815620497,hybrid,0.1,1.0,10.0,,1.0
22,349.25174110814146,349.3536939119038,-0.10194754987759025,hybrid,0.1,1.0,10.0,,1.0
23,313.27001471268505,313.39627557051807,-0.12626307991970526,hybrid,0.1,1.0,10.0,,1.0
24,278.1420922530325,278.2675845497533,-0.12549233936557644,hybrid,0.1,1.0,10.0,,1.0
25,246.92027282714844,247.06008429276315,-0.13981093000620604,hybrid,0.1,1.0,10.0,,1.0
26,218.91030241313734,219.04965611508018,-0.1393530138425137,hybrid,0.1,1.0,10.0,,1.0
27,193.50492055792557,193.65948727256372,-0.15456614221789336,hybrid,0.1,1.0,10.0,,1.0
28,172.82887268066406,172.99106959292763,-0.1621964867962034,hybrid,0.1,1.0,10.0,,1.0
29,150.76770501387747,150.92403612638773,-0.1563292935882744,hybrid,0.1,1.0,10.0,,1.0
30,131.92631731535258,132.07067389237253,-0.1443571809091066,hybrid,0.1,1.0,10.0,,1.0
31,114.72927334434108,114.85953280800267,-0.13025882702909017,hybrid,0.1,1.0,10.0,,1.0
32,98.49090576171875,98.64294794986122,-0.15204228186293653,hybrid,0.1,1.0,10.0,,1.0
33,81.29169664884868,81.45773114656147,-0.16603482632260574,hybrid,0.1,1.0,10.0,,1.0
34,67.8945511265805,68.04461629767167,-0.150065917913851,hybrid,0.1,1.0,10.0,,1.0
35,53.28993064478824,53.452775051719264,-0.16284451261162758,hybrid,0.1,1.0,10.0,,1.0
36,41.02488487645199,41.213585702996504,-0.1887010559439659,hybrid,0.1,1.0,10.0,,1.0
37,29.75123355263158,29.928433970401162,-0.17720025581748863,hybrid,0.1,1.0,10.0,,1.0
38,19.4515649895919,19.626010041487845,-0.174444806026785,hybrid,0.1,1.0,10.0,,1.0
39,11.544711941166929,11.706735736445376,-0.16202380194475777,hybrid,0.1,1.0,10.0,,1.0
40,6.339695579127262,6.515796912343879,-0.1761012924344916,hybrid,0.1,1.0,10.0,,1.0
41,4.780618517022384,4.944147185275429,-0.1635286958986207,hybrid,0.1,1.0,10.0,,1.0
42,4.672218247463829,4.837841209612395,-0.1656230052835063,hybrid,0.1,1.0,10.0,,1.0
43,4.655580821790193,4.837722903803775,-0.1821420494663088,hybrid,0.1,1.0,10.0,,1.0
44,4.629987315127724,4.835449645393773,-0.20546230595362813,hybrid,0.1,1.0,10.0,,1.0
45,4.607242559131823,4.832280886800666,-0.22503839393979624,hybrid,0.1,1.0,10.0,,1.0
46,4.607314360769172,4.834183467061896,-0.2268691157039843,hybrid,0.1,1.0,10.0,,1.0
47,4.607418135592812,4.83203094883969,-0.2246127669748507,hybrid,0.1,1.0,10.0,,1.0
48,4.6019307437695955,4.831824704220421,-0.22989403181954435,hybrid,0.1,1.0,10.0,,1.0
49,4.594324664065712,4.829214798776727,-0.23489015667062058,hybrid,0.1,1.0,10.0,,1.0
50,4.582183662213777,4.829174970325671,-0.24699124968365618,hybrid,0.1,1.0,10.0,,1.0
51,4.5784733671891065,4.8268384431537825,-0.24836508929729462,hybrid,0.1,1.0,10.0,,1.0
52,4.553318124068411,4.824338586706864,-0.27102047832388626,hybrid,0.1,1.0,10.0,,1.0
53,4.552406511808696,4.823783874511719,-0.27137738623117147,hybrid,0.1,1.0,10.0,,1.0
54,4.555175279316149,4.826641183150442,-0.2714659116770092,hybrid,0.1,1.0,10.0,,1.0
55,4.554892489784642,4.825349908126028,-0.27045743402681854,hybrid,0.1,1.0,10.0,,1.0
56,4.563956712421618,4.826927436025519,-0.262970758896125,hybrid,0.1,1.0,10.0,,1.0
57,4.546678492897435,4.823756343440006,-0.2770777979963704,hybrid,0.1,1.0,10.0,,1.0
58,4.537460678502133,4.823789345590692,-0.28632862709070506,hybrid,0.1,1.0,10.0,,1.0
59,4.567463523463199,4.825323807565789,-0.25786030998355464,hybrid,0.1,1.0,10.0,,1.0
60,4.56203001423886,4.826463548760665,-0.2644335431487937,hybrid,0.1,1.0,10.0,,1.0
61,4.554287257947419,4.825760289242393,-0.2714730022769225,hybrid,0.1,1.0,10.0,,1.0
62,4.547944972389622,4.822285250613564,-0.27434033155441284,hybrid,0.1,1.0,10.0,,1.0
63,4.541618974585282,4.822383780228464,-0.2807648032903671,hybrid,0.1,1.0,10.0,,1.0
64,4.548486257854261,4.824403235786839,-0.27591695440442937,hybrid,0.1,1.0,10.0,,1.0
65,4.531947612762451,4.821112557461388,-0.2891649752855301,hybrid,0.1,1.0,10.0,,1.0
66,4.531274444178531,4.82214157204879,-0.29086717884791524,hybrid,0.1,1.0,10.0,,1.0
67,4.525666688617907,4.820937482934249,-0.29527076765110616,hybrid,0.1,1.0,10.0,,1.0
68,4.496023880807977,4.815046310424805,-0.31902248922147247,hybrid,0.1,1.0,10.0,,1.0
69,4.5158671077929045,4.818617394095973,-0.30275026904909236,hybrid,0.1,1.0,10.0,,1.0
70,4.499812954350522,4.815539008692691,-0.31572604022527995,hybrid,0.1,1.0,10.0,,1.0
71,4.50491210034019,4.817322480051141,-0.3124103812794936,hybrid,0.1,1.0,10.0,,1.0
72,4.502631312922428,4.8186154867473405,-0.3159842200969395,hybrid,0.1,1.0,10.0,,1.0
73,4.489198534112227,4.814691317708869,-0.32549280477197545,hybrid,0.1,1.0,10.0,,1.0
74,4.514028775064569,4.816535899513646,-0.30250719424925354,hybrid,0.1,1.0,10.0,,1.0
75,4.489319550363641,4.81370012383712,-0.3243805844532816,hybrid,0.1,1.0,10.0,,1.0
76,4.481856195550216,4.813510367744847,-0.33165422395655986,hybrid,0.1,1.0,10.0,,1.0
77,4.500016789687307,4.816197094164397,-0.3161802699691371,hybrid,0.1,1.0,10.0,,1.0
78,4.492314464167545,4.815247761575799,-0.32293325819467245,hybrid,0.1,1.0,10.0,,1.0
79,4.48482450686003,4.813662278024774,-0.32883784723909276,hybrid,0.1,1.0,10.0,,1.0
80,4.475481158808658,4.811348915100098,-0.3358677570757113,hybrid,0.1,1.0,10.0,,1.0
81,4.482408448269493,4.81230512418245,-0.3298966672859694,hybrid,0.1,1.0,10.0,,1.0
82,4.4734105310942,4.810197027106034,-0.33678654777376277,hybrid,0.1,1.0,10.0,,1.0
83,4.4913920101366545,4.81505991283216,-0.32366787681454107,hybrid,0.1,1.0,10.0,,1.0
