input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,,
raw,setup2,0.7694509803921569,0.585945945945946,0.6780225603755016,0.4500818330605565,0.615077708538665,0.6085714285714285,0.23146067415730337,-0.05690395758488731,0.31646411628709464,0.28643693604946857,0.09388755257968534,,,,,,,,,,,,,,,,,,
raw,setup3,0.7702352941176471,0.5755366795366796,0.7112953289423878,0.48117839607201307,0.6287065822405505,0.7221428571428572,0.5932584269662922,0.08854503978005934,0.4086340520041551,0.3810828057981262,0.14794673231077957,hybrid,0.1,1.0,10.0,,1.0,0.1,0.01813691295683384,0.018280159682035446,0.007082893513143063,0.03074408322572708,0.0,0.0,0.0,0.11428619528088127,results_w0/mode_hybrid/setup3_pca_d_mod3_raw.png,results_w0/mode_hybrid/setup3_pairwise_distance_raw.png,results_w0/mode_hybrid/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.7207142857142856,0.5910112359550561,,0.39891648451442696,0.3732649207894905,,hybrid,0.1,1.0,10.0,,1.0,0.1,,,,,,,,,,,
raw,setup4,0.8191372549019608,0.5891274131274131,0.7716329775153306,0.4828150572831424,0.6571029200543154,0.6671428571428571,0.3235955056179775,0.05411690266881197,0.37964706357867367,0.3519957955009967,0.08810007514260301,,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,,
combat,setup2,0.7734901960784314,0.5698841698841699,0.6827920357332122,0.46481178396072015,0.6156661966959477,0.5357142857142857,0.2584269662921349,-0.023391685081027402,0.3162456337590656,0.3139271171475927,0.06305070399365618,,,,,,,,,,,,,,,,,,
combat,setup3,0.8011764705882353,0.597945945945946,0.730259671436142,0.4909983633387889,0.6451942762176862,0.7692857142857142,0.651685393258427,0.09413361293872713,0.4224905326653891,0.4064133340277701,0.16125297557636567,hybrid,0.1,1.0,10.0,,1.0,0.1,0.032511018216609955,0.0324568934738636,0.006341149099171162,0.03821621462702751,0.0,0.0,0.0,0.12091638297346251,results_w0/mode_hybrid/setup3_pca_d_mod3_combat.png,results_w0/mode_hybrid/setup3_pairwise_distance_combat.png,results_w0/mode_hybrid/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7635714285714287,0.6247191011235955,,0.4114085932955113,0.3955496598575037,,hybrid,0.1,1.0,10.0,,1.0,0.1,,,,,,,,,,,
combat,setup4,0.8258823529411765,0.6176988416988417,0.7520251343780756,0.4762684124386252,0.657336766767327,0.6378571428571429,0.3101123595505618,0.05394118909429235,0.3898186422585705,0.36184585502790634,0.07326531660206602,,,,,,,,,,,,,,,,,,
