epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,1512.8441354851973,1512.8443796258223,-0.00026058518683145707,hybrid_basic,0.1,1.0,10.0,,1.0
2,1348.3232229132402,1348.3175755550988,0.0056413575688278985,hybrid_basic,0.1,1.0,10.0,,1.0
3,1265.8241802014802,1265.8223427220394,0.0018375538334351547,hybrid_basic,0.1,1.0,10.0,,1.0
4,1209.679931640625,1209.6797710217927,0.00016142702875903954,hybrid_basic,0.1,1.0,10.0,,1.0
5,1146.3456838507402,1146.3479132401317,-0.002217485094565506,hybrid_basic,0.1,1.0,10.0,,1.0
6,1087.9757529810856,1087.9837614360608,-0.008007498611205895,hybrid_basic,0.1,1.0,10.0,,1.0
7,1040.6330919767681,1040.6393978721217,-0.006297717115988857,hybrid_basic,0.1,1.0,10.0,,1.0
8,979.1988107781661,979.2077315481085,-0.008920727726562242,hybrid_basic,0.1,1.0,10.0,,1.0
9,927.2790752210116,927.2866435803866,-0.007572418942704405,hybrid_basic,0.1,1.0,10.0,,1.0
10,870.9201595908717,870.934371145148,-0.014213226018718592,hybrid_basic,0.1,1.0,10.0,,1.0
11,825.1620322779605,825.1708920127467,-0.008849529855835595,hybrid_basic,0.1,1.0,10.0,,1.0
12,780.5279348273026,780.5380987870066,-0.01015739020658657,hybrid_basic,0.1,1.0,10.0,,1.0
13,729.8391884251645,729.8538946854441,-0.014710116972166457,hybrid_basic,0.1,1.0,10.0,,1.0
14,691.0311953895971,691.0455547131991,-0.01436022862540803,hybrid_basic,0.1,1.0,10.0,,1.0
15,640.1574899773849,640.1691219932154,-0.011631813715977938,hybrid_basic,0.1,1.0,10.0,,1.0
16,599.5312210886102,599.5496729800576,-0.018456017304407924,hybrid_basic,0.1,1.0,10.0,,1.0
17,552.3524105674342,552.3730854235197,-0.020672974513696606,hybrid_basic,0.1,1.0,10.0,,1.0
18,511.6963549162212,511.7196157355058,-0.02325831756829039,hybrid_basic,0.1,1.0,10.0,,1.0
19,473.76065224095396,473.7838504188939,-0.023202013444939728,hybrid_basic,0.1,1.0,10.0,,1.0
20,434.1893374794408,434.21283762078536,-0.0234983746422107,hybrid_basic,0.1,1.0,10.0,,1.0
21,396.4426333778783,396.46506058542354,-0.022428396917683512,hybrid_basic,0.1,1.0,10.0,,1.0
22,359.3334559390419,359.3556486430921,-0.022191523093313566,hybrid_basic,0.1,1.0,10.0,,1.0
23,322.9532679507607,322.9801587556538,-0.026892870542054113,hybrid_basic,0.1,1.0,10.0,,1.0
24,289.11341295744245,289.1447336297286,-0.03132133710345155,hybrid_basic,0.1,1.0,10.0,,1.0
25,256.1154929713199,256.14402530067844,-0.02853292160618462,hybrid_basic,0.1,1.0,10.0,,1.0
26,225.5848517166941,225.6153564453125,-0.030504544792500764,hybrid_basic,0.1,1.0,10.0,,1.0
27,196.00276344700865,196.0318603515625,-0.02909645727394443,hybrid_basic,0.1,1.0,10.0,,1.0
28,172.15592795924135,172.1863845022101,-0.030455395358761673,hybrid_basic,0.1,1.0,10.0,,1.0
29,146.30603509200247,146.34250118857935,-0.0364658751181866,hybrid_basic,0.1,1.0,10.0,,1.0
30,125.70567241467927,125.73782750179893,-0.03215574137376327,hybrid_basic,0.1,1.0,10.0,,1.0
31,106.83139359323602,106.86869691547595,-0.03730326938736988,hybrid_basic,0.1,1.0,10.0,,1.0
32,88.46975185996608,88.50437284770764,-0.034621363456704114,hybrid_basic,0.1,1.0,10.0,,1.0
33,71.93679769415604,71.97466739855315,-0.03786938762488334,hybrid_basic,0.1,1.0,10.0,,1.0
34,56.564048164769225,56.60260652240954,-0.03855856228619814,hybrid_basic,0.1,1.0,10.0,,1.0
35,43.18271155106394,43.22132210982473,-0.038610527978131644,hybrid_basic,0.1,1.0,10.0,,1.0
36,30.87832972877904,30.920574589779502,-0.04224452854281193,hybrid_basic,0.1,1.0,10.0,,1.0
37,20.000851781744707,20.037473327235173,-0.036621725113180126,hybrid_basic,0.1,1.0,10.0,,1.0
38,11.822258196379009,11.865198085182591,-0.04293990899857722,hybrid_basic,0.1,1.0,10.0,,1.0
39,6.6416416670146745,6.686611702567653,-0.04497002516137926,hybrid_basic,0.1,1.0,10.0,,1.0
40,4.925119776474802,4.9691039386548495,-0.04398416350350568,hybrid_basic,0.1,1.0,10.0,,1.0
41,4.791002775493421,4.832848498695775,-0.04184573981910944,hybrid_basic,0.1,1.0,10.0,,1.0
42,4.792893610502544,4.833092413450542,-0.040198786625344506,hybrid_basic,0.1,1.0,10.0,,1.0
43,4.782052391453793,4.832370983926873,-0.050318531692028046,hybrid_basic,0.1,1.0,10.0,,1.0
44,4.7813236085992115,4.832075445275557,-0.050751875889928716,hybrid_basic,0.1,1.0,10.0,,1.0
45,4.775392682928788,4.8302641667817765,-0.05487149728364066,hybrid_basic,0.1,1.0,10.0,,1.0
46,4.778262314043547,4.830733700802452,-0.05247141161051236,hybrid_basic,0.1,1.0,10.0,,1.0
47,4.777023189946225,4.83149360355578,-0.05447043086353101,hybrid_basic,0.1,1.0,10.0,,1.0
48,4.773103663795872,4.829556239278693,-0.05645256136593066,hybrid_basic,0.1,1.0,10.0,,1.0
49,4.769232448778655,4.828588385331003,-0.05935591557308247,hybrid_basic,0.1,1.0,10.0,,1.0
50,4.765981046777022,4.827157647986161,-0.06117661414962066,hybrid_basic,0.1,1.0,10.0,,1.0
51,4.764946812077572,4.827106500926771,-0.06215967159522207,hybrid_basic,0.1,1.0,10.0,,1.0
52,4.763497754147179,4.826528473904259,-0.06303074054027859,hybrid_basic,0.1,1.0,10.0,,1.0
53,4.773778363278038,4.829914369081196,-0.056136040507178554,hybrid_basic,0.1,1.0,10.0,,1.0
54,4.763173630363063,4.826405475014134,-0.06323190680459927,hybrid_basic,0.1,1.0,10.0,,1.0
55,4.756349914952328,4.8229314653497,-0.06658155069147285,hybrid_basic,0.1,1.0,10.0,,1.0
56,4.762218851792185,4.827222397452907,-0.06500351095670148,hybrid_basic,0.1,1.0,10.0,,1.0
57,4.761942236047042,4.825788071281032,-0.06384580994122907,hybrid_basic,0.1,1.0,10.0,,1.0
58,4.75194599753932,4.822425792091771,-0.0704797798473584,hybrid_basic,0.1,1.0,10.0,,1.0
59,4.756980720319246,4.824739531466835,-0.06775883565607824,hybrid_basic,0.1,1.0,10.0,,1.0
60,4.758588991667095,4.823669006949977,-0.06508002136098712,hybrid_basic,0.1,1.0,10.0,,1.0
61,4.757528505827251,4.8246870040893555,-0.06715843061867513,hybrid_basic,0.1,1.0,10.0,,1.0
62,4.755377618890059,4.823559108533357,-0.06818154022881859,hybrid_basic,0.1,1.0,10.0,,1.0
63,4.742730341459575,4.818362411699797,-0.07563202122324392,hybrid_basic,0.1,1.0,10.0,,1.0
64,4.745021518908049,4.81904381199887,-0.0740222648570412,hybrid_basic,0.1,1.0,10.0,,1.0
65,4.750727452729878,4.821358279178017,-0.07063087115162298,hybrid_basic,0.1,1.0,10.0,,1.0
66,4.748034376847117,4.820428296139366,-0.07239393987937977,hybrid_basic,0.1,1.0,10.0,,1.0
67,4.76473825856259,4.8263273992036515,-0.06158910162354771,hybrid_basic,0.1,1.0,10.0,,1.0
68,4.75087278767636,4.82317402488307,-0.0723012519118033,hybrid_basic,0.1,1.0,10.0,,1.0
69,4.744616307710347,4.81831663533261,-0.07370034958186902,hybrid_basic,0.1,1.0,10.0,,1.0
70,4.746429543746145,4.819728625448127,-0.07329904778223288,hybrid_basic,0.1,1.0,10.0,,1.0
71,4.73573667124698,4.815011375828793,-0.07927474850102474,hybrid_basic,0.1,1.0,10.0,,1.0
72,4.736935791216399,4.815405418998317,-0.07846962523303534,hybrid_basic,0.1,1.0,10.0,,1.0
73,4.740904958624589,4.816652247780247,-0.07574728523430072,hybrid_basic,0.1,1.0,10.0,,1.0
74,4.749782361482319,4.82173984929135,-0.07195745212467093,hybrid_basic,0.1,1.0,10.0,,1.0
75,4.745416741622122,4.819497259039628,-0.0740804766353808,hybrid_basic,0.1,1.0,10.0,,1.0
76,4.7466028615048055,4.819136694857948,-0.07253388884036165,hybrid_basic,0.1,1.0,10.0,,1.0
77,4.735756171377082,4.814300863366378,-0.07854471081181576,hybrid_basic,0.1,1.0,10.0,,1.0
78,4.737715921903911,4.816667531666003,-0.07895165289703168,hybrid_basic,0.1,1.0,10.0,,1.0
79,4.7319136669761255,4.812179239172685,-0.0802655890583992,hybrid_basic,0.1,1.0,10.0,,1.0
80,4.731321058775249,4.811881717882659,-0.08056065714672993,hybrid_basic,0.1,1.0,10.0,,1.0
81,4.7316915863438656,4.812140690652948,-0.08044911068128913,hybrid_basic,0.1,1.0,10.0,,1.0
82,4.726419624529387,4.810743507586028,-0.08432388952688168,hybrid_basic,0.1,1.0,10.0,,1.0
83,4.726477095955296,4.810954922123959,-0.08447779911129098,hybrid_basic,0.1,1.0,10.0,,1.0
84,4.730371600703189,4.811422046862151,-0.08105047890230228,hybrid_basic,0.1,1.0,10.0,,1.0
85,4.722034153185393,4.8078747799522,-0.08584059931729969,hybrid_basic,0.1,1.0,10.0,,1.0
86,4.729019792456376,4.811748956379137,-0.08272922627235714,hybrid_basic,0.1,1.0,10.0,,1.0
