epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,1517.8738371196546,1517.861482319079,0.012344112717791608,hybrid_basic,0.1,1.0,10.0,,1.0
2,1349.7762515419408,1349.7807488692433,-0.004491037640132402,hybrid_basic,0.1,1.0,10.0,,1.0
3,1259.8758801912006,1259.8746209395558,0.0012666313100214068,hybrid_basic,0.1,1.0,10.0,,1.0
4,1216.1747725637335,1216.1698255037006,0.004941489124719642,hybrid_basic,0.1,1.0,10.0,,1.0
5,1136.576326069079,1136.5740517064144,0.002273682216917606,hybrid_basic,0.1,1.0,10.0,,1.0
6,1085.8848041735198,1085.8929314864308,-0.00813744265102095,hybrid_basic,0.1,1.0,10.0,,1.0
7,1027.5865671258223,1027.6010292454769,-0.014457648748678989,hybrid_basic,0.1,1.0,10.0,,1.0
8,971.197998046875,971.2129227487665,-0.014928565544419382,hybrid_basic,0.1,1.0,10.0,,1.0
9,910.5810129266036,910.595992238898,-0.014975951350367578,hybrid_basic,0.1,1.0,10.0,,1.0
10,873.7523032740543,873.7694830643503,-0.01717812156206683,hybrid_basic,0.1,1.0,10.0,,1.0
11,817.2229036030017,817.2393316971628,-0.01642820780168557,hybrid_basic,0.1,1.0,10.0,,1.0
12,774.5687673468339,774.5814562345806,-0.012692638305260948,hybrid_basic,0.1,1.0,10.0,,1.0
13,720.3637727436267,720.3768985145971,-0.013120674488355258,hybrid_basic,0.1,1.0,10.0,,1.0
14,675.2101633172286,675.2240664833471,-0.013911523004552643,hybrid_basic,0.1,1.0,10.0,,1.0
15,628.4134746350741,628.4318173057154,-0.018345795679028686,hybrid_basic,0.1,1.0,10.0,,1.0
16,588.3729376541941,588.3913766961349,-0.01844114106834719,hybrid_basic,0.1,1.0,10.0,,1.0
17,543.6292307000411,543.6474480879934,-0.01821423086680864,hybrid_basic,0.1,1.0,10.0,,1.0
18,502.07672761615953,502.09885928505344,-0.022129641049296447,hybrid_basic,0.1,1.0,10.0,,1.0
19,459.6133744089227,459.64039049650495,-0.02701538090447062,hybrid_basic,0.1,1.0,10.0,,1.0
20,423.2164226331209,423.246193333676,-0.02976926212738219,hybrid_basic,0.1,1.0,10.0,,1.0
21,383.4555262515419,383.48340807462995,-0.02787823654025009,hybrid_basic,0.1,1.0,10.0,,1.0
22,346.7835805792558,346.81126323499177,-0.027680888030629017,hybrid_basic,0.1,1.0,10.0,,1.0
23,308.42287565532484,308.4532534950658,-0.03037629114758027,hybrid_basic,0.1,1.0,10.0,,1.0
24,273.73597797594573,273.76977860300167,-0.03380255357019211,hybrid_basic,0.1,1.0,10.0,,1.0
25,243.51182957699424,243.54090319181742,-0.02907322725820306,hybrid_basic,0.1,1.0,10.0,,1.0
26,218.4676104093853,218.50724953099302,-0.0396377074189092,hybrid_basic,0.1,1.0,10.0,,1.0
27,195.1061184531764,195.1390878777755,-0.0329691807457589,hybrid_basic,0.1,1.0,10.0,,1.0
28,173.7595672607422,173.7989004034745,-0.039332736087472814,hybrid_basic,0.1,1.0,10.0,,1.0
29,154.56069062885484,154.59728923596833,-0.03659854878328348,hybrid_basic,0.1,1.0,10.0,,1.0
30,132.85572011847245,132.8941321122019,-0.03841199316574555,hybrid_basic,0.1,1.0,10.0,,1.0
31,115.99323754561574,116.02865560431229,-0.03541814925541219,hybrid_basic,0.1,1.0,10.0,,1.0
