input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,,
raw,setup2,0.7694509803921569,0.585945945945946,0.6780225603755016,0.4500818330605565,0.615077708538665,0.6085714285714285,0.23146067415730337,-0.05690395758488731,0.31646411628709464,0.28643693604946857,0.09388755257968534,,,,,,,,,,,,,,,,,,
raw,setup3,0.8045098039215686,0.591027027027027,0.7466878643349232,0.49427168576104746,0.6499514561229022,0.7228571428571429,0.5146067415730338,0.09286618263401836,0.42476693882430505,0.3962595636306628,0.07673991600419934,rank_kendall,0.1,1.0,10.0,,1.0,0.1,0.961219847202301,0.9936577081680298,0.9512349963188171,1.2079716920852661,128.0,128.0,128.0,0.08508491856939712,results_w0/mode_rank_kendall/setup3_pca_d_mod3_raw.png,results_w0/mode_rank_kendall/setup3_pairwise_distance_raw.png,results_w0/mode_rank_kendall/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.6721428571428572,0.5303370786516854,,0.2421540326359283,0.3365702504338915,,rank_kendall,0.1,1.0,10.0,,1.0,0.1,,,,,,,,,,,
raw,setup4,0.8094509803921568,0.5836138996138996,0.7683019153607389,0.48117839607201307,0.6708251368057964,0.6385714285714286,0.3617977528089888,0.06701085954274377,0.4011040179742346,0.3773680425458263,0.07130356399149396,,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,,
combat,setup2,0.7734901960784314,0.5698841698841699,0.6827920357332122,0.46481178396072015,0.6156661966959477,0.5357142857142857,0.2584269662921349,-0.023391685081027402,0.3162456337590656,0.3139271171475927,0.06305070399365618,,,,,,,,,,,,,,,,,,
combat,setup3,0.8225490196078431,0.5758610038610039,0.7740177151941858,0.4795417348608838,0.651302337509103,0.7364285714285714,0.48314606741573035,0.07785769709084667,0.4123268862733949,0.39337659884860277,0.07078734287250062,rank_kendall,0.1,1.0,10.0,,1.0,0.1,0.9706186652183533,1.043731927871704,0.9598217010498047,1.1560375690460205,128.0,128.0,128.0,0.10402047325866035,results_w0/mode_rank_kendall/setup3_pca_d_mod3_combat.png,results_w0/mode_rank_kendall/setup3_pairwise_distance_combat.png,results_w0/mode_rank_kendall/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7657142857142858,0.597752808988764,,0.2479712099230875,0.3541308729228055,,rank_kendall,0.1,1.0,10.0,,1.0,0.1,,,,,,,,,,,
combat,setup4,0.8354901960784313,0.6195675675675675,0.7142857142857143,0.486088379705401,0.6684578982877015,0.6835714285714285,0.3303370786516854,0.14907338903728828,0.43509909024443333,0.4154741556411677,0.06972729383122098,,,,,,,,,,,,,,,,,,
