epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,-0.022229777826731533,1924.9466424239308,-0.022229777826731533,rank_kendall_basic,0.1,1.0,10.0,,1.0
2,-0.032626975719866,2004.6130563836348,-0.032626975719866,rank_kendall_basic,0.1,1.0,10.0,,1.0
3,-0.03062272041202768,2043.1450516550165,-0.03062272041202768,rank_kendall_basic,0.1,1.0,10.0,,1.0
4,-0.0402812865611754,2070.522557308799,-0.0402812865611754,rank_kendall_basic,0.1,1.0,10.0,,1.0
5,-0.04226832983917311,2074.1171746504933,-0.04226832983917311,rank_kendall_basic,0.1,1.0,10.0,,1.0
6,-0.04444817228144721,2097.4214766652963,-0.04444817228144721,rank_kendall_basic,0.1,1.0,10.0,,1.0
7,-0.04931461546373995,2096.197156404194,-0.04931461546373995,rank_kendall_basic,0.1,1.0,10.0,,1.0
8,-0.05216920718942818,2061.1613641036183,-0.05216920718942818,rank_kendall_basic,0.1,1.0,10.0,,1.0
9,-0.05280216185278014,2074.106316817434,-0.05280216185278014,rank_kendall_basic,0.1,1.0,10.0,,1.0
10,-0.05616130934734093,2083.7097039473683,-0.05616130934734093,rank_kendall_basic,0.1,1.0,10.0,,1.0
11,-0.04074687902864657,2112.9460963199012,-0.04074687902864657,rank_kendall_basic,0.1,1.0,10.0,,1.0
12,-0.05172083173927508,2169.8254780016446,-0.05172083173927508,rank_kendall_basic,0.1,1.0,10.0,,1.0
13,-0.05922267037002664,2166.5087505139804,-0.05922267037002664,rank_kendall_basic,0.1,1.0,10.0,,1.0
14,-0.05719877328527601,2182.8860120271383,-0.05719877328527601,rank_kendall_basic,0.1,1.0,10.0,,1.0
15,-0.0647726052097584,2185.3895584909537,-0.0647726052097584,rank_kendall_basic,0.1,1.0,10.0,,1.0
16,-0.06930153307161833,2083.8060302734375,-0.06930153307161833,rank_kendall_basic,0.1,1.0,10.0,,1.0
17,-0.06670707209329856,2071.5412854646383,-0.06670707209329856,rank_kendall_basic,0.1,1.0,10.0,,1.0
18,-0.06379482130471029,2069.035933645148,-0.06379482130471029,rank_kendall_basic,0.1,1.0,10.0,,1.0
19,-0.06932215451409943,2062.790752210115,-0.06932215451409943,rank_kendall_basic,0.1,1.0,10.0,,1.0
20,-0.06884756174526717,2068.6176500822367,-0.06884756174526717,rank_kendall_basic,0.1,1.0,10.0,,1.0
21,-0.07188187029800917,2076.2277446546054,-0.07188187029800917,rank_kendall_basic,0.1,1.0,10.0,,1.0
22,-0.07126757110420026,2117.10011693051,-0.07126757110420026,rank_kendall_basic,0.1,1.0,10.0,,1.0
23,-0.07367593050003052,2055.9241236636512,-0.07367593050003052,rank_kendall_basic,0.1,1.0,10.0,,1.0
24,-0.07520281209757454,2054.0034243935033,-0.07520281209757454,rank_kendall_basic,0.1,1.0,10.0,,1.0
25,-0.07161429544028483,2146.4304134971217,-0.07161429544028483,rank_kendall_basic,0.1,1.0,10.0,,1.0
26,-0.06983683297508642,2147.3458444695725,-0.06983683297508642,rank_kendall_basic,0.1,1.0,10.0,,1.0
27,-0.0739075788541844,2261.9684930098683,-0.0739075788541844,rank_kendall_basic,0.1,1.0,10.0,,1.0
28,-0.07588925251835271,2201.338295384457,-0.07588925251835271,rank_kendall_basic,0.1,1.0,10.0,,1.0
29,-0.07738310412356728,2215.2889211554275,-0.07738310412356728,rank_kendall_basic,0.1,1.0,10.0,,1.0
30,-0.07440408142773729,2250.1919202302633,-0.07440408142773729,rank_kendall_basic,0.1,1.0,10.0,,1.0
