input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,,
raw,setup2,0.7694509803921569,0.585945945945946,0.6780225603755016,0.4500818330605565,0.615077708538665,0.6085714285714285,0.23146067415730337,-0.05690395758488731,0.31646411628709464,0.28643693604946857,0.09388755257968534,,,,,,,,,,,,,,,,,,
raw,setup3,0.8118039215686275,0.5951042471042471,0.7552047846165494,0.4746317512274959,0.6528207930664921,0.7357142857142858,0.5235955056179775,0.07388988874758562,0.4163863544209546,0.3782338789396792,0.11694332943443142,rank_kendall_basic,0.1,1.0,10.0,,1.0,0.1,1.1389944553375244,1.1787556409835815,1.1343969106674194,1.3290709257125854,128.0,128.0,128.0,0.13162186234264037,results_w0/mode_rank_kendall_basic/setup3_pca_d_mod3_raw.png,results_w0/mode_rank_kendall_basic/setup3_pairwise_distance_raw.png,results_w0/mode_rank_kendall_basic/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.7135714285714286,0.5910112359550561,,0.31757747252889307,0.3606691003519006,,rank_kendall_basic,0.1,1.0,10.0,,1.0,0.1,,,,,,,,,,,
raw,setup4,0.8003137254901961,0.5986100386100386,0.7651601181012945,0.486088379705401,0.6608446930093986,0.6214285714285714,0.5101123595505618,0.09715393366031777,0.42580295792257283,0.3945662426919737,0.06750852739619892,,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,,
combat,setup2,0.7734901960784314,0.5698841698841699,0.6827920357332122,0.46481178396072015,0.6156661966959477,0.5357142857142857,0.2584269662921349,-0.023391685081027402,0.3162456337590656,0.3139271171475927,0.06305070399365618,,,,,,,,,,,,,,,,,,
combat,setup3,0.8210980392156861,0.6081081081081081,0.7679990915285034,0.4909983633387889,0.6671847907441092,0.6971428571428571,0.6112359550561798,0.07411854226222003,0.4286945086495082,0.4074873962356266,0.09733292241328562,rank_kendall_basic,0.1,1.0,10.0,,1.0,0.1,0.9843330383300781,0.9982913136482239,0.97596275806427,1.2064344882965088,128.0,128.0,128.0,0.0892938893246655,results_w0/mode_rank_kendall_basic/setup3_pca_d_mod3_combat.png,results_w0/mode_rank_kendall_basic/setup3_pairwise_distance_combat.png,results_w0/mode_rank_kendall_basic/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.6985714285714285,0.5348314606741573,,0.36112173502967937,0.36669244500139675,,rank_kendall_basic,0.1,1.0,10.0,,1.0,0.1,,,,,,,,,,,
combat,setup4,0.8228235294117647,0.6045250965250966,0.7436974789915966,0.4909983633387889,0.6724694278412141,0.5892857142857143,0.2764044943820225,0.13475321075575164,0.41561767610066763,0.39182574266593223,0.033531665328145596,,,,,,,,,,,,,,,,,,
