input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,,
raw,setup2,0.7694509803921569,0.585945945945946,0.6780225603755016,0.4500818330605565,0.615077708538665,0.6085714285714285,0.23146067415730337,-0.05690395758488731,0.31646411628709464,0.28643693604946857,0.09388755257968534,,,,,,,,,,,,,,,,,,
raw,setup3,0.8108235294117647,0.5949961389961391,0.7540313422666364,0.4746317512274959,0.6553049598874047,0.7264285714285714,0.498876404494382,0.1006470862928095,0.4346457797773694,0.39808687930110204,0.08179642141806734,rank_kendall,0.1,1.0,2.0,,1.0,0.1,1.0911223888397217,1.219601035118103,1.0861361026763916,1.2362158298492432,128.0,128.0,128.0,0.15705781870044574,results_w0/sweep_alpha_2/setup3_pca_d_mod3_raw.png,results_w0/sweep_alpha_2/setup3_pairwise_distance_raw.png,results_w0/sweep_alpha_2/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.7221428571428572,0.5865168539325842,,0.15717199144328484,0.36250320256352386,,rank_kendall,0.1,1.0,2.0,,1.0,0.1,,,,,,,,,,,
raw,setup4,0.818156862745098,0.5879691119691121,0.7626996744643804,0.486088379705401,0.6536433044044491,0.5914285714285714,0.43595505617977526,0.03906918026150896,0.3788064516838016,0.35201757556340135,0.06466801328512838,,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,,
combat,setup2,0.7734901960784314,0.5698841698841699,0.6827920357332122,0.46481178396072015,0.6156661966959477,0.5357142857142857,0.2584269662921349,-0.023391685081027402,0.3162456337590656,0.3139271171475927,0.06305070399365618,,,,,,,,,,,,,,,,,,
combat,setup3,0.820156862745098,0.6065945945945946,0.7720872132636838,0.48117839607201307,0.6708918721520466,0.7071428571428572,0.5011235955056179,0.06541591862602869,0.42097780931386664,0.3997529488573622,0.07571475884333399,rank_kendall,0.1,1.0,2.0,,1.0,0.1,1.0377774238586426,1.08030366897583,1.0330007076263428,1.1888025999069214,128.0,128.0,128.0,0.05893784843496574,results_w0/sweep_alpha_2/setup3_pca_d_mod3_combat.png,results_w0/sweep_alpha_2/setup3_pairwise_distance_combat.png,results_w0/sweep_alpha_2/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7235714285714285,0.5932584269662922,,0.32725530552662757,0.3723972430860139,,rank_kendall,0.1,1.0,2.0,,1.0,0.1,,,,,,,,,,,
combat,setup4,0.8152941176470587,0.6073513513513513,0.6988416988416988,0.49263502454991814,0.6617793213727857,0.6157142857142857,0.2584269662921348,0.09267139661673784,0.4103241605860554,0.38333641095084703,0.06183831299131082,,,,,,,,,,,,,,,,,,
