epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,-0.06772544839249779,1962.0191136410363,-0.06772544839249779,rank_kendall,0.1,1.0,20.0,,1.0
2,-0.0743077235467928,2161.8971910978617,-0.0743077235467928,rank_kendall,0.1,1.0,20.0,,1.0
3,-0.12190747084586244,2166.003173828125,-0.12190747084586244,rank_kendall,0.1,1.0,20.0,,1.0
4,-0.14894192430533862,2155.7340987356088,-0.14894192430533862,rank_kendall,0.1,1.0,20.0,,1.0
5,-0.15467097808753974,2197.655228464227,-0.15467097808753974,rank_kendall,0.1,1.0,20.0,,1.0
6,-0.16519451222235434,2191.412257144326,-0.16519451222235434,rank_kendall,0.1,1.0,20.0,,1.0
7,-0.18970170264181338,2161.4842529296875,-0.18970170264181338,rank_kendall,0.1,1.0,20.0,,1.0
8,-0.17889049139462018,2192.2026495682567,-0.17889049139462018,rank_kendall,0.1,1.0,20.0,,1.0
9,-0.2001783902707853,2159.7759110300162,-0.2001783902707853,rank_kendall,0.1,1.0,20.0,,1.0
10,-0.18588747633130928,2229.334119294819,-0.18588747633130928,rank_kendall,0.1,1.0,20.0,,1.0
11,-0.16993272559423195,2223.465929533306,-0.16993272559423195,rank_kendall,0.1,1.0,20.0,,1.0
12,-0.19810355219401812,2285.1204384251646,-0.19810355219401812,rank_kendall,0.1,1.0,20.0,,1.0
13,-0.18488624515502075,2257.658871299342,-0.18488624515502075,rank_kendall,0.1,1.0,20.0,,1.0
14,-0.23187325032133804,2192.8841359991775,-0.23187325032133804,rank_kendall,0.1,1.0,20.0,,1.0
15,-0.219377459271958,2200.7358269942433,-0.219377459271958,rank_kendall,0.1,1.0,20.0,,1.0
16,-0.22601509800082759,2201.987632349918,-0.22601509800082759,rank_kendall,0.1,1.0,20.0,,1.0
17,-0.23403326382762507,2193.8013209292762,-0.23403326382762507,rank_kendall,0.1,1.0,20.0,,1.0
18,-0.2460745118166271,2215.218994140625,-0.2460745118166271,rank_kendall,0.1,1.0,20.0,,1.0
19,-0.239317308523153,2234.0348735608554,-0.239317308523153,rank_kendall,0.1,1.0,20.0,,1.0
20,-0.25389875393164785,2255.7251683285363,-0.25389875393164785,rank_kendall,0.1,1.0,20.0,,1.0
21,-0.2525093680933902,2254.1227127878287,-0.2525093680933902,rank_kendall,0.1,1.0,20.0,,1.0
22,-0.2700286295853163,2270.7326274671054,-0.2700286295853163,rank_kendall,0.1,1.0,20.0,,1.0
23,-0.26786554016565023,2264.9704846833883,-0.26786554016565023,rank_kendall,0.1,1.0,20.0,,1.0
24,-0.25263955561738266,2252.1091437088817,-0.25263955561738266,rank_kendall,0.1,1.0,20.0,,1.0
