epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,-0.016195762351057248,1961.7045384457238,-0.016195762351057248,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
2,-0.02916969901784078,2030.8895906147204,-0.02916969901784078,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
3,-0.035897346507561836,1975.4264686986019,-0.035897346507561836,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
4,-0.03492299209679722,2041.7439157586348,-0.03492299209679722,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
5,-0.0430930698976705,2070.9808349609375,-0.0430930698976705,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
6,-0.04589979595651752,2073.0068295127467,-0.04589979595651752,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
7,-0.0507870183179253,2097.7321905838817,-0.0507870183179253,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
8,-0.05320430684246515,2078.011583830181,-0.05320430684246515,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
9,-0.05609854428391708,2027.2690301192433,-0.05609854428391708,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
10,-0.05111310591823176,2148.7069284539475,-0.05111310591823176,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
11,-0.05792794709927157,2213.6999254728617,-0.05792794709927157,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
12,-0.06207826772802755,2138.8268657483554,-0.06207826772802755,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
13,-0.054324814461563765,2142.4695209703946,-0.054324814461563765,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
14,-0.05893551048479582,2172.0927027652137,-0.05893551048479582,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
15,-0.06200930260513958,2250.2170924136512,-0.06200930260513958,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
16,-0.06442377520234961,2278.501773231908,-0.06442377520234961,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
17,-0.06875978920020555,2206.382208573191,-0.06875978920020555,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
18,-0.06899842855177428,2189.5796926398025,-0.06899842855177428,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
19,-0.06367938034236431,2222.995072214227,-0.06367938034236431,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
20,-0.06887813284993172,2211.5719636615954,-0.06887813284993172,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
21,-0.07133498866307109,2185.5546746504933,-0.07133498866307109,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
22,-0.07038152139437825,2183.8757195723683,-0.07038152139437825,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
23,-0.07341390456023969,2219.6068564967104,-0.07341390456023969,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
24,-0.06823452954229556,2254.1394556949012,-0.06823452954229556,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
25,-0.07030377360550981,2256.557552939967,-0.07030377360550981,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
26,-0.07433925627877838,2311.5489180715463,-0.07433925627877838,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
27,-0.0697449759433144,2283.3933041221217,-0.0697449759433144,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0
