input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.45171849427168576,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.045348603416511986,,,,,,,,,,,,,,,,,,
raw,setup2,0.7694509803921569,0.585945945945946,0.6780225603755016,0.4500818330605565,0.615077708538665,0.6085714285714285,0.23146067415730337,-0.05690395758488731,0.31646411628709464,0.28643693604946857,0.09388755257968534,,,,,,,,,,,,,,,,,,
raw,setup3,0.8119607843137254,0.5836911196911196,0.7593307593307593,0.47299509001636664,0.6485239522144298,0.7207142857142856,0.48764044943820223,0.11313871737231862,0.43946538912255345,0.40658031450620546,0.08414151612717265,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0,0.1,1.066371202468872,1.0957436561584473,1.043913722038269,1.3858799934387207,128.0,128.0,128.0,0.11949262976366529,results_w0/sweep_nu_0.5/setup3_pca_d_mod3_raw.png,results_w0/sweep_nu_0.5/setup3_pairwise_distance_raw.png,results_w0/sweep_nu_0.5/setup3_tsne_d_mod3_raw.png
raw,setup3-s,,,,,,0.6757142857142856,0.6067415730337079,,0.2447803003032014,0.3279151482438378,,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0,0.1,,,,,,,,,,,
raw,setup4,0.8012941176470588,0.5907335907335908,0.7678855325914149,0.486088379705401,0.6628686357438583,0.6478571428571429,0.4224719101123595,-0.01555928192082301,0.34477537127847896,0.3244418069876122,0.06537870002490105,,,,,,,,,,,,,,,,,,
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.46153846153846156,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.14760243322690314,0.4450355542121561,0.4376833484057679,0.035627890401461894,,,,,,,,,,,,,,,,,,
combat,setup2,0.7734901960784314,0.5698841698841699,0.6827920357332122,0.46481178396072015,0.6156661966959477,0.5357142857142857,0.2584269662921349,-0.023391685081027402,0.3162456337590656,0.3139271171475927,0.06305070399365618,,,,,,,,,,,,,,,,,,
combat,setup3,0.8234117647058824,0.5951196911196912,0.7629646453175865,0.46808510638297873,0.6591428281038819,0.6957142857142857,0.4943820224719101,0.09074016401059148,0.4270859339041575,0.39895134786494896,0.08367819500298229,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0,0.1,1.0729494094848633,1.1064409017562866,1.0696073770523071,1.237393856048584,128.0,128.0,128.0,0.11086372677911283,results_w0/sweep_nu_0.5/setup3_pca_d_mod3_combat.png,results_w0/sweep_nu_0.5/setup3_pairwise_distance_combat.png,results_w0/sweep_nu_0.5/setup3_tsne_d_mod3_combat.png
combat,setup3-s,,,,,,0.7528571428571429,0.6000000000000001,,0.3129470535775668,0.3697591198750435,,rank_kendall_basic,0.1,1.0,10.0,0.5,1.0,0.1,,,,,,,,,,,
combat,setup4,0.8381568627450982,0.6041544401544402,0.7206071617836324,0.4664484451718494,0.6540506213106473,0.6,0.27640449438202247,0.1226230262061131,0.41370884924082735,0.38894761789774,0.06816051074741956,,,,,,,,,,,,,,,,,,
