epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,-0.017693866191333847,2015.6714895148027,-0.017693866191333847,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
2,-0.023905982251132007,2000.277253803454,-0.023905982251132007,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
3,-0.030927989895357506,2013.6359349300988,-0.030927989895357506,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
4,-0.03726873238031801,2090.7562898334704,-0.03726873238031801,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
5,-0.04073966402364405,2100.1636127672696,-0.04073966402364405,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
6,-0.042695704553472366,2069.538310803865,-0.042695704553472366,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
7,-0.04742819536477327,2113.241455078125,-0.04742819536477327,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
8,-0.052677849405690244,2072.8488705283717,-0.052677849405690244,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
9,-0.054004771831004245,2124.7634984066613,-0.054004771831004245,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
10,-0.055664095047273134,2102.492367393092,-0.055664095047273134,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
11,-0.045179313832992,2265.3584755345396,-0.045179313832992,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
12,-0.056211714289690316,2367.7823293585525,-0.056211714289690316,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
13,-0.06089713247983079,2238.6642295435854,-0.06089713247983079,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
14,-0.06317290889197275,2172.3169973273025,-0.06317290889197275,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
15,-0.05908223231764216,2261.018111379523,-0.05908223231764216,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
16,-0.06535781880742625,2192.616294459293,-0.06535781880742625,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
17,-0.06423168923509748,2347.3581928453946,-0.06423168923509748,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
18,-0.06595596396609356,2358.776026675576,-0.06595596396609356,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
19,-0.0669878803585705,2347.487972861842,-0.0669878803585705,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
20,-0.06802368615018695,2313.6826750102796,-0.06802368615018695,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
21,-0.07354387111569706,2300.3712350945725,-0.07354387111569706,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
22,-0.07074678787275364,2329.8260048314146,-0.07074678787275364,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
23,-0.07261537505607855,2279.3423879523025,-0.07261537505607855,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
24,-0.07473701336666157,2264.4097707648025,-0.07473701336666157,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
25,-0.07414224685022705,2339.6357036389804,-0.07414224685022705,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
26,-0.0688403319371374,2387.5244269120067,-0.0688403319371374,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
27,-0.07527088491540206,2528.505859375,-0.07527088491540206,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
28,-0.07502369700293791,2472.1989360608554,-0.07502369700293791,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
29,-0.07727296317094251,2429.38916015625,-0.07727296317094251,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
30,-0.07387129629128858,2480.7946520353617,-0.07387129629128858,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
31,-0.07738793209979408,2537.0091873972037,-0.07738793209979408,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
32,-0.07697711414412449,2539.7111430921054,-0.07697711414412449,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
33,-0.08046506855048631,2557.2778577302633,-0.08046506855048631,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
34,-0.07835572820745017,2575.595279091283,-0.07835572820745017,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
35,-0.07723182773119525,2599.7259714226975,-0.07723182773119525,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
36,-0.07875809034234599,2534.4880114103617,-0.07875809034234599,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
37,-0.07819245951740365,2606.2398488898025,-0.07819245951740365,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
38,-0.0809127782520495,2606.8787392064146,-0.0809127782520495,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
39,-0.07829670294335014,2598.8356548108554,-0.07829670294335014,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
40,-0.0851767435669899,2514.5183490953946,-0.0851767435669899,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
41,-0.07940632398975522,2593.6526135896383,-0.07940632398975522,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
42,-0.0810338762637816,2770.8517809416117,-0.0810338762637816,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
43,-0.08539295549455442,2664.988641036184,-0.08539295549455442,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
44,-0.08270437348830073,2673.9793379934213,-0.08270437348830073,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
45,-0.082229435836014,2650.530453330592,-0.082229435836014,rank_kendall_basic,0.1,1.0,10.0,1.0,1.0
