epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,-0.01647129088738247,1959.2665501644738,-0.01647129088738247,rank_kendall_basic,0.1,1.0,10.0,,1.0
2,-0.01935505183830269,2103.9934660259046,-0.01935505183830269,rank_kendall_basic,0.1,1.0,10.0,,1.0
3,-0.03221761298022772,2115.7634405838817,-0.03221761298022772,rank_kendall_basic,0.1,1.0,10.0,,1.0
4,-0.03289075531555634,2165.2397396689967,-0.03289075531555634,rank_kendall_basic,0.1,1.0,10.0,,1.0
5,-0.03939342949735491,2189.7005936472037,-0.03939342949735491,rank_kendall_basic,0.1,1.0,10.0,,1.0
6,-0.04443943083874489,2177.8034153988488,-0.04443943083874489,rank_kendall_basic,0.1,1.0,10.0,,1.0
7,-0.04896781868056247,2140.4441817434213,-0.04896781868056247,rank_kendall_basic,0.1,1.0,10.0,,1.0
8,-0.050885923696975956,2115.5455964740954,-0.050885923696975956,rank_kendall_basic,0.1,1.0,10.0,,1.0
9,-0.053867276659921595,1998.2909642269738,-0.053867276659921595,rank_kendall_basic,0.1,1.0,10.0,,1.0
10,-0.05160758624735631,2076.995509097451,-0.05160758624735631,rank_kendall_basic,0.1,1.0,10.0,,1.0
11,-0.05836959153805908,2182.9891550164475,-0.05836959153805908,rank_kendall_basic,0.1,1.0,10.0,,1.0
12,-0.05937629467562625,2191.07667943051,-0.05937629467562625,rank_kendall_basic,0.1,1.0,10.0,,1.0
13,-0.05643664030848365,2241.0697342722037,-0.05643664030848365,rank_kendall_basic,0.1,1.0,10.0,,1.0
14,-0.05988692198144762,2194.696064196135,-0.05988692198144762,rank_kendall_basic,0.1,1.0,10.0,,1.0
15,-0.061194675141259244,2193.8109644839637,-0.061194675141259244,rank_kendall_basic,0.1,1.0,10.0,,1.0
16,-0.06392355086772065,2278.8171772203946,-0.06392355086772065,rank_kendall_basic,0.1,1.0,10.0,,1.0
17,-0.06741449609398842,2321.2965409128287,-0.06741449609398842,rank_kendall_basic,0.1,1.0,10.0,,1.0
18,-0.06563687530395232,2258.246157997533,-0.06563687530395232,rank_kendall_basic,0.1,1.0,10.0,,1.0
19,-0.06298576265965637,2219.7667043585525,-0.06298576265965637,rank_kendall_basic,0.1,1.0,10.0,,1.0
20,-0.06880817895657138,2192.7425986842104,-0.06880817895657138,rank_kendall_basic,0.1,1.0,10.0,,1.0
21,-0.06837951666430424,2176.9378148129113,-0.06837951666430424,rank_kendall_basic,0.1,1.0,10.0,,1.0
22,-0.0714559855037614,2206.806801243832,-0.0714559855037614,rank_kendall_basic,0.1,1.0,10.0,,1.0
23,-0.0723011393688227,2160.341976768092,-0.0723011393688227,rank_kendall_basic,0.1,1.0,10.0,,1.0
24,-0.06638863035722782,2183.4473170230262,-0.06638863035722782,rank_kendall_basic,0.1,1.0,10.0,,1.0
25,-0.07253750590117354,2156.3996068050988,-0.07253750590117354,rank_kendall_basic,0.1,1.0,10.0,,1.0
26,-0.07481590521178748,2223.5362998560854,-0.07481590521178748,rank_kendall_basic,0.1,1.0,10.0,,1.0
27,-0.07021289259979599,2175.4031018708883,-0.07021289259979599,rank_kendall_basic,0.1,1.0,10.0,,1.0
28,-0.07097127974817627,2241.7434981496713,-0.07097127974817627,rank_kendall_basic,0.1,1.0,10.0,,1.0
29,-0.07065394491349396,2329.5266370271383,-0.07065394491349396,rank_kendall_basic,0.1,1.0,10.0,,1.0
30,-0.07294801054032225,2361.7767526726975,-0.07294801054032225,rank_kendall_basic,0.1,1.0,10.0,,1.0
31,-0.0724253946621167,2346.654425370066,-0.0724253946621167,rank_kendall_basic,0.1,1.0,10.0,,1.0
32,-0.07543433653680902,2307.6867547286183,-0.07543433653680902,rank_kendall_basic,0.1,1.0,10.0,,1.0
33,-0.07961179610145719,2311.0051526521383,-0.07961179610145719,rank_kendall_basic,0.1,1.0,10.0,,1.0
34,-0.08080907616960376,2277.3396767064146,-0.08080907616960376,rank_kendall_basic,0.1,1.0,10.0,,1.0
35,-0.07720908463785522,2175.1538342927633,-0.07720908463785522,rank_kendall_basic,0.1,1.0,10.0,,1.0
36,-0.07862482043473344,2227.6852641858554,-0.07862482043473344,rank_kendall_basic,0.1,1.0,10.0,,1.0
37,-0.07818419662745375,2375.2555895353617,-0.07818419662745375,rank_kendall_basic,0.1,1.0,10.0,,1.0
38,-0.0759521365949982,2301.0312885485196,-0.0759521365949982,rank_kendall_basic,0.1,1.0,10.0,,1.0
39,-0.07527129616784423,2344.981329666941,-0.07527129616784423,rank_kendall_basic,0.1,1.0,10.0,,1.0
40,-0.07746066819680364,2237.8837569387338,-0.07746066819680364,rank_kendall_basic,0.1,1.0,10.0,,1.0
41,-0.07723158382271465,2274.3695518092104,-0.07723158382271465,rank_kendall_basic,0.1,1.0,10.0,,1.0
42,-0.08083212689349525,2312.4085886101975,-0.08083212689349525,rank_kendall_basic,0.1,1.0,10.0,,1.0
43,-0.08402666410333232,2366.5043174342104,-0.08402666410333232,rank_kendall_basic,0.1,1.0,10.0,,1.0
44,-0.08170800950182111,2359.2382684004933,-0.08170800950182111,rank_kendall_basic,0.1,1.0,10.0,,1.0
45,-0.08132725169784144,2298.444515830592,-0.08132725169784144,rank_kendall_basic,0.1,1.0,10.0,,1.0
46,-0.07806357898210224,2333.1252312911183,-0.07806357898210224,rank_kendall_basic,0.1,1.0,10.0,,1.0
47,-0.08173505648186333,2304.4089612458883,-0.08173505648186333,rank_kendall_basic,0.1,1.0,10.0,,1.0
48,-0.08350150796927903,2291.6615953947367,-0.08350150796927903,rank_kendall_basic,0.1,1.0,10.0,,1.0
49,-0.0801007888819042,2301.785580283717,-0.0801007888819042,rank_kendall_basic,0.1,1.0,10.0,,1.0
50,-0.08345030169737966,2171.6633429276317,-0.08345030169737966,rank_kendall_basic,0.1,1.0,10.0,,1.0
51,-0.08048776145044126,2286.5557540090463,-0.08048776145044126,rank_kendall_basic,0.1,1.0,10.0,,1.0
52,-0.08276990212892231,2375.790283203125,-0.08276990212892231,rank_kendall_basic,0.1,1.0,10.0,,1.0
53,-0.08603601353733163,2289.846075760691,-0.08603601353733163,rank_kendall_basic,0.1,1.0,10.0,,1.0
54,-0.08582380041480064,2312.8012952302633,-0.08582380041480064,rank_kendall_basic,0.1,1.0,10.0,,1.0
55,-0.0818657628015468,2442.052850020559,-0.0818657628015468,rank_kendall_basic,0.1,1.0,10.0,,1.0
56,-0.0842142779576151,2462.5511153371713,-0.0842142779576151,rank_kendall_basic,0.1,1.0,10.0,,1.0
57,-0.08538114769678366,2478.6644736842104,-0.08538114769678366,rank_kendall_basic,0.1,1.0,10.0,,1.0
58,-0.07935032170069845,2463.0352461965463,-0.07935032170069845,rank_kendall_basic,0.1,1.0,10.0,,1.0
59,-0.08210463841494761,2433.1425395764804,-0.08210463841494761,rank_kendall_basic,0.1,1.0,10.0,,1.0
60,-0.08452751114964485,2399.831902754934,-0.08452751114964485,rank_kendall_basic,0.1,1.0,10.0,,1.0
61,-0.08812846400235828,2336.546746504934,-0.08812846400235828,rank_kendall_basic,0.1,1.0,10.0,,1.0
62,-0.08507269150332401,2307.946109169408,-0.08507269150332401,rank_kendall_basic,0.1,1.0,10.0,,1.0
63,-0.08772544778491322,2322.8351793791117,-0.08772544778491322,rank_kendall_basic,0.1,1.0,10.0,,1.0
64,-0.08402365642158609,2368.8802168996713,-0.08402365642158609,rank_kendall_basic,0.1,1.0,10.0,,1.0
65,-0.08533318164317232,2404.9726690995067,-0.08533318164317232,rank_kendall_basic,0.1,1.0,10.0,,1.0
66,-0.08916804861081273,2462.4985480057567,-0.08916804861081273,rank_kendall_basic,0.1,1.0,10.0,,1.0
67,-0.08781950960033819,2481.0230263157896,-0.08781950960033819,rank_kendall_basic,0.1,1.0,10.0,,1.0
68,-0.08752469836097014,2476.4174676192433,-0.08752469836097014,rank_kendall_basic,0.1,1.0,10.0,,1.0
69,-0.0867904812881821,2396.4583547491775,-0.0867904812881821,rank_kendall_basic,0.1,1.0,10.0,,1.0
70,-0.08776637676515077,2418.1398026315787,-0.08776637676515077,rank_kendall_basic,0.1,1.0,10.0,,1.0
71,-0.08804616332054138,2442.1067023026317,-0.08804616332054138,rank_kendall_basic,0.1,1.0,10.0,,1.0
72,-0.09040565435823641,2424.3545949835525,-0.09040565435823641,rank_kendall_basic,0.1,1.0,10.0,,1.0
73,-0.0851875274981323,2509.820068359375,-0.0851875274981323,rank_kendall_basic,0.1,1.0,10.0,,1.0
74,-0.08541517881186385,2515.4177374588817,-0.08541517881186385,rank_kendall_basic,0.1,1.0,10.0,,1.0
75,-0.08881503618077229,2539.4600123355262,-0.08881503618077229,rank_kendall_basic,0.1,1.0,10.0,,1.0
76,-0.08569877575102605,2480.7203176398025,-0.08569877575102605,rank_kendall_basic,0.1,1.0,10.0,,1.0
77,-0.08729283433211477,2611.7796952097037,-0.08729283433211477,rank_kendall_basic,0.1,1.0,10.0,,1.0
78,-0.08613102275289987,2598.1811009457238,-0.08613102275289987,rank_kendall_basic,0.1,1.0,10.0,,1.0
79,-0.08944815671757649,2550.394415604441,-0.08944815671757649,rank_kendall_basic,0.1,1.0,10.0,,1.0
80,-0.08617340616489712,2577.4638157894738,-0.08617340616489712,rank_kendall_basic,0.1,1.0,10.0,,1.0
81,-0.09035518530168031,2588.558657997533,-0.09035518530168031,rank_kendall_basic,0.1,1.0,10.0,,1.0
82,-0.089943817179454,2519.7992136101975,-0.089943817179454,rank_kendall_basic,0.1,1.0,10.0,,1.0
83,-0.08826530038526184,2529.0647743626646,-0.08826530038526184,rank_kendall_basic,0.1,1.0,10.0,,1.0
84,-0.09090674197987507,2480.747006064967,-0.09090674197987507,rank_kendall_basic,0.1,1.0,10.0,,1.0
85,-0.09049815959052036,2471.4078047902963,-0.09049815959052036,rank_kendall_basic,0.1,1.0,10.0,,1.0
86,-0.08726805507352478,2503.857113486842,-0.08726805507352478,rank_kendall_basic,0.1,1.0,10.0,,1.0
87,-0.0905880481004715,2427.6668893914475,-0.0905880481004715,rank_kendall_basic,0.1,1.0,10.0,,1.0
