version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_ci_lo,delta_ci_hi,delta_p
raw,MCI_to_AD,2,ridge_dhat_finetune,123,16,0.6962616822429907,0.5477085795724808,0.8258741258741259,0.03323288222615791,-0.0706783076087983,0.16355212299526936,0.608
raw,MCI_to_AD,2,ridge_dhat_all,123,16,0.6623831775700935,0.5243480430120339,0.7935435435435436,,,,
raw,MCI_to_AD,2,direct_logistic,123,16,0.6594626168224299,0.5210278619741237,0.785186741363212,-0.003780867920607159,-0.16055045871559626,0.14865156823490133,0.9652
raw,MCI_to_AD,2,contrastive_euclidean_probe,123,16,0.6425233644859814,0.4999836173001311,0.7800300909675909,-0.01956141177866004,-0.09989833998338823,0.052428275927536315,0.6356
raw,MCI_to_AD,2,contrastive_euclidean_s,123,16,0.5496495327102804,0.40801824883135573,0.6925638179800222,-0.11234666221545409,-0.2077684677078938,-0.020969008451213404,0.018
raw,MCI_to_AD,2,contrastive_euclidean_finetune,123,16,0.6238317757009346,0.4759678103428103,0.7651922364375742,-0.03919567470898544,-0.17451524170274169,0.1041971465786449,0.566
raw,MCI_to_AD,2,contrastive_rank_kendall_basic_probe,123,16,0.5408878504672897,0.3836293632700403,0.7000083240843507,-0.12108417176719559,-0.23156985767279892,-0.017195896209054227,0.0208
raw,MCI_to_AD,2,contrastive_rank_kendall_basic_s,123,16,0.4573598130841121,0.30211314159620234,0.6209790209790209,-0.20438098896135798,-0.3354531317031317,-0.0877178742310322,0.0004
raw,MCI_to_AD,2,contrastive_rank_kendall_basic_finetune,123,16,0.5613317757009346,0.39444347319347317,0.7183266621245671,-0.1018514083887615,-0.23633773146795947,0.050234417494931495,0.1664
raw,MCI_to_AD,2,contrastive_hybrid_basic_probe,123,16,0.5379672897196262,0.37460250201775624,0.7049642664306924,-0.12380763022970064,-0.24685906685906686,-0.010718904633378434,0.0308
raw,MCI_to_AD,2,contrastive_hybrid_basic_s,123,16,0.477803738317757,0.32378480130807114,0.6405631536604988,-0.18432466200959144,-0.3174929854096521,-0.05767183631862529,0.0052
raw,MCI_to_AD,2,contrastive_hybrid_basic_finetune,123,16,0.6466121495327103,0.5078569399872612,0.7772021366968113,-0.016167106391205076,-0.15524877149877148,0.12826571508502202,0.8228
raw,MCI_to_AD,3,ridge_dhat_finetune,97,28,0.7220496894409939,0.6010236421533286,0.8298346409502014,0.05440765131585124,-0.024339584515640843,0.14345108474023313,0.1892
raw,MCI_to_AD,3,ridge_dhat_all,97,28,0.6666666666666667,0.5482431773879143,0.7789957180500657,,,,
raw,MCI_to_AD,3,direct_logistic,97,28,0.7111801242236024,0.5862064045032279,0.8293382829005657,0.045629426129232986,-0.09695501402023146,0.1956730769230769,0.5492
raw,MCI_to_AD,3,contrastive_euclidean_probe,97,28,0.6035196687370601,0.47887903225806444,0.721026733254994,-0.06268227060036198,-0.15322204968944092,0.02580645161290329,0.1624
raw,MCI_to_AD,3,contrastive_euclidean_s,97,28,0.567287784679089,0.44462392770744597,0.6898946864040454,-0.09968127235234017,-0.20092497317088567,0.002079728359531913,0.0536
raw,MCI_to_AD,3,contrastive_euclidean_finetune,97,28,0.6490683229813665,0.5249176651951509,0.7696688400305343,-0.016677318899550722,-0.1237402453416082,0.09229208924949284,0.7584
raw,MCI_to_AD,3,contrastive_rank_kendall_basic_probe,97,28,0.6081780538302278,0.4711295605306799,0.7385449269144921,-0.05759028439579706,-0.15984016393442624,0.04790280284231876,0.286
raw,MCI_to_AD,3,contrastive_rank_kendall_basic_s,97,28,0.4342650103519669,0.3099968230694038,0.5605192643236121,-0.2322610259411337,-0.3474059794372294,-0.12387688837758475,0.0
raw,MCI_to_AD,3,contrastive_rank_kendall_basic_finetune,97,28,0.6247412008281573,0.4960998788230026,0.7479442959362925,-0.04095117346906269,-0.1577982279868469,0.07723215054912112,0.4992
raw,MCI_to_AD,3,contrastive_hybrid_basic_probe,97,28,0.5025879917184265,0.37681067554458064,0.6293183269476371,-0.16362675323048584,-0.27410675495760634,-0.05787486869747922,0.0032
raw,MCI_to_AD,3,contrastive_hybrid_basic_s,97,28,0.44616977225672877,0.3227848707664884,0.5753246753246753,-0.22011668898417092,-0.343291424111116,-0.09929090497063565,0.0
raw,MCI_to_AD,3,contrastive_hybrid_basic_finetune,97,28,0.6076604554865425,0.4788884976525822,0.7333333333333334,-0.058004103911699335,-0.17897799303890832,0.07109411812851142,0.3688
raw,MCI_to_AD,4,ridge_dhat_finetune,83,31,0.6991315136476427,0.579798624958458,0.8127298581048581,0.06793163098966563,-0.011789554531490094,0.15871004651860732,0.1024
raw,MCI_to_AD,4,ridge_dhat_all,83,31,0.6308933002481389,0.5061230742296918,0.7478804080760603,,,,
raw,MCI_to_AD,4,direct_logistic,83,31,0.5967741935483871,0.46792755399702085,0.7222281073446327,-0.032741595696328646,-0.17682143421884886,0.11429284874937043,0.6552
raw,MCI_to_AD,4,contrastive_euclidean_probe,83,31,0.5694789081885856,0.44151969018290405,0.6946428571428571,-0.061101764781146005,-0.15870098039215674,0.03428237542599239,0.2164
