version,task,method,horizons,n_total_rows_sum,n_converters_sum,auc_mean_y234,auc_weighted_by_n,auc_weighted_by_converters,delta_mean_vs_ridge_all
combat,ALL_CONVERSION,ridge_dhat_finetune,2/3/4 x both tasks,554,110,0.6516922024955526,0.6603277309943507,0.6848405894347318,0.02262499148478317
combat,ALL_CONVERSION,ridge_dhat_all,2/3/4 x both tasks,554,110,0.6286095690741501,0.6350328097422145,0.6450536544552137,
combat,ALL_CONVERSION,direct_logistic,2/3/4 x both tasks,554,110,0.5472089597376226,0.543236388549922,0.5716634512681796,-0.08069615689550713
combat,ALL_CONVERSION,contrastive_rank_kendall_basic_probe,2/3/4 x both tasks,554,110,0.5325153406144291,0.5335926429926595,0.5261496824212023,-0.09588256019723344
combat,ALL_CONVERSION,contrastive_hybrid_basic_finetune,2/3/4 x both tasks,554,110,0.5260866725746555,0.5266542447574679,0.5426002947094609,-0.10171610018795522
combat,ALL_CONVERSION,contrastive_hybrid_basic_s,2/3/4 x both tasks,554,110,0.5230090212259938,0.5155054655081506,0.4960230157432835,-0.10524647380443136
combat,ALL_CONVERSION,contrastive_euclidean_s,2/3/4 x both tasks,554,110,0.5202202359283016,0.5242410746930675,0.5140329720608383,-0.10831513456876675
combat,ALL_CONVERSION,contrastive_euclidean_finetune,2/3/4 x both tasks,554,110,0.5162133088796217,0.5163704356027973,0.5406486471212514,-0.11175405761618724
combat,ALL_CONVERSION,contrastive_rank_kendall_basic_s,2/3/4 x both tasks,554,110,0.5154939922122161,0.5105938587483555,0.48792823083301917,-0.11263095054377954
combat,ALL_CONVERSION,contrastive_euclidean_probe,2/3/4 x both tasks,554,110,0.5064994572933103,0.5110658051852304,0.5070230170287379,-0.12145638132247588
combat,ALL_CONVERSION,contrastive_hybrid_basic_probe,2/3/4 x both tasks,554,110,0.5046378234197234,0.508797833696533,0.489715027855867,-0.1231994235647359
combat,ALL_CONVERSION,contrastive_rank_kendall_basic_finetune,2/3/4 x both tasks,554,110,0.5037811954286536,0.49448205634254294,0.5298108854866912,-0.12384422159093715
raw,ALL_CONVERSION,ridge_dhat_all,2/3/4 x both tasks,554,110,0.634350796062546,0.6377633611900573,0.6387802192069285,
raw,ALL_CONVERSION,ridge_dhat_finetune,2/3/4 x both tasks,554,110,0.6296491134166703,0.6353807253538802,0.6596547018391477,-0.005036427517913615
raw,ALL_CONVERSION,direct_logistic,2/3/4 x both tasks,554,110,0.5791777058935216,0.5813223659320863,0.6137158946615949,-0.05499509949160849
raw,ALL_CONVERSION,contrastive_euclidean_s,2/3/4 x both tasks,554,110,0.5667917792441401,0.5645084000642722,0.5649028124758465,-0.0675545259074234
raw,ALL_CONVERSION,contrastive_euclidean_probe,2/3/4 x both tasks,554,110,0.5559051352032137,0.5646523924732597,0.5668259927337859,-0.07814265665850086
raw,ALL_CONVERSION,contrastive_rank_kendall_basic_finetune,2/3/4 x both tasks,554,110,0.5343980372521244,0.5307726435464771,0.5589686800435534,-0.09983437666242707
raw,ALL_CONVERSION,contrastive_rank_kendall_basic_probe,2/3/4 x both tasks,554,110,0.5290933482122037,0.528908542830436,0.5481244410187501,-0.10540861437764215
