epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,292.26926783511516,292.26926783511516,0.023208883008919656,euclidean,1.0,1.0,10.0,,1.0
2,257.82566592567844,257.82566592567844,-0.0019387144007180866,euclidean,1.0,1.0,10.0,,1.0
3,242.92791667737458,242.92791667737458,-0.00011156465073949413,euclidean,1.0,1.0,10.0,,1.0
4,230.18353351793792,230.18353351793792,-0.008935600151552966,euclidean,1.0,1.0,10.0,,1.0
5,219.52646114951685,219.52646114951685,0.0005490972835104913,euclidean,1.0,1.0,10.0,,1.0
6,208.57349435906661,208.57349435906661,0.007961807858296916,euclidean,1.0,1.0,10.0,,1.0
7,197.40670776367188,197.40670776367188,-0.018102932133172687,euclidean,1.0,1.0,10.0,,1.0
8,187.08908964458266,187.08908964458266,-0.025240845243005378,euclidean,1.0,1.0,10.0,,1.0
9,175.26231303967927,175.26231303967927,-0.011909907095526395,euclidean,1.0,1.0,10.0,,1.0
10,164.49453333804482,164.49453333804482,-0.021715556884086447,euclidean,1.0,1.0,10.0,,1.0
11,155.15563643606086,155.15563643606086,0.0071382697328533,euclidean,1.0,1.0,10.0,,1.0
12,145.6655482241982,145.6655482241982,0.010827951047471479,euclidean,1.0,1.0,10.0,,1.0
13,135.95719106573807,135.95719106573807,-0.017827046005741545,euclidean,1.0,1.0,10.0,,1.0
14,127.63326664974815,127.63326664974815,-0.017776098390305906,euclidean,1.0,1.0,10.0,,1.0
15,117.97672231573807,117.97672231573807,0.005659529792242928,euclidean,1.0,1.0,10.0,,1.0
16,108.20563185842414,108.20563185842414,-0.003427041394292916,euclidean,1.0,1.0,10.0,,1.0
17,98.25339909603721,98.25339909603721,0.008836305014004833,euclidean,1.0,1.0,10.0,,1.0
18,89.38544022409539,89.38544022409539,-0.01194972894154489,euclidean,1.0,1.0,10.0,,1.0
19,82.40910660593133,82.40910660593133,-0.013429967698788172,euclidean,1.0,1.0,10.0,,1.0
20,75.86083181280839,75.86083181280839,-0.007119155733993179,euclidean,1.0,1.0,10.0,,1.0
21,69.57264428389699,69.57264428389699,-0.01795210629873174,euclidean,1.0,1.0,10.0,,1.0
22,64.8617027684262,64.8617027684262,-0.0027638940679791725,euclidean,1.0,1.0,10.0,,1.0
23,59.817728544536386,59.817728544536386,-0.020275626331567764,euclidean,1.0,1.0,10.0,,1.0
24,55.168835288599915,55.168835288599915,-0.04002440828633936,euclidean,1.0,1.0,10.0,,1.0
