epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,301.78046296772203,301.78046296772203,-0.026678741443902254,euclidean,1.0,1.0,10.0,,1.0
2,259.6163016871402,259.6163016871402,-0.022989092615285988,euclidean,1.0,1.0,10.0,,1.0
3,246.5553910104852,246.5553910104852,-0.012300262129620501,euclidean,1.0,1.0,10.0,,1.0
4,235.32822378058182,235.32822378058182,-0.014404026379404394,euclidean,1.0,1.0,10.0,,1.0
5,222.697121068051,222.697121068051,0.009242823886636057,euclidean,1.0,1.0,10.0,,1.0
6,209.50186719392477,209.50186719392477,-0.01944754564350373,euclidean,1.0,1.0,10.0,,1.0
7,198.88752425344367,198.88752425344367,-0.013559790953111491,euclidean,1.0,1.0,10.0,,1.0
8,188.6158985338713,188.6158985338713,-0.012788970317495497,euclidean,1.0,1.0,10.0,,1.0
9,178.24916558516654,178.24916558516654,-0.014609588383647957,euclidean,1.0,1.0,10.0,,1.0
10,167.22015541478208,167.22015541478208,0.006740175818681325,euclidean,1.0,1.0,10.0,,1.0
11,158.29351324784128,158.29351324784128,-0.010533380297649848,euclidean,1.0,1.0,10.0,,1.0
12,150.25324369731703,150.25324369731703,0.009117541748932317,euclidean,1.0,1.0,10.0,,1.0
13,139.4195058722245,139.4195058722245,-0.03321503586822042,euclidean,1.0,1.0,10.0,,1.0
14,132.02734535618833,132.02734535618833,-0.04173272519715523,euclidean,1.0,1.0,10.0,,1.0
15,121.4055589374743,121.4055589374743,-0.04032782586536517,euclidean,1.0,1.0,10.0,,1.0
16,112.58778782894737,112.58778782894737,-0.022421650876487165,euclidean,1.0,1.0,10.0,,1.0
17,102.6027896278783,102.6027896278783,-0.0478859581053257,euclidean,1.0,1.0,10.0,,1.0
18,93.43752208508943,93.43752208508943,-0.05230521822446271,euclidean,1.0,1.0,10.0,,1.0
19,83.75146363910876,83.75146363910876,-0.02342039198418589,euclidean,1.0,1.0,10.0,,1.0
20,75.82904333817332,75.82904333817332,-0.07234308947073786,euclidean,1.0,1.0,10.0,,1.0
21,69.46739999871505,69.46739999871505,-0.034446295387552756,euclidean,1.0,1.0,10.0,,1.0
22,63.0090456510845,63.0090456510845,-0.005657423696615488,euclidean,1.0,1.0,10.0,,1.0
23,58.27907441791735,58.27907441791735,-0.027519652770072418,euclidean,1.0,1.0,10.0,,1.0
24,53.701596310264186,53.701596310264186,-0.06635106492199395,euclidean,1.0,1.0,10.0,,1.0
25,48.04925537109375,48.04925537109375,-0.05608349526301026,euclidean,1.0,1.0,10.0,,1.0
26,44.97339188425165,44.97339188425165,-0.05278580593202557,euclidean,1.0,1.0,10.0,,1.0
27,41.090439445094056,41.090439445094056,-0.05994728393852711,euclidean,1.0,1.0,10.0,,1.0
28,37.325598064221836,37.325598064221836,-0.041915790471983586,euclidean,1.0,1.0,10.0,,1.0
29,33.54015199761642,33.54015199761642,-0.00017794053833073887,euclidean,1.0,1.0,10.0,,1.0
30,30.854354155691045,30.854354155691045,-0.043135343340078465,euclidean,1.0,1.0,10.0,,1.0
31,27.83426455447548,27.83426455447548,-0.054251907564895716,euclidean,1.0,1.0,10.0,,1.0
32,24.49850122552169,24.49850122552169,-0.06753009345112859,euclidean,1.0,1.0,10.0,,1.0
33,21.79123978865774,21.79123978865774,-0.0508017947646103,euclidean,1.0,1.0,10.0,,1.0
34,18.983853490729082,18.983853490729082,-0.03782682865858078,euclidean,1.0,1.0,10.0,,1.0
35,16.39168879860326,16.39168879860326,-0.06055129844830126,euclidean,1.0,1.0,10.0,,1.0
36,13.91477750477038,13.91477750477038,-0.02192917801929932,euclidean,1.0,1.0,10.0,,1.0
37,11.675400181820518,11.675400181820518,-0.030599963299832063,euclidean,1.0,1.0,10.0,,1.0
38,9.675099222283615,9.675099222283615,-0.03618992942287341,euclidean,1.0,1.0,10.0,,1.0
39,7.918479492789821,7.918479492789821,-0.051579441287015616,euclidean,1.0,1.0,10.0,,1.0
40,6.558878020236366,6.558878020236366,-0.05171226567931866,euclidean,1.0,1.0,10.0,,1.0
41,5.643694450980739,5.643694450980739,-0.061672360195141086,euclidean,1.0,1.0,10.0,,1.0
42,5.141924858093262,5.141924858093262,-0.0854058567722524,euclidean,1.0,1.0,10.0,,1.0
43,4.895900425158049,4.895900425158049,-0.058372018123535735,euclidean,1.0,1.0,10.0,,1.0
44,4.845222824498227,4.845222824498227,-0.08281222848515761,euclidean,1.0,1.0,10.0,,1.0
45,4.834041118621826,4.834041118621826,-0.06844709823398214,euclidean,1.0,1.0,10.0,,1.0
46,4.832035441147654,4.832035441147654,-0.05892341446719671,euclidean,1.0,1.0,10.0,,1.0
47,4.830152486499987,4.830152486499987,-0.07021077157390353,euclidean,1.0,1.0,10.0,,1.0
48,4.828479013944927,4.828479013944927,-0.06729641939072233,euclidean,1.0,1.0,10.0,,1.0
49,4.827992790623715,4.827992790623715,-0.07274696152461202,euclidean,1.0,1.0,10.0,,1.0
50,4.826393528988487,4.826393528988487,-0.07954544162279681,euclidean,1.0,1.0,10.0,,1.0
51,4.824563729135614,4.824563729135614,-0.08295916158117746,euclidean,1.0,1.0,10.0,,1.0
52,4.82431539736296,4.82431539736296,-0.08505461659086377,euclidean,1.0,1.0,10.0,,1.0
53,4.824030650289435,4.824030650289435,-0.08734325956749289,euclidean,1.0,1.0,10.0,,1.0
54,4.823321593435187,4.823321593435187,-0.08091555339725394,euclidean,1.0,1.0,10.0,,1.0
55,4.822537321793406,4.822537321793406,-0.08000143548767817,euclidean,1.0,1.0,10.0,,1.0
56,4.821892161118357,4.821892161118357,-0.07745616196801788,euclidean,1.0,1.0,10.0,,1.0
57,4.820714850174753,4.820714850174753,-0.08279168213668622,euclidean,1.0,1.0,10.0,,1.0
58,4.822685291892604,4.822685291892604,-0.08734800627357081,euclidean,1.0,1.0,10.0,,1.0
59,4.821450810683401,4.821450810683401,-0.07441765226815876,euclidean,1.0,1.0,10.0,,1.0
60,4.821175625449733,4.821175625449733,-0.08352036931012806,euclidean,1.0,1.0,10.0,,1.0
61,4.818335884495785,4.818335884495785,-0.08871606266812275,euclidean,1.0,1.0,10.0,,1.0
62,4.819801581533332,4.819801581533332,-0.0903129187461577,euclidean,1.0,1.0,10.0,,1.0
63,4.820197130504408,4.820197130504408,-0.09214788067497705,euclidean,1.0,1.0,10.0,,1.0
64,4.818158576363011,4.818158576363011,-0.0926745830005721,euclidean,1.0,1.0,10.0,,1.0
65,4.819979040246261,4.819979040246261,-0.0886959170824603,euclidean,1.0,1.0,10.0,,1.0
66,4.818528978448165,4.818528978448165,-0.08658009453823692,euclidean,1.0,1.0,10.0,,1.0
67,4.818888990502608,4.818888990502608,-0.08305115193912857,euclidean,1.0,1.0,10.0,,1.0
68,4.818117141723633,4.818117141723633,-0.08589177696328414,euclidean,1.0,1.0,10.0,,1.0
69,4.817301574506257,4.817301574506257,-0.09020256564805382,euclidean,1.0,1.0,10.0,,1.0
70,4.816969193910298,4.816969193910298,-0.08939374218645849,euclidean,1.0,1.0,10.0,,1.0
71,4.817912151938991,4.817912151938991,-0.08727374025865604,euclidean,1.0,1.0,10.0,,1.0
72,4.818474066884894,4.818474066884894,-0.0832125871981445,euclidean,1.0,1.0,10.0,,1.0
73,4.81525963231137,4.81525963231137,-0.08650406626494307,euclidean,1.0,1.0,10.0,,1.0
74,4.815589804398386,4.815589804398386,-0.09020504904420752,euclidean,1.0,1.0,10.0,,1.0
75,4.81471081783897,4.81471081783897,-0.0897238946666843,euclidean,1.0,1.0,10.0,,1.0
76,4.8143344176443,4.8143344176443,-0.0889934099426395,euclidean,1.0,1.0,10.0,,1.0
77,4.815020360444722,4.815020360444722,-0.08969708316420254,euclidean,1.0,1.0,10.0,,1.0
78,4.821137277703536,4.821137277703536,-0.07843446653140218,euclidean,1.0,1.0,10.0,,1.0
79,4.814065707357306,4.814065707357306,-0.09181661001945797,euclidean,1.0,1.0,10.0,,1.0
80,4.810430602023476,4.810430602023476,-0.09657298989201847,euclidean,1.0,1.0,10.0,,1.0
81,4.811575814297325,4.811575814297325,-0.09966620606811423,euclidean,1.0,1.0,10.0,,1.0
82,4.812151959067897,4.812151959067897,-0.09974637235465802,euclidean,1.0,1.0,10.0,,1.0
83,4.813026076868961,4.813026076868961,-0.09696367226148907,euclidean,1.0,1.0,10.0,,1.0
84,4.81093544709055,4.81093544709055,-0.0982274493496669,euclidean,1.0,1.0,10.0,,1.0
85,4.813898387708162,4.813898387708162,-0.0947920182033589,euclidean,1.0,1.0,10.0,,1.0
86,4.810483330174496,4.810483330174496,-0.09708669252301518,euclidean,1.0,1.0,10.0,,1.0
87,4.8104149165906405,4.8104149165906405,-0.1051019610543,euclidean,1.0,1.0,10.0,,1.0
88,4.810307176489579,4.810307176489579,-0.10402056221899234,euclidean,1.0,1.0,10.0,,1.0
89,4.81040809029027,4.81040809029027,-0.10205716933859021,euclidean,1.0,1.0,10.0,,1.0
90,4.806174930773284,4.806174930773284,-0.10814023017883301,euclidean,1.0,1.0,10.0,,1.0
91,4.810143295087312,4.810143295087312,-0.10236473185451407,euclidean,1.0,1.0,10.0,,1.0
92,4.809310963279323,4.809310963279323,-0.09965875784033223,euclidean,1.0,1.0,10.0,,1.0
93,4.809122411828292,4.809122411828292,-0.10193846923740287,euclidean,1.0,1.0,10.0,,1.0
94,4.807305637158845,4.807305637158845,-0.10235719559224028,euclidean,1.0,1.0,10.0,,1.0
95,4.80771383486296,4.80771383486296,-0.10133877357369975,euclidean,1.0,1.0,10.0,,1.0
96,4.807244827872829,4.807244827872829,-0.1055565335248646,euclidean,1.0,1.0,10.0,,1.0
97,4.808236523678429,4.808236523678429,-0.10300550531399877,euclidean,1.0,1.0,10.0,,1.0
98,4.805656282525313,4.805656282525313,-0.0972385655500387,euclidean,1.0,1.0,10.0,,1.0
99,4.807688537396882,4.807688537396882,-0.10657422519043873,euclidean,1.0,1.0,10.0,,1.0
100,4.806863333049574,4.806863333049574,-0.10736463258140966,euclidean,1.0,1.0,10.0,,1.0
101,4.809045013628508,4.809045013628508,-0.09568092305409281,euclidean,1.0,1.0,10.0,,1.0
102,4.80514026943006,4.80514026943006,-0.09884607674259889,euclidean,1.0,1.0,10.0,,1.0
103,4.807405471801758,4.807405471801758,-0.10419417329524693,euclidean,1.0,1.0,10.0,,1.0
104,4.809582509492573,4.809582509492573,-0.09883111989811848,euclidean,1.0,1.0,10.0,,1.0
105,4.8054530746058415,4.8054530746058415,-0.09720967357095919,euclidean,1.0,1.0,10.0,,1.0
106,4.800871547899749,4.800871547899749,-0.105254798539375,euclidean,1.0,1.0,10.0,,1.0
107,4.801377974058452,4.801377974058452,-0.10908906436280201,euclidean,1.0,1.0,10.0,,1.0
108,4.8028843277379085,4.8028843277379085,-0.1020991763001994,euclidean,1.0,1.0,10.0,,1.0
109,4.804681702664024,4.804681702664024,-0.1067767637340646,euclidean,1.0,1.0,10.0,,1.0
110,4.81028067438226,4.81028067438226,-0.09826019367105082,euclidean,1.0,1.0,10.0,,1.0
111,4.806005101454885,4.806005101454885,-0.09326309318605222,euclidean,1.0,1.0,10.0,,1.0
112,4.8010462208798055,4.8010462208798055,-0.1097008985908408,euclidean,1.0,1.0,10.0,,1.0
113,4.8035475580315845,4.8035475580315845,-0.11031785293629295,euclidean,1.0,1.0,10.0,,1.0
114,4.80173585289403,4.80173585289403,-0.10908093499509912,euclidean,1.0,1.0,10.0,,1.0
115,4.803763740941098,4.803763740941098,-0.1059435911868748,euclidean,1.0,1.0,10.0,,1.0
116,4.803020527488307,4.803020527488307,-0.10293887869307869,euclidean,1.0,1.0,10.0,,1.0
117,4.801526948025352,4.801526948025352,-0.11067083634828266,euclidean,1.0,1.0,10.0,,1.0
118,4.8002362502248666,4.8002362502248666,-0.11387687647028973,euclidean,1.0,1.0,10.0,,1.0
119,4.798237725308067,4.798237725308067,-0.11198182090332634,euclidean,1.0,1.0,10.0,,1.0
120,4.805992954655697,4.805992954655697,-0.10624732979034122,euclidean,1.0,1.0,10.0,,1.0
121,4.803256210527922,4.803256210527922,-0.10234454509459044,euclidean,1.0,1.0,10.0,,1.0
122,4.803619008315237,4.803619008315237,-0.1081853606983235,euclidean,1.0,1.0,10.0,,1.0
123,4.801009479321931,4.801009479321931,-0.10820190392826733,euclidean,1.0,1.0,10.0,,1.0
124,4.8048249294883325,4.8048249294883325,-0.11082655269848674,euclidean,1.0,1.0,10.0,,1.0
125,4.798040540594804,4.798040540594804,-0.10627387424832896,euclidean,1.0,1.0,10.0,,1.0
126,4.806444820604827,4.806444820604827,-0.10382105527739775,euclidean,1.0,1.0,10.0,,1.0
127,4.802877601824309,4.802877601824309,-0.10803775097194471,euclidean,1.0,1.0,10.0,,1.0
128,4.801273722397654,4.801273722397654,-0.10462866919605356,euclidean,1.0,1.0,10.0,,1.0
129,4.79843629033942,4.79843629033942,-0.11086004227399826,euclidean,1.0,1.0,10.0,,1.0
130,4.797678018871107,4.797678018871107,-0.11649612121676144,euclidean,1.0,1.0,10.0,,1.0
131,4.7996257982755965,4.7996257982755965,-0.10611812927220997,euclidean,1.0,1.0,10.0,,1.0
132,4.796000731618781,4.796000731618781,-0.11574700670806985,euclidean,1.0,1.0,10.0,,1.0
133,4.809209798511706,4.809209798511706,-0.09964331121821153,euclidean,1.0,1.0,10.0,,1.0
134,4.797088899110493,4.797088899110493,-0.10578244218700811,euclidean,1.0,1.0,10.0,,1.0
135,4.799695617274234,4.799695617274234,-0.10873424810798545,euclidean,1.0,1.0,10.0,,1.0
136,4.796959851917467,4.796959851917467,-0.11225930993494235,euclidean,1.0,1.0,10.0,,1.0
137,4.798767566680908,4.798767566680908,-0.10997654419196279,euclidean,1.0,1.0,10.0,,1.0
138,4.79980122415643,4.79980122415643,-0.10782867670059204,euclidean,1.0,1.0,10.0,,1.0
139,4.797444870597438,4.797444870597438,-0.10534454509615898,euclidean,1.0,1.0,10.0,,1.0
140,4.800998562260678,4.800998562260678,-0.10305473306461384,euclidean,1.0,1.0,10.0,,1.0
141,4.794523690876208,4.794523690876208,-0.10999244216241334,euclidean,1.0,1.0,10.0,,1.0
142,4.7956948029367545,4.7956948029367545,-0.11276468262076378,euclidean,1.0,1.0,10.0,,1.0
143,4.80465030670166,4.80465030670166,-0.09715961625701502,euclidean,1.0,1.0,10.0,,1.0
144,4.799059717278731,4.799059717278731,-0.10062217477120851,euclidean,1.0,1.0,10.0,,1.0
145,4.801887060466566,4.801887060466566,-0.1001567468047142,euclidean,1.0,1.0,10.0,,1.0
146,4.799979435770135,4.799979435770135,-0.10089193441365894,euclidean,1.0,1.0,10.0,,1.0
147,4.793351073014109,4.793351073014109,-0.1105942651629448,euclidean,1.0,1.0,10.0,,1.0
148,4.793991716284501,4.793991716284501,-0.1153274049100123,euclidean,1.0,1.0,10.0,,1.0
149,4.792918330744693,4.792918330744693,-0.106561920360515,euclidean,1.0,1.0,10.0,,1.0
150,4.795910734879343,4.795910734879343,-0.10793238407687138,euclidean,1.0,1.0,10.0,,1.0
