epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,289.98179385536594,289.99132818924755,-0.009531235251894319,hybrid,1.0,1.0,10.0,,1.0
2,263.4086432206003,263.46081462659333,-0.052170722855647146,hybrid,1.0,1.0,10.0,,1.0
3,244.8857277318051,244.95305191843133,-0.06732430237982619,hybrid,1.0,1.0,10.0,,1.0
4,234.0341403358861,234.04031532689146,-0.00617566459665173,hybrid,1.0,1.0,10.0,,1.0
5,217.79969787597656,217.87059583162008,-0.07089913053143966,hybrid,1.0,1.0,10.0,,1.0
6,206.62829750462583,206.69514545641448,-0.06684722937643528,hybrid,1.0,1.0,10.0,,1.0
7,195.74688078227797,195.7904920076069,-0.04361155075266173,hybrid,1.0,1.0,10.0,,1.0
8,185.60263302451685,185.70249457108346,-0.0998615683301499,hybrid,1.0,1.0,10.0,,1.0
9,175.4975256668894,175.57997372275904,-0.08244750207584155,hybrid,1.0,1.0,10.0,,1.0
10,165.8847969456723,165.97927374588815,-0.0944757112546971,hybrid,1.0,1.0,10.0,,1.0
11,155.3629359195107,155.47220812345805,-0.10927334039986722,hybrid,1.0,1.0,10.0,,1.0
12,145.77750758120888,145.88170824552836,-0.10420126553722903,hybrid,1.0,1.0,10.0,,1.0
13,135.64892738743833,135.77376877634148,-0.12484068668594486,hybrid,1.0,1.0,10.0,,1.0
14,126.70324586567126,126.82940272281044,-0.12615736314144574,hybrid,1.0,1.0,10.0,,1.0
15,117.46714983488384,117.59243694104646,-0.12528631314145108,hybrid,1.0,1.0,10.0,,1.0
16,107.25562768233449,107.38795912893195,-0.1323312260210514,hybrid,1.0,1.0,10.0,,1.0
17,97.72204911081414,97.87686237535979,-0.15481246890206085,hybrid,1.0,1.0,10.0,,1.0
18,89.71361782676296,89.86709514417146,-0.15347724113809436,hybrid,1.0,1.0,10.0,,1.0
19,82.56986196417557,82.72767317922492,-0.1578117438444966,hybrid,1.0,1.0,10.0,,1.0
20,76.28489002428557,76.4525415520919,-0.1676512772315427,hybrid,1.0,1.0,10.0,,1.0
21,69.34313683760793,69.50906894081517,-0.16593121619600998,hybrid,1.0,1.0,10.0,,1.0
22,64.05233965421978,64.21067950600072,-0.15833985874135242,hybrid,1.0,1.0,10.0,,1.0
23,58.929792303788034,59.12906606573807,-0.19927372430500231,hybrid,1.0,1.0,10.0,,1.0
24,54.09174085918226,54.259985873573704,-0.16824465401862798,hybrid,1.0,1.0,10.0,,1.0
25,50.74589036640368,50.92599768387644,-0.18010689357393667,hybrid,1.0,1.0,10.0,,1.0
26,45.67794759649979,45.85321908248098,-0.175270924050557,hybrid,1.0,1.0,10.0,,1.0
27,41.671919571725944,41.86820923654657,-0.19628953463152835,hybrid,1.0,1.0,10.0,,1.0
28,37.74757124248304,37.94486537732576,-0.1972942375823071,hybrid,1.0,1.0,10.0,,1.0
29,34.12803489283512,34.318562156275696,-0.19052706541199432,hybrid,1.0,1.0,10.0,,1.0
30,30.973687824450042,31.158476076628034,-0.1847880278763018,hybrid,1.0,1.0,10.0,,1.0
31,27.39725032605623,27.605448471872432,-0.20819792386732602,hybrid,1.0,1.0,10.0,,1.0
32,24.256315934030635,24.465829849243164,-0.20951392619233383,hybrid,1.0,1.0,10.0,,1.0
33,21.002744473909075,21.229281676442998,-0.2265372401789615,hybrid,1.0,1.0,10.0,,1.0
34,18.073871562355443,18.28986880653783,-0.21599730378703066,hybrid,1.0,1.0,10.0,,1.0
35,15.138369610435085,15.353642413490697,-0.21527263835856789,hybrid,1.0,1.0,10.0,,1.0
36,12.7613088206241,12.97830641897101,-0.21699758423002144,hybrid,1.0,1.0,10.0,,1.0
37,10.373923552663703,10.590974105031867,-0.21705038923966258,hybrid,1.0,1.0,10.0,,1.0
38,8.382607183958354,8.609166597065173,-0.22655944486981944,hybrid,1.0,1.0,10.0,,1.0
39,6.785430255689119,7.0000527281510205,-0.2146224442281221,hybrid,1.0,1.0,10.0,,1.0
40,5.696143225619667,5.91787398488898,-0.2217307402507255,hybrid,1.0,1.0,10.0,,1.0
41,5.064574919248882,5.2864587181492855,-0.22188380439030497,hybrid,1.0,1.0,10.0,,1.0
42,4.765970004232306,4.989251111683092,-0.2232810850990446,hybrid,1.0,1.0,10.0,,1.0
43,4.675805242438066,4.8936570318121655,-0.21785181251011396,hybrid,1.0,1.0,10.0,,1.0
44,4.622102110009444,4.849501484318783,-0.22739937901496887,hybrid,1.0,1.0,10.0,,1.0
45,4.618935861085591,4.838617249539024,-0.2196814727626349,hybrid,1.0,1.0,10.0,,1.0
46,4.579605027248985,4.831263818238911,-0.25165880981244537,hybrid,1.0,1.0,10.0,,1.0
47,4.597391078346654,4.83622061578851,-0.23882953352049777,hybrid,1.0,1.0,10.0,,1.0
48,4.573954055183812,4.831131935119629,-0.2571778548391242,hybrid,1.0,1.0,10.0,,1.0
49,4.551601510298879,4.825932176489579,-0.2743307163840846,hybrid,1.0,1.0,10.0,,1.0
50,4.578418279948988,4.830574888932078,-0.2521566395696841,hybrid,1.0,1.0,10.0,,1.0
51,4.562196882147538,4.826481593282599,-0.2642846985867149,hybrid,1.0,1.0,10.0,,1.0
52,4.549640956677888,4.825485856909501,-0.2758448955259825,hybrid,1.0,1.0,10.0,,1.0
53,4.534462326451352,4.822952195217735,-0.28848986955065475,hybrid,1.0,1.0,10.0,,1.0
54,4.545681576979788,4.825901784394917,-0.28022015330038574,hybrid,1.0,1.0,10.0,,1.0
55,4.530570431759483,4.826045663733232,-0.29547521942540217,hybrid,1.0,1.0,10.0,,1.0
56,4.536273052817897,4.824109529194079,-0.287836481081812,hybrid,1.0,1.0,10.0,,1.0
57,4.5448955736662215,4.826554775238037,-0.2816592094145323,hybrid,1.0,1.0,10.0,,1.0
58,4.537009038423237,4.823551830492522,-0.2865427740310368,hybrid,1.0,1.0,10.0,,1.0
59,4.532998511665745,4.824220004834626,-0.29122147591490494,hybrid,1.0,1.0,10.0,,1.0
60,4.533572573410837,4.822251545755487,-0.2886789809716375,hybrid,1.0,1.0,10.0,,1.0
61,4.5057016673840975,4.821471113907664,-0.31576946613035706,hybrid,1.0,1.0,10.0,,1.0
62,4.552997488724558,4.826440008063066,-0.2734425365924835,hybrid,1.0,1.0,10.0,,1.0
63,4.510558805967632,4.82574294742785,-0.31518418302661494,hybrid,1.0,1.0,10.0,,1.0
64,4.522067747618022,4.822005573071931,-0.2999378325123536,hybrid,1.0,1.0,10.0,,1.0
65,4.535765923951802,4.825438097903603,-0.2896722053226672,hybrid,1.0,1.0,10.0,,1.0
66,4.5156005056280835,4.828952889693411,-0.3133523628899926,hybrid,1.0,1.0,10.0,,1.0
67,4.494097860235917,4.817855257737009,-0.3237573833842027,hybrid,1.0,1.0,10.0,,1.0
68,4.47628106568989,4.813584377891139,-0.3373033153383355,hybrid,1.0,1.0,10.0,,1.0
69,4.493804504996852,4.816342981238114,-0.3225384448703967,hybrid,1.0,1.0,10.0,,1.0
70,4.488359125036943,4.818488070839329,-0.3301289559979188,hybrid,1.0,1.0,10.0,,1.0
71,4.493402054435329,4.816865971213893,-0.32346398108883906,hybrid,1.0,1.0,10.0,,1.0
72,4.4887395657991105,4.815833493282921,-0.3270939306208962,hybrid,1.0,1.0,10.0,,1.0
73,4.466215485020688,4.814025075812089,-0.34780952412831156,hybrid,1.0,1.0,10.0,,1.0
74,4.461973566758005,4.809761699877288,-0.3477880703775506,hybrid,1.0,1.0,10.0,,1.0
75,4.4823305732325505,4.81446835869237,-0.3321377721272017,hybrid,1.0,1.0,10.0,,1.0
76,4.474290772488243,4.813791224831029,-0.33950043665735347,hybrid,1.0,1.0,10.0,,1.0
77,4.464052677154541,4.812314209185149,-0.3482615532059419,hybrid,1.0,1.0,10.0,,1.0
78,4.486867227052388,4.817635536193848,-0.33076832168980647,hybrid,1.0,1.0,10.0,,1.0
79,4.464287883356998,4.814018124028256,-0.3497301512642911,hybrid,1.0,1.0,10.0,,1.0
80,4.455460197047183,4.809808806369179,-0.35434864304567637,hybrid,1.0,1.0,10.0,,1.0
81,4.457527762965152,4.809290283604672,-0.35176251122826024,hybrid,1.0,1.0,10.0,,1.0
82,4.452143869901958,4.808787421176308,-0.35664351676639755,hybrid,1.0,1.0,10.0,,1.0
83,4.448774036608245,4.810725111710398,-0.3619510437312879,hybrid,1.0,1.0,10.0,,1.0
