epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,303.9599818179482,303.99458232678865,-0.03460198490096158,hybrid,1.0,1.0,10.0,,1.0
2,257.9638463070518,258.00653317100125,-0.04268743804239325,hybrid,1.0,1.0,10.0,,1.0
3,242.2060587029708,242.25999771921258,-0.05393928380094861,hybrid,1.0,1.0,10.0,,1.0
4,228.6751708984375,228.75722142269737,-0.08204994051668205,hybrid,1.0,1.0,10.0,,1.0
5,217.5799970124897,217.63470378674958,-0.05470771859645059,hybrid,1.0,1.0,10.0,,1.0
6,205.96648366827714,206.05481197959497,-0.08832847072105658,hybrid,1.0,1.0,10.0,,1.0
7,195.3352588854338,195.41997487921464,-0.08471673158438582,hybrid,1.0,1.0,10.0,,1.0
8,185.39732119911596,185.49731204384253,-0.09998879258177783,hybrid,1.0,1.0,10.0,,1.0
9,174.2684904399671,174.35764111970602,-0.08915076632432542,hybrid,1.0,1.0,10.0,,1.0
10,164.27177268580385,164.37147762900904,-0.09970673732459545,hybrid,1.0,1.0,10.0,,1.0
11,154.00190654553865,154.1060124447471,-0.10410675357439016,hybrid,1.0,1.0,10.0,,1.0
12,144.67351250899466,144.79644534462378,-0.12293118022774395,hybrid,1.0,1.0,10.0,,1.0
13,134.95215727153578,135.0829933568051,-0.13083702149359802,hybrid,1.0,1.0,10.0,,1.0
14,124.48798892372533,124.63483991120991,-0.1468512015907388,hybrid,1.0,1.0,10.0,,1.0
15,116.06172380949322,116.23390800074527,-0.17218446182577232,hybrid,1.0,1.0,10.0,,1.0
16,104.58368080540707,104.76539812589947,-0.18171671503468564,hybrid,1.0,1.0,10.0,,1.0
17,96.30636676989104,96.45643816496197,-0.15007122919747704,hybrid,1.0,1.0,10.0,,1.0
18,88.00812771445827,88.1713802939967,-0.16325263286891736,hybrid,1.0,1.0,10.0,,1.0
19,81.14746696070621,81.31407406455592,-0.1666070760080689,hybrid,1.0,1.0,10.0,,1.0
20,75.76822341115852,75.95220947265625,-0.1839866214676907,hybrid,1.0,1.0,10.0,,1.0
21,70.53744265907689,70.72514022024055,-0.18769763861047595,hybrid,1.0,1.0,10.0,,1.0
22,65.58875053807309,65.78418530915913,-0.19543486206155075,hybrid,1.0,1.0,10.0,,1.0
23,60.43012779637387,60.619048269171465,-0.18891991792540802,hybrid,1.0,1.0,10.0,,1.0
24,56.36636493080541,56.561563993755136,-0.19519876806359543,hybrid,1.0,1.0,10.0,,1.0
25,52.41496698479904,52.62570049888209,-0.21073322900031743,hybrid,1.0,1.0,10.0,,1.0
26,48.687700974313834,48.90527685065018,-0.21757577242035614,hybrid,1.0,1.0,10.0,,1.0
27,44.53193624396073,44.7427336040296,-0.21079760084026739,hybrid,1.0,1.0,10.0,,1.0
28,41.09776747854132,41.3154814870734,-0.21771426577317088,hybrid,1.0,1.0,10.0,,1.0
29,37.68594380428917,37.89986279136256,-0.21391929097865758,hybrid,1.0,1.0,10.0,,1.0
30,35.25569393760279,35.469671751323496,-0.21397777058576284,hybrid,1.0,1.0,10.0,,1.0
31,31.51695301658229,31.740314483642578,-0.22336174194750033,hybrid,1.0,1.0,10.0,,1.0
