epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,299.4903307462993,299.48632491262333,0.00400571318306519,hybrid_basic,1.0,1.0,10.0,,1.0
2,262.69279560289885,262.6992870130037,-0.006493888219426337,hybrid_basic,1.0,1.0,10.0,,1.0
3,248.96518988358346,248.972900390625,-0.007710341385590206,hybrid_basic,1.0,1.0,10.0,,1.0
4,235.4473419189453,235.45673249897203,-0.009390733743968763,hybrid_basic,1.0,1.0,10.0,,1.0
5,223.87158283434417,223.88077745939555,-0.00919554203957025,hybrid_basic,1.0,1.0,10.0,,1.0
6,212.2211560701069,212.23948428505346,-0.01832741598206523,hybrid_basic,1.0,1.0,10.0,,1.0
7,200.4579250938014,200.47491455078125,-0.016989751363565262,hybrid_basic,1.0,1.0,10.0,,1.0
8,188.2584870990954,188.27483167146383,-0.016346045441950036,hybrid_basic,1.0,1.0,10.0,,1.0
9,178.62520800138773,178.64294353284333,-0.017734928332318208,hybrid_basic,1.0,1.0,10.0,,1.0
10,166.80347804019326,166.82311851099917,-0.01964114785292431,hybrid_basic,1.0,1.0,10.0,,1.0
11,157.26833223041734,157.29600524902344,-0.027671622823139553,hybrid_basic,1.0,1.0,10.0,,1.0
12,148.23109114797492,148.25560158177427,-0.02451008969403215,hybrid_basic,1.0,1.0,10.0,,1.0
13,140.16972270764802,140.19801169947573,-0.028289320314989277,hybrid_basic,1.0,1.0,10.0,,1.0
14,130.7201341327868,130.7468450445878,-0.026710835493806945,hybrid_basic,1.0,1.0,10.0,,1.0
15,121.04273986816406,121.07569965563323,-0.03295946895684067,hybrid_basic,1.0,1.0,10.0,,1.0
16,111.08035077546772,111.11404579564145,-0.03369490443238694,hybrid_basic,1.0,1.0,10.0,,1.0
17,101.20927991365132,101.24466825786389,-0.03538789533960976,hybrid_basic,1.0,1.0,10.0,,1.0
18,91.75974313836349,91.79838802939967,-0.03864435062400604,hybrid_basic,1.0,1.0,10.0,,1.0
19,83.2738824141653,83.30640853078742,-0.03252567711139196,hybrid_basic,1.0,1.0,10.0,,1.0
20,75.13978616814865,75.17969512939453,-0.039908266675315406,hybrid_basic,1.0,1.0,10.0,,1.0
21,69.3004254792866,69.33880213687294,-0.03837695418808021,hybrid_basic,1.0,1.0,10.0,,1.0
22,64.32561272069027,64.3667809335809,-0.041167967168516235,hybrid_basic,1.0,1.0,10.0,,1.0
23,59.631966038754115,59.6737060546875,-0.04173989518006381,hybrid_basic,1.0,1.0,10.0,,1.0
