epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,-0.07655121286791798,385.39480269582646,-0.07655121286791798,rank_kendall,1.0,1.0,10.0,,1.0
2,-0.1212042742653897,407.77392899362667,-0.1212042742653897,rank_kendall,1.0,1.0,10.0,,1.0
3,-0.13218688778579235,423.2523193359375,-0.13218688778579235,rank_kendall,1.0,1.0,10.0,,1.0
4,-0.13151504295436958,434.40814208984375,-0.13151504295436958,rank_kendall,1.0,1.0,10.0,,1.0
5,-0.1564638312709959,440.4751763594778,-0.1564638312709959,rank_kendall,1.0,1.0,10.0,,1.0
6,-0.17285008257941195,445.6910095214844,-0.17285008257941195,rank_kendall,1.0,1.0,10.0,,1.0
7,-0.1748404495025936,438.0984191894531,-0.1748404495025936,rank_kendall,1.0,1.0,10.0,,1.0
8,-0.1546460524397461,448.55453330592104,-0.1546460524397461,rank_kendall,1.0,1.0,10.0,,1.0
9,-0.20384338772610613,454.7389574552837,-0.20384338772610613,rank_kendall,1.0,1.0,10.0,,1.0
10,-0.17155256592913679,452.44476318359375,-0.17155256592913679,rank_kendall,1.0,1.0,10.0,,1.0
11,-0.20924391636722967,447.54846673262745,-0.20924391636722967,rank_kendall,1.0,1.0,10.0,,1.0
12,-0.21266389873466993,459.61174894634047,-0.21266389873466993,rank_kendall,1.0,1.0,10.0,,1.0
13,-0.2320771360475766,459.7120650442023,-0.2320771360475766,rank_kendall,1.0,1.0,10.0,,1.0
14,-0.2337368005200436,446.4873352050781,-0.2337368005200436,rank_kendall,1.0,1.0,10.0,,1.0
15,-0.23836745243323476,442.81621671977797,-0.23836745243323476,rank_kendall,1.0,1.0,10.0,,1.0
16,-0.21208836177462026,444.82835629111844,-0.21208836177462026,rank_kendall,1.0,1.0,10.0,,1.0
17,-0.2236608878562325,445.05806692023026,-0.2236608878562325,rank_kendall,1.0,1.0,10.0,,1.0
18,-0.24410382775883926,456.1892170153166,-0.24410382775883926,rank_kendall,1.0,1.0,10.0,,1.0
19,-0.24614869136559336,454.49370213558797,-0.24614869136559336,rank_kendall,1.0,1.0,10.0,,1.0
20,-0.25028565839717265,452.51673969469573,-0.25028565839717265,rank_kendall,1.0,1.0,10.0,,1.0
21,-0.26027345265212815,451.19184795178865,-0.26027345265212815,rank_kendall,1.0,1.0,10.0,,1.0
22,-0.25555966206287084,446.22703471936677,-0.25555966206287084,rank_kendall,1.0,1.0,10.0,,1.0
23,-0.2624528408050537,448.2105375591077,-0.2624528408050537,rank_kendall,1.0,1.0,10.0,,1.0
24,-0.2816650326314725,461.19378662109375,-0.2816650326314725,rank_kendall,1.0,1.0,10.0,,1.0
25,-0.26941381355649546,458.72526951840047,-0.26941381355649546,rank_kendall,1.0,1.0,10.0,,1.0
26,-0.2802732202567552,449.4858109323602,-0.2802732202567552,rank_kendall,1.0,1.0,10.0,,1.0
27,-0.2912322667084242,445.3970513594778,-0.2912322667084242,rank_kendall,1.0,1.0,10.0,,1.0
28,-0.2769293565499155,443.2230112176192,-0.2769293565499155,rank_kendall,1.0,1.0,10.0,,1.0
29,-0.2704719563848094,454.6551593981291,-0.2704719563848094,rank_kendall,1.0,1.0,10.0,,1.0
30,-0.2867707814040937,450.196976511102,-0.2867707814040937,rank_kendall,1.0,1.0,10.0,,1.0
31,-0.2900275148843464,451.8942132247122,-0.2900275148843464,rank_kendall,1.0,1.0,10.0,,1.0
32,-0.29093157382387863,452.6875369423314,-0.29093157382387863,rank_kendall,1.0,1.0,10.0,,1.0
33,-0.29656889564112615,458.8015714946546,-0.29656889564112615,rank_kendall,1.0,1.0,10.0,,1.0
34,-0.29711748424329254,459.51623374537417,-0.29711748424329254,rank_kendall,1.0,1.0,10.0,,1.0
35,-0.3156206858785529,455.91845542506167,-0.3156206858785529,rank_kendall,1.0,1.0,10.0,,1.0
36,-0.3012518176906987,447.28644601922286,-0.3012518176906987,rank_kendall,1.0,1.0,10.0,,1.0
37,-0.300815161121519,451.63498246042354,-0.300815161121519,rank_kendall,1.0,1.0,10.0,,1.0
38,-0.3088541509289491,467.6962601511102,-0.3088541509289491,rank_kendall,1.0,1.0,10.0,,1.0
39,-0.30088258181747635,456.40708843030427,-0.30088258181747635,rank_kendall,1.0,1.0,10.0,,1.0
40,-0.28337886615803365,450.8171450966283,-0.28337886615803365,rank_kendall,1.0,1.0,10.0,,1.0
41,-0.29515011138037633,453.2935485839844,-0.29515011138037633,rank_kendall,1.0,1.0,10.0,,1.0
42,-0.3108991282550912,456.94126008686266,-0.3108991282550912,rank_kendall,1.0,1.0,10.0,,1.0
43,-0.27031471070490387,458.94137412623354,-0.27031471070490387,rank_kendall,1.0,1.0,10.0,,1.0
44,-0.29400781816557836,454.1731246145148,-0.29400781816557836,rank_kendall,1.0,1.0,10.0,,1.0
45,-0.30334565984575373,450.13874094109786,-0.30334565984575373,rank_kendall,1.0,1.0,10.0,,1.0
46,-0.3064950179112585,446.07525634765625,-0.3064950179112585,rank_kendall,1.0,1.0,10.0,,1.0
47,-0.321712851524353,440.02319817793995,-0.321712851524353,rank_kendall,1.0,1.0,10.0,,1.0
48,-0.295637804426645,446.02808099043995,-0.295637804426645,rank_kendall,1.0,1.0,10.0,,1.0
49,-0.3186638472895873,453.97766273900083,-0.3186638472895873,rank_kendall,1.0,1.0,10.0,,1.0
50,-0.30076900124549866,451.02576004831417,-0.30076900124549866,rank_kendall,1.0,1.0,10.0,,1.0
51,-0.3131512591713353,450.3506116365132,-0.3131512591713353,rank_kendall,1.0,1.0,10.0,,1.0
52,-0.31898970588257436,452.5751133968956,-0.31898970588257436,rank_kendall,1.0,1.0,10.0,,1.0
53,-0.318932358371584,451.86369725277547,-0.318932358371584,rank_kendall,1.0,1.0,10.0,,1.0
54,-0.32282068462748276,455.0463610197368,-0.32282068462748276,rank_kendall,1.0,1.0,10.0,,1.0
55,-0.3163277938177711,451.12001439144734,-0.3163277938177711,rank_kendall,1.0,1.0,10.0,,1.0
56,-0.3131754782639052,457.86641652960526,-0.3131754782639052,rank_kendall,1.0,1.0,10.0,,1.0
57,-0.33358728885650635,456.36915989925984,-0.33358728885650635,rank_kendall,1.0,1.0,10.0,,1.0
58,-0.3341761184366126,453.89793958162005,-0.3341761184366126,rank_kendall,1.0,1.0,10.0,,1.0
59,-0.32752122377094467,451.75191457648026,-0.32752122377094467,rank_kendall,1.0,1.0,10.0,,1.0
60,-0.341077972399561,448.27069894891036,-0.341077972399561,rank_kendall,1.0,1.0,10.0,,1.0
61,-0.3455730033548255,448.42786929481906,-0.3455730033548255,rank_kendall,1.0,1.0,10.0,,1.0
62,-0.3337082807954989,438.5998904579564,-0.3337082807954989,rank_kendall,1.0,1.0,10.0,,1.0
63,-0.33150353949320943,446.88553017064146,-0.33150353949320943,rank_kendall,1.0,1.0,10.0,,1.0
64,-0.3357587307691574,454.30595478258635,-0.3357587307691574,rank_kendall,1.0,1.0,10.0,,1.0
65,-0.31369619149910777,450.3868295769942,-0.31369619149910777,rank_kendall,1.0,1.0,10.0,,1.0
66,-0.3300434343124691,449.3993128726357,-0.3300434343124691,rank_kendall,1.0,1.0,10.0,,1.0
67,-0.339320843941287,450.2968525133635,-0.339320843941287,rank_kendall,1.0,1.0,10.0,,1.0
68,-0.33663652601994964,446.13792981599505,-0.33663652601994964,rank_kendall,1.0,1.0,10.0,,1.0
69,-0.329010513268019,457.19562891909953,-0.329010513268019,rank_kendall,1.0,1.0,10.0,,1.0
70,-0.3258343197797474,458.4462103592722,-0.3258343197797474,rank_kendall,1.0,1.0,10.0,,1.0
71,-0.33715522132421794,453.15606046977797,-0.33715522132421794,rank_kendall,1.0,1.0,10.0,,1.0
72,-0.34031005595859726,451.27840383429276,-0.34031005595859726,rank_kendall,1.0,1.0,10.0,,1.0
73,-0.3449811158995879,448.22815102025083,-0.3449811158995879,rank_kendall,1.0,1.0,10.0,,1.0
74,-0.33299314975738525,451.1107659590872,-0.33299314975738525,rank_kendall,1.0,1.0,10.0,,1.0
75,-0.3315019921252602,447.7926539370888,-0.3315019921252602,rank_kendall,1.0,1.0,10.0,,1.0
76,-0.33107976066438777,439.75938335217927,-0.33107976066438777,rank_kendall,1.0,1.0,10.0,,1.0
77,-0.33058162504120875,450.49459678248354,-0.33058162504120875,rank_kendall,1.0,1.0,10.0,,1.0
78,-0.3631676717808372,460.8868070903577,-0.3631676717808372,rank_kendall,1.0,1.0,10.0,,1.0
79,-0.35833361588026347,455.0285082365337,-0.35833361588026347,rank_kendall,1.0,1.0,10.0,,1.0
80,-0.3508705010539607,453.7608385587993,-0.3508705010539607,rank_kendall,1.0,1.0,10.0,,1.0
81,-0.3471915125846863,447.2785226922286,-0.3471915125846863,rank_kendall,1.0,1.0,10.0,,1.0
82,-0.35244806816703395,453.29676899157073,-0.35244806816703395,rank_kendall,1.0,1.0,10.0,,1.0
83,-0.35044120565841075,447.78082917865953,-0.35044120565841075,rank_kendall,1.0,1.0,10.0,,1.0
84,-0.33891984192948593,450.6050463224712,-0.33891984192948593,rank_kendall,1.0,1.0,10.0,,1.0
85,-0.3434393515712337,448.0839618883635,-0.3434393515712337,rank_kendall,1.0,1.0,10.0,,1.0
86,-0.34057245442741796,452.34692543431333,-0.34057245442741796,rank_kendall,1.0,1.0,10.0,,1.0
87,-0.32907215701906306,454.41777440121297,-0.32907215701906306,rank_kendall,1.0,1.0,10.0,,1.0
88,-0.3461135578782935,447.7019476639597,-0.3461135578782935,rank_kendall,1.0,1.0,10.0,,1.0
89,-0.3436000605947093,442.6969989977385,-0.3436000605947093,rank_kendall,1.0,1.0,10.0,,1.0
90,-0.3565984446751444,442.3361896715666,-0.3565984446751444,rank_kendall,1.0,1.0,10.0,,1.0
91,-0.3578981929703763,447.53439652292354,-0.3578981929703763,rank_kendall,1.0,1.0,10.0,,1.0
92,-0.3529573647599471,443.1779720908717,-0.3529573647599471,rank_kendall,1.0,1.0,10.0,,1.0
93,-0.3323872654061568,445.2926603618421,-0.3323872654061568,rank_kendall,1.0,1.0,10.0,,1.0
94,-0.35756639273543106,446.29413966128703,-0.35756639273543106,rank_kendall,1.0,1.0,10.0,,1.0
95,-0.36030763387680054,443.21433780067844,-0.36030763387680054,rank_kendall,1.0,1.0,10.0,,1.0
96,-0.3622950974263643,441.2107640316612,-0.3622950974263643,rank_kendall,1.0,1.0,10.0,,1.0
97,-0.34600917289131566,439.34137605365953,-0.34600917289131566,rank_kendall,1.0,1.0,10.0,,1.0
98,-0.35201065007009,449.66436767578125,-0.35201065007009,rank_kendall,1.0,1.0,10.0,,1.0
99,-0.3551060604421716,445.90845690275495,-0.3551060604421716,rank_kendall,1.0,1.0,10.0,,1.0
100,-0.3689867822747481,446.4285744114926,-0.3689867822747481,rank_kendall,1.0,1.0,10.0,,1.0
101,-0.35288891745241063,441.69042647512333,-0.35288891745241063,rank_kendall,1.0,1.0,10.0,,1.0
102,-0.34150099440624837,442.4911627518503,-0.34150099440624837,rank_kendall,1.0,1.0,10.0,,1.0
103,-0.3663859822248158,439.0501821417558,-0.3663859822248158,rank_kendall,1.0,1.0,10.0,,1.0
104,-0.35795662434477554,443.4957982113487,-0.35795662434477554,rank_kendall,1.0,1.0,10.0,,1.0
105,-0.3522527421775617,438.3304748535156,-0.3522527421775617,rank_kendall,1.0,1.0,10.0,,1.0
106,-0.35753009821239273,439.1044150904605,-0.35753009821239273,rank_kendall,1.0,1.0,10.0,,1.0
107,-0.361650088900014,453.4225769042969,-0.361650088900014,rank_kendall,1.0,1.0,10.0,,1.0
108,-0.36562964790745783,452.56055169356495,-0.36562964790745783,rank_kendall,1.0,1.0,10.0,,1.0
109,-0.36380836681315776,445.3772261770148,-0.36380836681315776,rank_kendall,1.0,1.0,10.0,,1.0
110,-0.352644377633145,446.9270806563528,-0.352644377633145,rank_kendall,1.0,1.0,10.0,,1.0
111,-0.36158686405734014,444.16642038445724,-0.36158686405734014,rank_kendall,1.0,1.0,10.0,,1.0
112,-0.3719210201188138,442.26457294664885,-0.3719210201188138,rank_kendall,1.0,1.0,10.0,,1.0
113,-0.3653059852750678,437.4972662674753,-0.3653059852750678,rank_kendall,1.0,1.0,10.0,,1.0
114,-0.38232545946773727,442.60163477847453,-0.38232545946773727,rank_kendall,1.0,1.0,10.0,,1.0
115,-0.33285051427389445,446.13076460988896,-0.33285051427389445,rank_kendall,1.0,1.0,10.0,,1.0
116,-0.3473041661475834,443.31026739823193,-0.3473041661475834,rank_kendall,1.0,1.0,10.0,,1.0
117,-0.36533736398345545,445.4350168328536,-0.36533736398345545,rank_kendall,1.0,1.0,10.0,,1.0
118,-0.36452070427568334,448.79603817588406,-0.36452070427568334,rank_kendall,1.0,1.0,10.0,,1.0
119,-0.37341202246515376,448.24376477693255,-0.37341202246515376,rank_kendall,1.0,1.0,10.0,,1.0
120,-0.37063793602742645,447.1368472450658,-0.37063793602742645,rank_kendall,1.0,1.0,10.0,,1.0
121,-0.3729303588992671,443.2733090049342,-0.3729303588992671,rank_kendall,1.0,1.0,10.0,,1.0
