epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,-0.07785919579481215,393.34324886924344,-0.07785919579481215,rank_kendall,1.0,1.0,10.0,,1.0
2,-0.12394918115368407,418.9869866622122,-0.12394918115368407,rank_kendall,1.0,1.0,10.0,,1.0
3,-0.1450733022862359,427.85621723375823,-0.1450733022862359,rank_kendall,1.0,1.0,10.0,,1.0
4,-0.17019108643657282,431.8588931435033,-0.17019108643657282,rank_kendall,1.0,1.0,10.0,,1.0
5,-0.16696221969629588,432.0708634225946,-0.16696221969629588,rank_kendall,1.0,1.0,10.0,,1.0
6,-0.18098641794763112,438.1422857987253,-0.18098641794763112,rank_kendall,1.0,1.0,10.0,,1.0
7,-0.1967073567211628,442.05798661081417,-0.1967073567211628,rank_kendall,1.0,1.0,10.0,,1.0
8,-0.20185998003733785,433.3859092310855,-0.20185998003733785,rank_kendall,1.0,1.0,10.0,,1.0
9,-0.18577876530195536,438.1025968852796,-0.18577876530195536,rank_kendall,1.0,1.0,10.0,,1.0
10,-0.22562525539021744,436.55088404605266,-0.22562525539021744,rank_kendall,1.0,1.0,10.0,,1.0
11,-0.17965524555429033,443.9268541837993,-0.17965524555429033,rank_kendall,1.0,1.0,10.0,,1.0
12,-0.22413293507538343,445.052589818051,-0.22413293507538343,rank_kendall,1.0,1.0,10.0,,1.0
13,-0.22572162433674461,445.37461772717927,-0.22572162433674461,rank_kendall,1.0,1.0,10.0,,1.0
14,-0.24252839229608836,452.38201261821547,-0.24252839229608836,rank_kendall,1.0,1.0,10.0,,1.0
15,-0.2177908044112356,456.8750626413446,-0.2177908044112356,rank_kendall,1.0,1.0,10.0,,1.0
16,-0.25451835362534775,462.0415681537829,-0.25451835362534775,rank_kendall,1.0,1.0,10.0,,1.0
17,-0.24944133821286654,463.5267478541324,-0.24944133821286654,rank_kendall,1.0,1.0,10.0,,1.0
18,-0.2607418777127015,458.4381183825041,-0.2607418777127015,rank_kendall,1.0,1.0,10.0,,1.0
19,-0.2652986579035458,459.2922877261513,-0.2652986579035458,rank_kendall,1.0,1.0,10.0,,1.0
20,-0.2650104588583896,453.72417088558797,-0.2650104588583896,rank_kendall,1.0,1.0,10.0,,1.0
21,-0.2583050798428686,463.44623445209703,-0.2583050798428686,rank_kendall,1.0,1.0,10.0,,1.0
22,-0.2694519483729413,452.2666593852796,-0.2694519483729413,rank_kendall,1.0,1.0,10.0,,1.0
23,-0.2782108430799685,454.1684425755551,-0.2782108430799685,rank_kendall,1.0,1.0,10.0,,1.0
24,-0.2832347538910414,460.2349516216077,-0.2832347538910414,rank_kendall,1.0,1.0,10.0,,1.0
25,-0.27769325046162857,456.30177548057156,-0.27769325046162857,rank_kendall,1.0,1.0,10.0,,1.0
26,-0.25276292468372147,458.46141614412005,-0.25276292468372147,rank_kendall,1.0,1.0,10.0,,1.0
27,-0.2600798426490081,460.1623197856702,-0.2600798426490081,rank_kendall,1.0,1.0,10.0,,1.0
28,-0.2918236318387483,464.4436966745477,-0.2918236318387483,rank_kendall,1.0,1.0,10.0,,1.0
29,-0.2989754888572191,465.75489566200656,-0.2989754888572191,rank_kendall,1.0,1.0,10.0,,1.0
30,-0.3003746796595423,461.7904133043791,-0.3003746796595423,rank_kendall,1.0,1.0,10.0,,1.0
31,-0.28316471882556615,450.78721859580594,-0.28316471882556615,rank_kendall,1.0,1.0,10.0,,1.0
32,-0.30999112129211426,461.33134540758635,-0.30999112129211426,rank_kendall,1.0,1.0,10.0,,1.0
33,-0.29328593768571554,461.135941354852,-0.29328593768571554,rank_kendall,1.0,1.0,10.0,,1.0
34,-0.26531588011666346,461.8863814504523,-0.26531588011666346,rank_kendall,1.0,1.0,10.0,,1.0
35,-0.3060564359551982,468.69640952662417,-0.3060564359551982,rank_kendall,1.0,1.0,10.0,,1.0
36,-0.304401822780308,465.18124229029604,-0.304401822780308,rank_kendall,1.0,1.0,10.0,,1.0
37,-0.30326547512882635,464.39197741056745,-0.30326547512882635,rank_kendall,1.0,1.0,10.0,,1.0
38,-0.31130917684028026,461.41311003032484,-0.31130917684028026,rank_kendall,1.0,1.0,10.0,,1.0
39,-0.30050536284321233,463.60445685135693,-0.30050536284321233,rank_kendall,1.0,1.0,10.0,,1.0
40,-0.31023698653045456,457.011031301398,-0.31023698653045456,rank_kendall,1.0,1.0,10.0,,1.0
41,-0.30091282882188497,468.7479183799342,-0.30091282882188497,rank_kendall,1.0,1.0,10.0,,1.0
42,-0.3008196965644234,458.97668135793583,-0.3008196965644234,rank_kendall,1.0,1.0,10.0,,1.0
43,-0.313063477215014,464.8756505062706,-0.313063477215014,rank_kendall,1.0,1.0,10.0,,1.0
44,-0.3105019848597677,460.24748952765214,-0.3105019848597677,rank_kendall,1.0,1.0,10.0,,1.0
45,-0.3165456080122998,451.8490584524054,-0.3165456080122998,rank_kendall,1.0,1.0,10.0,,1.0
46,-0.3192468097335414,458.9644887823808,-0.3192468097335414,rank_kendall,1.0,1.0,10.0,,1.0
47,-0.321722160828741,458.06287906044406,-0.321722160828741,rank_kendall,1.0,1.0,10.0,,1.0
48,-0.31466038132968704,454.69131630345396,-0.31466038132968704,rank_kendall,1.0,1.0,10.0,,1.0
49,-0.3041605565108751,454.0403410259046,-0.3041605565108751,rank_kendall,1.0,1.0,10.0,,1.0
50,-0.307367700495218,446.72835821854443,-0.307367700495218,rank_kendall,1.0,1.0,10.0,,1.0
