epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,rank_nu,lambda_rank
1,-0.006420481753976722,435.31778114720396,-0.006420481753976722,rank_kendall_basic,1.0,1.0,10.0,,1.0
2,-0.018184472096005554,462.9812381142064,-0.018184472096005554,rank_kendall_basic,1.0,1.0,10.0,,1.0
3,-0.019903603016006712,454.2666272615132,-0.019903603016006712,rank_kendall_basic,1.0,1.0,10.0,,1.0
4,-0.02333532759037457,444.5975197239926,-0.02333532759037457,rank_kendall_basic,1.0,1.0,10.0,,1.0
5,-0.027567935837922913,444.2383246170847,-0.027567935837922913,rank_kendall_basic,1.0,1.0,10.0,,1.0
6,-0.036546723059329544,448.2019476639597,-0.036546723059329544,rank_kendall_basic,1.0,1.0,10.0,,1.0
7,-0.038279305261216666,454.12722457082646,-0.038279305261216666,rank_kendall_basic,1.0,1.0,10.0,,1.0
8,-0.04213245722808336,457.451904296875,-0.04213245722808336,rank_kendall_basic,1.0,1.0,10.0,,1.0
9,-0.04185787735408858,454.46275088661594,-0.04185787735408858,rank_kendall_basic,1.0,1.0,10.0,,1.0
10,-0.05019825049921086,454.91434197676807,-0.05019825049921086,rank_kendall_basic,1.0,1.0,10.0,,1.0
11,-0.052521995415813046,441.17371569181745,-0.052521995415813046,rank_kendall_basic,1.0,1.0,10.0,,1.0
12,-0.056763689278772005,457.5671804327714,-0.056763689278772005,rank_kendall_basic,1.0,1.0,10.0,,1.0
13,-0.05750022083520889,454.9652035361842,-0.05750022083520889,rank_kendall_basic,1.0,1.0,10.0,,1.0
14,-0.06224147406847853,452.75608424136516,-0.06224147406847853,rank_kendall_basic,1.0,1.0,10.0,,1.0
15,-0.06372188992406193,453.5655099969161,-0.06372188992406193,rank_kendall_basic,1.0,1.0,10.0,,1.0
16,-0.05804663739706341,451.14194046823604,-0.05804663739706341,rank_kendall_basic,1.0,1.0,10.0,,1.0
17,-0.06098648317550358,438.09229479337995,-0.06098648317550358,rank_kendall_basic,1.0,1.0,10.0,,1.0
18,-0.06371012506516356,443.3291385048314,-0.06371012506516356,rank_kendall_basic,1.0,1.0,10.0,,1.0
