input_version,loss_mode,score_type,task,horizon_years,n_train,train_converters,n_test,test_converters,test_nonconverters,auc
raw,euclidean,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.75
raw,euclidean,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.6295454545454545
raw,euclidean,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.7407142857142857
raw,euclidean,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.6614285714285715
raw,euclidean,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.8238227146814405
raw,euclidean,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.7501385041551246
raw,euclidean,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.8102766798418972
raw,euclidean,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.7697628458498024
raw,euclidean,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
raw,euclidean,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
raw,euclidean,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.6696629213483146
raw,euclidean,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.503370786516854
raw,euclidean,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.5633986928104575
raw,euclidean,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.46143790849673205
raw,euclidean,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.5647058823529412
raw,euclidean,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.46143790849673205
combat,euclidean,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.7772727272727273
combat,euclidean,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.1977272727272727
combat,euclidean,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.7385714285714285
combat,euclidean,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.235
combat,euclidean,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.807202216066482
combat,euclidean,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.1894736842105263
combat,euclidean,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.7900197628458497
combat,euclidean,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.21146245059288538
combat,euclidean,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
combat,euclidean,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
combat,euclidean,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.6202247191011236
combat,euclidean,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.26292134831460673
combat,euclidean,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.5816993464052287
combat,euclidean,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.3686274509803922
combat,euclidean,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.5973856209150326
combat,euclidean,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.3686274509803922
raw,rank_kendall,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.9
raw,rank_kendall,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.7295454545454545
raw,rank_kendall,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.6964285714285714
raw,rank_kendall,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.6764285714285715
raw,rank_kendall,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.7628808864265928
raw,rank_kendall,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.7551246537396121
raw,rank_kendall,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.7386363636363636
raw,rank_kendall,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.7183794466403163
raw,rank_kendall,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
raw,rank_kendall,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
raw,rank_kendall,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.4426966292134832
raw,rank_kendall,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.6157303370786517
raw,rank_kendall,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.4549019607843137
raw,rank_kendall,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.5777777777777777
raw,rank_kendall,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.48104575163398694
raw,rank_kendall,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.5777777777777777
combat,rank_kendall,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.8659090909090909
combat,rank_kendall,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.7545454545454546
combat,rank_kendall,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.6985714285714286
combat,rank_kendall,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.7035714285714286
combat,rank_kendall,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.7506925207756233
combat,rank_kendall,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.7717451523545705
combat,rank_kendall,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.7228260869565217
combat,rank_kendall,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.7198616600790514
combat,rank_kendall,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
combat,rank_kendall,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
combat,rank_kendall,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.4786516853932584
combat,rank_kendall,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.647191011235955
combat,rank_kendall,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.469281045751634
combat,rank_kendall,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.6052287581699347
combat,rank_kendall,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.5071895424836601
combat,rank_kendall,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.6052287581699347
raw,rank_kendall_basic,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.8681818181818183
raw,rank_kendall_basic,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.7250000000000001
raw,rank_kendall_basic,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.6842857142857144
raw,rank_kendall_basic,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.6807142857142857
raw,rank_kendall_basic,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.7545706371191135
raw,rank_kendall_basic,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.749584487534626
raw,rank_kendall_basic,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.732707509881423
raw,rank_kendall_basic,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.7104743083003953
raw,rank_kendall_basic,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
raw,rank_kendall_basic,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
raw,rank_kendall_basic,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.46966292134831467
raw,rank_kendall_basic,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.5752808988764044
raw,rank_kendall_basic,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.4836601307189542
raw,rank_kendall_basic,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.5477124183006536
raw,rank_kendall_basic,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.5058823529411764
raw,rank_kendall_basic,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.5477124183006536
combat,rank_kendall_basic,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.8727272727272728
combat,rank_kendall_basic,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.7659090909090909
combat,rank_kendall_basic,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.687857142857143
combat,rank_kendall_basic,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.7171428571428572
