input_version,loss_mode,setup,tau,beta,rank_alpha,rank_nu,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot
raw,euclidean,setup3,1.0,1.0,10.0,,1.0,1.0,0.024562055245041847,0.026034245267510414,0.009764477610588074,0.1762063205242157,17.0,2.0,0.0,0.8052941176470589,0.5924787644787645,0.7349534408357937,0.4779050736497545,0.6462971430252099,0.7407142857142857,0.6696629213483146,0.13427536200542523,0.45197460606298623,0.4234844312010442,0.1898916108076901,0.07301013614643358,results_w0_setup3_only/mode_euclidean/setup3_pca_d_mod3_raw.png,results_w0_setup3_only/mode_euclidean/setup3_pairwise_distance_raw.png,results_w0_setup3_only/mode_euclidean/setup3_tsne_d_mod3_raw.png
raw,euclidean,setup3-s,1.0,1.0,10.0,,1.0,1.0,,,,,,,,,,,,,0.6614285714285715,0.503370786516854,,0.3890963714133547,0.3517172316593724,,,,,
raw,rank_kendall,setup3,1.0,1.0,10.0,,1.0,1.0,1.0036718845367432,1.0349054336547852,0.9970546960830688,1.1805235147476196,256.0,256.0,256.0,0.8017647058823529,0.5993976833976834,0.7480505715799834,0.486088379705401,0.6550179364346862,0.6964285714285714,0.4426966292134832,0.10301395675109726,0.4290701947569709,0.3958486885403728,0.06509787158523692,0.08025979300523299,results_w0_setup3_only/mode_rank_kendall/setup3_pca_d_mod3_raw.png,results_w0_setup3_only/mode_rank_kendall/setup3_pairwise_distance_raw.png,results_w0_setup3_only/mode_rank_kendall/setup3_tsne_d_mod3_raw.png
raw,rank_kendall,setup3-s,1.0,1.0,10.0,,1.0,1.0,,,,,,,,,,,,,0.6764285714285715,0.6157303370786517,,0.27259133086560045,0.33468038284509694,,,,,
raw,rank_kendall_basic,setup3,1.0,1.0,10.0,,1.0,1.0,1.064405918121338,1.0706478357315063,1.051360845565796,1.3562239408493042,256.0,256.0,256.0,0.7998823529411766,0.6048648648648649,0.7566431978196685,0.4795417348608838,0.6589601812328705,0.6842857142857144,0.46966292134831467,0.06180603018385744,0.4094529915099468,0.37832641790047566,0.08395860349935279,0.08374670734382669,results_w0_setup3_only/mode_rank_kendall_basic/setup3_pca_d_mod3_raw.png,results_w0_setup3_only/mode_rank_kendall_basic/setup3_pairwise_distance_raw.png,results_w0_setup3_only/mode_rank_kendall_basic/setup3_tsne_d_mod3_raw.png
raw,rank_kendall_basic,setup3-s,1.0,1.0,10.0,,1.0,1.0,,,,,,,,,,,,,0.6807142857142857,0.5752808988764044,,0.3348612065880231,0.32630668537437246,,,,,
raw,hybrid,setup3,1.0,1.0,10.0,,1.0,1.0,0.02567300759255886,0.02661089599132538,0.013743986375629902,0.12849171459674835,14.0,3.0,0.0,0.8043529411764706,0.5851583011583011,0.733287909758498,0.486088379705401,0.6412958815260076,0.7735714285714286,0.6561797752808989,0.10641080914256651,0.43398304113848096,0.40684719918393164,0.18764965828420593,0.1270931876278724,results_w0_setup3_only/mode_hybrid/setup3_pca_d_mod3_raw.png,results_w0_setup3_only/mode_hybrid/setup3_pairwise_distance_raw.png,results_w0_setup3_only/mode_hybrid/setup3_tsne_d_mod3_raw.png
raw,hybrid,setup3-s,1.0,1.0,10.0,,1.0,1.0,,,,,,,,,,,,,0.77,0.6449438202247191,,0.4255650644444567,0.3990506733669294,,,,,
raw,hybrid_basic,setup3,1.0,1.0,10.0,,1.0,1.0,0.024188706651329994,0.02477393113076687,0.012705308385193348,0.09917221963405609,16.0,0.0,0.0,0.799843137254902,0.5765868725868726,0.7354455295631768,0.4664484451718494,0.6344669986642518,0.725,0.6606741573033708,0.09517390251204827,0.42711246125435454,0.3999095653930591,0.16993716754563726,0.12107094776415034,results_w0_setup3_only/mode_hybrid_basic/setup3_pca_d_mod3_raw.png,results_w0_setup3_only/mode_hybrid_basic/setup3_pairwise_distance_raw.png,results_w0_setup3_only/mode_hybrid_basic/setup3_tsne_d_mod3_raw.png
raw,hybrid_basic,setup3-s,1.0,1.0,10.0,,1.0,1.0,,,,,,,,,,,,,0.7050000000000001,0.6337078651685393,,0.3908655735846375,0.36231328462806334,,,,,
combat,euclidean,setup3,1.0,1.0,10.0,,1.0,1.0,0.023856818675994873,0.023951305076479912,0.008416424505412579,0.1367962807416916,18.0,3.0,0.0,0.8303529411764706,0.6206949806949806,0.7387008857597093,0.5090016366612111,0.6693686730816406,0.7385714285714285,0.6202247191011236,0.1399515160442395,0.45171966899591115,0.4400513251905361,0.19722789460903697,0.12804940601981987,results_w0_setup3_only/mode_euclidean/setup3_pca_d_mod3_combat.png,results_w0_setup3_only/mode_euclidean/setup3_pairwise_distance_combat.png,results_w0_setup3_only/mode_euclidean/setup3_tsne_d_mod3_combat.png
combat,euclidean,setup3-s,1.0,1.0,10.0,,1.0,1.0,,,,,,,,,,,,,0.235,0.26292134831460673,,-0.4613268756935725,-0.4371752521673529,,,,,
combat,rank_kendall,setup3,1.0,1.0,10.0,,1.0,1.0,0.9334413409233093,0.9563505053520203,0.9190521240234375,1.167628526687622,256.0,256.0,256.0,0.8250196078431373,0.5930656370656371,0.7682640623817094,0.486088379705401,0.662868939285676,0.6985714285714286,0.4786516853932584,0.07378105926876566,0.413397342583044,0.39246078405068124,0.07282488249360623,0.11789663519079387,results_w0_setup3_only/mode_rank_kendall/setup3_pca_d_mod3_combat.png,results_w0_setup3_only/mode_rank_kendall/setup3_pairwise_distance_combat.png,results_w0_setup3_only/mode_rank_kendall/setup3_tsne_d_mod3_combat.png
