version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_dhat,delta_ci_lo,delta_ci_hi,delta_p
raw,MCI_to_AD,2,ridge_d_hat,65,14,0.7563025210084033,0.6064130915524104,0.8853380471380471,,,,
raw,MCI_to_AD,2,direct_logistic,65,14,0.5294117647058824,0.36194294200587107,0.6919289044289043,-0.22685847928426556,-0.3690909090909092,-0.08080808080808088,0.0032
raw,MCI_to_AD,2,oracle_true_d_mod3,65,14,0.6624649859943977,0.49881688047559447,0.8108755641521599,-0.09401764209273701,-0.2185629954225745,0.025372093023255736,0.1144
raw,MCI_to_AD,2,rasper_kendall,65,14,0.5434173669467787,0.36982062055591475,0.7100928755340518,-0.2130580194250615,-0.36026997920380266,-0.06403416832617126,0.0072
raw,MCI_to_AD,3,ridge_d_hat,51,19,0.8174342105263157,0.685483870967742,0.9276550751879696,,,,
raw,MCI_to_AD,3,direct_logistic,51,19,0.6759868421052632,0.5148148148148148,0.8203968253968249,-0.1427484560747545,-0.28413660413660424,-0.004836789554531451,0.0428
raw,MCI_to_AD,3,oracle_true_d_mod3,51,19,0.6858552631578947,0.5235554558745348,0.8397741312741311,-0.13226163290747364,-0.2812689230103806,-0.002266516378358617,0.0432
raw,MCI_to_AD,3,rasper_kendall,51,19,0.65625,0.48922993827160494,0.8047638248847926,-0.16197331598141249,-0.3032362544077315,-0.030887435054101776,0.0152
raw,MCI_to_AD,4,ridge_d_hat,45,22,0.7648221343873518,0.6072838345864663,0.8968253968253969,,,,
raw,MCI_to_AD,4,direct_logistic,45,22,0.642292490118577,0.46848469625004147,0.8060081027667984,-0.12184376171825502,-0.2819999999999999,0.027777777777777683,0.1168
raw,MCI_to_AD,4,oracle_true_d_mod3,45,22,0.6640316205533597,0.48595474308300396,0.816,-0.10080941578678419,-0.2648287362000817,0.05801761133603218,0.2172
raw,MCI_to_AD,4,rasper_kendall,45,22,0.6422924901185771,0.473236979977176,0.8115137603624445,-0.1217080615416417,-0.27667984189723327,0.02429149797570851,0.1164
raw,CN_to_MCI,2,ridge_d_hat,59,5,0.788888888888889,0.5789473684210527,0.9469824561403507,,,,
raw,CN_to_MCI,2,direct_logistic,59,5,0.3074074074074074,0.14880952380952378,0.47787211740041924,-0.4817487294646902,-0.7183333333333334,-0.19047619047619052,0.007224563515954244
