version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_dhat,delta_ci_lo,delta_ci_hi,delta_p
raw,MCI_to_AD,2,ridge_d_hat,65,14,0.7563025210084033,,,,,,
raw,MCI_to_AD,2,direct_logistic,65,14,0.5294117647058824,,,-0.22689075630252098,,,
raw,MCI_to_AD,2,oracle_true_d_mod3,65,14,0.6624649859943977,,,-0.0938375350140056,,,
raw,MCI_to_AD,2,rasper_kendall,65,14,0.5434173669467787,,,-0.21288515406162467,,,
raw,MCI_to_AD,3,ridge_d_hat,51,19,0.8174342105263157,,,,,,
raw,MCI_to_AD,3,direct_logistic,51,19,0.6759868421052632,,,-0.14144736842105254,,,
raw,MCI_to_AD,3,oracle_true_d_mod3,51,19,0.6858552631578947,,,-0.13157894736842102,,,
raw,MCI_to_AD,3,rasper_kendall,51,19,0.6776315789473685,,,-0.13980263157894723,,,
raw,MCI_to_AD,4,ridge_d_hat,45,22,0.7648221343873518,,,,,,
raw,MCI_to_AD,4,direct_logistic,45,22,0.642292490118577,,,-0.12252964426877477,,,
raw,MCI_to_AD,4,oracle_true_d_mod3,45,22,0.6640316205533597,,,-0.10079051383399207,,,
raw,MCI_to_AD,4,rasper_kendall,45,22,0.6422924901185771,,,-0.12252964426877466,,,
raw,CN_to_MCI,2,ridge_d_hat,59,5,0.788888888888889,,,,,,
raw,CN_to_MCI,2,direct_logistic,59,5,0.3074074074074074,,,-0.48148148148148157,,,
raw,CN_to_MCI,2,oracle_true_d_mod3,59,5,0.6518518518518519,,,-0.13703703703703707,,,
raw,CN_to_MCI,2,rasper_kendall,59,5,0.4185185185185185,,,-0.37037037037037046,,,
raw,CN_to_MCI,3,ridge_d_hat,49,9,0.65,,,,,,
raw,CN_to_MCI,3,direct_logistic,49,9,0.34444444444444444,,,-0.3055555555555556,,,
raw,CN_to_MCI,3,oracle_true_d_mod3,49,9,0.5777777777777778,,,-0.07222222222222219,,,
raw,CN_to_MCI,3,rasper_kendall,49,9,0.3472222222222222,,,-0.3027777777777778,,,
raw,CN_to_MCI,4,ridge_d_hat,42,9,0.6498316498316499,,,,,,
raw,CN_to_MCI,4,direct_logistic,42,9,0.3872053872053872,,,-0.26262626262626265,,,
raw,CN_to_MCI,4,oracle_true_d_mod3,42,9,0.5858585858585859,,,-0.06397306397306401,,,
raw,CN_to_MCI,4,rasper_kendall,42,9,0.46464646464646464,,,-0.18518518518518523,,,
combat,MCI_to_AD,2,ridge_d_hat,65,14,0.7801120448179272,,,,,,
combat,MCI_to_AD,2,direct_logistic,65,14,0.5588235294117647,,,-0.22128851540616246,,,
combat,MCI_to_AD,2,oracle_true_d_mod3,65,14,0.6624649859943977,,,-0.11764705882352944,,,
combat,MCI_to_AD,2,rasper_kendall,65,14,0.5742296918767508,,,-0.2058823529411764,,,
combat,MCI_to_AD,3,ridge_d_hat,51,19,0.8256578947368421,,,,,,
combat,MCI_to_AD,3,direct_logistic,51,19,0.700657894736842,,,-0.1250000000000001,,,
combat,MCI_to_AD,3,oracle_true_d_mod3,51,19,0.6858552631578947,,,-0.13980263157894746,,,
combat,MCI_to_AD,3,rasper_kendall,51,19,0.6842105263157895,,,-0.14144736842105265,,,
combat,MCI_to_AD,4,ridge_d_hat,45,22,0.7608695652173912,,,,,,
combat,MCI_to_AD,4,direct_logistic,45,22,0.6403162055335968,,,-0.12055335968379444,,,
combat,MCI_to_AD,4,oracle_true_d_mod3,45,22,0.6640316205533597,,,-0.0968379446640315,,,
combat,MCI_to_AD,4,rasper_kendall,45,22,0.650197628458498,,,-0.1106719367588932,,,
combat,CN_to_MCI,2,ridge_d_hat,59,5,0.8111111111111111,,,,,,
combat,CN_to_MCI,2,direct_logistic,59,5,0.32222222222222224,,,-0.4888888888888889,,,
combat,CN_to_MCI,2,oracle_true_d_mod3,59,5,0.6518518518518519,,,-0.1592592592592592,,,
combat,CN_to_MCI,2,rasper_kendall,59,5,0.3851851851851852,,,-0.42592592592592593,,,
combat,CN_to_MCI,3,ridge_d_hat,49,9,0.6555555555555557,,,,,,
combat,CN_to_MCI,3,direct_logistic,49,9,0.40555555555555556,,,-0.2500000000000001,,,
combat,CN_to_MCI,3,oracle_true_d_mod3,49,9,0.5777777777777778,,,-0.07777777777777783,,,
combat,CN_to_MCI,3,rasper_kendall,49,9,0.41111111111111115,,,-0.24444444444444452,,,
combat,CN_to_MCI,4,ridge_d_hat,42,9,0.6464646464646464,,,,,,
combat,CN_to_MCI,4,direct_logistic,42,9,0.4511784511784512,,,-0.19528619528619523,,,
combat,CN_to_MCI,4,oracle_true_d_mod3,42,9,0.5858585858585859,,,-0.06060606060606055,,,
combat,CN_to_MCI,4,rasper_kendall,42,9,0.41077441077441074,,,-0.23569023569023567,,,
