input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot,result_dir,config
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.4517184942716857,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.0453486034165119,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_euclidean_a10_05152016_s60_c150_h384_l256,nan
raw,setup2,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.4599018003273322,0.6100324148600236,0.6264285714285713,0.2404494382022471,0.0566773786006109,0.3766981130296147,0.338407067915162,0.0995213357389061,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_euclidean_a10_05152016_s60_c150_h384_l256,nan
raw,setup3,0.7932549019607843,0.59403861003861,0.7108789461730639,0.469721767594108,0.6347419795575425,0.7685714285714286,0.6741573033707865,0.1492106033718649,0.456149306305199,0.4287359514651827,0.1695176282492983,euclidean,1.0,1.0,10.0,1.0,1.0,0.0282192397862672,0.0298275928944349,0.0129462555050849,0.1205585896968841,25.0,4.0,0.0,0.0847741581137834,results_rank_euclidean_a10_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_euclidean_a10_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_euclidean_a10_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_euclidean_a10_05152016_s60_c150_h384_l256,euclidean
raw,setup3-s,,,,,,0.3985714285714286,0.649438202247191,,-0.2727948600926244,-0.2268705469899585,,euclidean,1.0,1.0,10.0,1.0,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_euclidean_a10_05152016_s60_c150_h384_l256,euclidean
raw,setup4,0.8274509803921569,0.6117992277992279,0.7775001892648952,0.4877250409165303,0.6594068995146598,0.6321428571428571,0.5235955056179775,0.1563503766473886,0.4413267421417914,0.4103270639371093,0.1003694758543133,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_euclidean_a10_05152016_s60_c150_h384_l256,nan
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.4615384615384615,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.1476024332269031,0.4450355542121561,0.4376833484057679,0.0356278904014618,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_euclidean_a10_05152016_s60_c150_h384_l256,nan
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.2022471910112359,0.0384620274676543,0.3364881530149269,0.3309324234107262,0.0912718430243881,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_euclidean_a10_05152016_s60_c150_h384_l256,nan
combat,setup3,0.8186666666666667,0.6024401544401543,0.7389658566129155,0.502454991816694,0.655776028255722,0.7178571428571429,0.6022471910112359,0.1213918191892842,0.4373472255626676,0.4168062116317108,0.1621949317568503,euclidean,1.0,1.0,10.0,1.0,1.0,0.0247168447822332,0.0243324320763349,0.0088995583355426,0.1398639678955078,16.0,4.0,0.0,0.1574778477300072,results_rank_euclidean_a10_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_euclidean_a10_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_euclidean_a10_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_euclidean_a10_05152016_s60_c150_h384_l256,euclidean
combat,setup3-s,,,,,,0.6771428571428572,0.6696629213483146,,0.4254825339526696,0.4085927080982375,,euclidean,1.0,1.0,10.0,1.0,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_euclidean_a10_05152016_s60_c150_h384_l256,euclidean
combat,setup4,0.8193725490196079,0.6026872586872587,0.7428647134529488,0.4893617021276595,0.6810265520348894,0.6307142857142857,0.2269662921348314,0.169021924611028,0.4404453644874981,0.4166803186623043,0.0870438884190977,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_euclidean_a10_05152016_s60_c150_h384_l256,nan
