run_set,stage,version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_p
budget20_eff128,direct_full_downstream,raw,CN_to_MCI,2.0,direct_full_downstream,60,5.0,0.6436363636363637,0.3220338983050848,0.9137931034482758,,
budget20_eff128,direct_lora_downstream,raw,CN_to_MCI,2.0,direct_lora_downstream,60,5.0,0.6690909090909091,0.4406779661016949,0.8770063795853267,,
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_euclidean_finetune,60,5.0,0.3818181818181818,0.0517241379310344,0.7098641424162258,-0.3962445353767786,0.0374245472837022
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_euclidean_probe,60,5.0,0.4,0.0431034482758621,0.8189088021778583,-0.3777196348144871,0.0470824949698189
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_euclidean_s,60,5.0,0.5127272727272727,0.134303117433414,0.8232112556561081,-0.2672405432291533,0.1855130784708249
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_finetune,60,5.0,0.3527272727272727,0.0689655172413793,0.6332666013232049,-0.4256724084070825,0.0225352112676056
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_probe,60,5.0,0.3854545454545455,0.0547727272727273,0.7773467432950185,-0.3920213945841317,0.0289738430583501
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_s,60,5.0,0.6654545454545455,0.3793449815270936,0.913793103448276,-0.1118735970768262,0.4792756539235412
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_finetune,60,5.0,0.3672727272727273,0.0517241379310344,0.7740700129954506,-0.4108411271694325,0.0024144869215291
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_probe,60,5.0,0.4581818181818182,0.1228070175438596,0.8565584415584405,-0.3189937674520176,0.0370221327967806
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_s,60,5.0,0.6909090909090909,0.5254237288135593,0.8643596986817326,-0.0857537003629374,0.1372233400402414
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_regress_d_finetune,60,5.0,0.4218181818181818,0.1982758620689655,0.6842105263157895,-0.3551241837586906,0.0004024144869215
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_regress_d_probe,60,5.0,0.5672727272727273,0.2758620689655172,0.8362573099415205,-0.2104800447074895,0.1875251509054326
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,contrastive_regress_d_s,60,5.0,0.6799999999999999,0.4911066729323308,0.8699481974393521,-0.0979035493172799,0.3090543259557344
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,direct_logistic,60,5.0,0.3636363636363636,0.1563636363636363,0.576271186440678,-0.4144793575804639,0.0152917505030181
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,ridge_dhat_all,60,5.0,0.7781818181818182,0.5734247740563531,0.9419642857142856,,
budget20_eff128,frozen_feature,raw,CN_to_MCI,2.0,ridge_dhat_finetune,60,5.0,0.7781818181818182,0.5734247740563531,0.9419642857142856,0.0,2.0
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_euclidean_finetune,60,5.0,0.3818181818181818,0.0309510030864197,0.8481555451127818,-0.3954964674068802,0.0378269617706237
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_euclidean_probe,60,5.0,0.6654545454545455,0.3879310344827586,0.8982773497688752,-0.1131102129601353,0.0160965794768611
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_euclidean_s,60,5.0,0.5709090909090909,0.2401666666666666,0.8975400229536258,-0.2073119692887403,0.2696177062374245
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_finetune,60,5.0,0.4509090909090909,0.1348353976531942,0.8432918660287075,-0.3261354745536716,0.0305835010060362
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_probe,60,5.0,0.7236363636363636,0.4910714285714286,0.9269863636363632,-0.0545528174810788,0.3653923541247484
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_s,60,5.0,0.7272727272727273,0.4840287081339713,0.935672514619883,-0.050779210508556,0.4253521126760563
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_finetune,60,5.0,0.44,0.0535714285714286,0.8017241379310345,-0.3371290582380629,0.0309859154929577
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_probe,60,5.0,0.530909090909091,0.087719298245614,0.8975172675202155,-0.246146940278358,0.0740442655935613
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_s,60,5.0,0.6436363636363637,0.3062727272727273,0.9056140651801028,-0.1344513468378761,0.0603621730382293
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_regress_d_finetune,60,5.0,0.5345454545454545,0.2455533364661654,0.8305084745762712,-0.2425895887218488,0.0185110663983903
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_regress_d_probe,60,5.0,0.6181818181818182,0.3335136217948718,0.8660714285714286,-0.1600033726057361,0.0108651911468812
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,contrastive_regress_d_s,60,5.0,0.6690909090909091,0.3273205741626794,0.9090909090909092,-0.1090542644521136,0.1022132796780684
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,direct_logistic,60,5.0,0.3636363636363636,0.1563636363636363,0.576271186440678,-0.4144793575804639,0.0152917505030181
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,ridge_dhat_all,60,5.0,0.7781818181818182,0.5734247740563531,0.9419642857142856,,
budget20_eff128,lora_euclidean,raw,CN_to_MCI,2.0,ridge_dhat_finetune,60,5.0,0.7781818181818182,0.5734247740563531,0.9419642857142856,0.0,2.0
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_euclidean_finetune,60,5.0,0.3890909090909091,0.0,0.9051724137931036,-0.3888406768100644,0.0748490945674044
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_euclidean_probe,60,5.0,0.7090909090909091,0.5745454545454546,0.8348214285714286,-0.0688418254031691,0.193158953722334
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_euclidean_s,60,5.0,0.3236363636363636,0.1919723214285714,0.4582210242587601,-0.4557296756237987,0.000804828973843
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_finetune,60,5.0,0.4290909090909092,0.0689655172413793,0.9137931034482758,-0.3488460660496675,0.0772635814889336
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_probe,60,5.0,0.7272727272727273,0.5772562792677736,0.8727272727272727,-0.0506827118181036,0.1790744466800805
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_s,60,5.0,0.7709090909090909,0.6271186440677966,0.901661706349206,-0.007239101826048,0.8804828973843059
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_finetune,60,5.0,0.4036363636363637,0.0357142857142857,0.9066640986132471,-0.3741904359024371,0.0676056338028169
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_probe,60,5.0,0.5236363636363637,0.1637426900584795,0.896551724137931,-0.2544154616074091,0.1022132796780684
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_s,60,5.0,0.690909090909091,0.5172413793103448,0.8526785714285714,-0.0869791118052781,0.2764587525150905
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_regress_d_finetune,60,5.0,0.4872727272727272,0.1483484686609686,0.9224137931034484,-0.2897625911085012,0.0885311871227364
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_regress_d_probe,60,5.0,0.6763636363636364,0.456140350877193,0.8793103448275862,-0.1015226258782917,0.2048289738430583
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_regress_d_s,60,5.0,0.7236363636363637,0.5617283950617283,0.8714338951955051,-0.0552952509996278,0.4672032193158953
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,direct_logistic,60,5.0,0.3890909090909091,0.0835755942171036,0.7249193385763255,-0.3890202516978417,0.0020120724346076
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,ridge_dhat_all,60,5.0,0.7781818181818182,0.6428571428571428,0.9051724137931034,,
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,2.0,ridge_dhat_finetune,60,5.0,0.7781818181818182,0.6428571428571428,0.9051724137931034,0.0,2.0
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_euclidean_finetune,60,5.0,0.4436363636363636,0.1275837320574163,0.7241379310344828,-0.2987438673883675,0.0028169014084507
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_euclidean_probe,60,5.0,0.76,0.6072727272727273,0.9064327485380116,0.0178886145479591,0.7686116700201208
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_euclidean_s,60,5.0,0.2690909090909091,0.0730136363636364,0.5789473684210527,-0.4740836903638333,0.0197183098591549
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_finetune,60,5.0,0.3854545454545455,0.0467836257309941,0.8031557881773392,-0.3566832868179236,0.0414486921529175
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_probe,60,5.0,0.6763636363636364,0.4181818181818182,0.9239766081871346,-0.0650269085235839,0.152112676056338
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_s,60,5.0,0.6727272727272727,0.3559322033898305,0.9642857142857144,-0.0686269782328088,0.3496981891348089
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_finetune,60,5.0,0.4654545454545455,0.1052631578947368,0.8398392857142855,-0.2765015009804987,0.09738430583501
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_probe,60,5.0,0.5454545454545455,0.1673245614035088,0.861965055418719,-0.1969011983118859,0.1154929577464788
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_s,60,5.0,0.6654545454545454,0.3223944530046225,0.9396551724137931,-0.0759350352340355,0.3979879275653923
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_regress_d_finetune,60,5.0,0.44,0.09375,0.7882727272727259,-0.3019442332763588,0.0438631790744466
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_regress_d_probe,60,5.0,0.5781818181818181,0.1293103448275862,0.9310344827586208,-0.1637656781881385,0.2189134808853118
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_regress_d_s,60,5.0,0.7236363636363636,0.5172413793103448,0.9137931034482758,-0.0181371501964075,0.6301810865191146
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,direct_logistic,60,5.0,0.4472727272727273,0.2188368055555555,0.6762651515151513,-0.2953423784146416,0.0004024144869215
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,ridge_dhat_all,60,5.0,0.7418181818181817,0.5423978065802593,0.928763640873016,,
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,ridge_dhat_finetune,60,5.0,0.7418181818181817,0.5423978065802593,0.928763640873016,0.0,2.0
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_euclidean_finetune,60,5.0,0.4981818181818181,0.1607142857142857,0.8354239811912213,-0.2791268730642472,0.028169014084507
