run_set,stage,version,task_kind,task,method,n,n_positive,auc,ci_lo,ci_hi
budget20_eff128,direct_full_downstream,,dx3,CN_MCI_AD,direct_full_downstream,611,,0.6975822630816717,,
budget20_eff128,direct_lora_downstream,,dx3,CN_MCI_AD,direct_lora_downstream,611,,0.7003769452868696,,
budget20_eff128,frozen_feature,raw,dx3,CN_MCI_AD,baseline_raw,611,,0.6605365960924287,,
budget20_eff128,frozen_feature,raw,dx3,CN_MCI_AD,contrastive_euclidean_probe,611,,0.6356426557154489,,
budget20_eff128,frozen_feature,raw,dx3,CN_MCI_AD,contrastive_hybrid_basic_probe,611,,0.6213950464824728,,
budget20_eff128,frozen_feature,raw,dx3,CN_MCI_AD,contrastive_rank_kendall_basic_probe,611,,0.6466993161317854,,
budget20_eff128,frozen_feature,raw,dx3,CN_MCI_AD,contrastive_regress_d_probe,611,,0.6349352003739045,,
budget20_eff128,lora_euclidean,raw,dx3,CN_MCI_AD,baseline_raw,611,,0.66015695032645,,
budget20_eff128,lora_euclidean,raw,dx3,CN_MCI_AD,contrastive_euclidean_probe,611,,0.645475254705061,,
budget20_eff128,lora_euclidean,raw,dx3,CN_MCI_AD,contrastive_hybrid_basic_probe,611,,0.6223636155003124,,
budget20_eff128,lora_euclidean,raw,dx3,CN_MCI_AD,contrastive_rank_kendall_basic_probe,611,,0.6586911070690872,,
budget20_eff128,lora_euclidean,raw,dx3,CN_MCI_AD,contrastive_regress_d_probe,611,,0.6557871987091478,,
budget20_eff128,lora_hybrid_basic,raw,dx3,CN_MCI_AD,baseline_raw,611,,0.6441187587422889,,
budget20_eff128,lora_hybrid_basic,raw,dx3,CN_MCI_AD,contrastive_euclidean_probe,611,,0.5794796597249031,,
budget20_eff128,lora_hybrid_basic,raw,dx3,CN_MCI_AD,contrastive_hybrid_basic_probe,611,,0.5822535173986693,,
budget20_eff128,lora_hybrid_basic,raw,dx3,CN_MCI_AD,contrastive_rank_kendall_basic_probe,611,,0.6319483423795427,,
budget20_eff128,lora_hybrid_basic,raw,dx3,CN_MCI_AD,contrastive_regress_d_probe,611,,0.6156325379881421,,
budget20_eff128,lora_regress_d,raw,dx3,CN_MCI_AD,baseline_raw,611,,0.6622026990840694,,
budget20_eff128,lora_regress_d,raw,dx3,CN_MCI_AD,contrastive_euclidean_probe,611,,0.6175933133763535,,
budget20_eff128,lora_regress_d,raw,dx3,CN_MCI_AD,contrastive_hybrid_basic_probe,611,,0.6336826068285247,,
budget20_eff128,lora_regress_d,raw,dx3,CN_MCI_AD,contrastive_rank_kendall_basic_probe,611,,0.6342344104040686,,
budget20_eff128,lora_regress_d,raw,dx3,CN_MCI_AD,contrastive_regress_d_probe,611,,0.6242051598528175,,
old_full_20eff128_reference,full_euclidean,raw,dx3,CN_MCI_AD,baseline_raw,611,,0.6604339310128042,,
old_full_20eff128_reference,full_euclidean,raw,dx3,CN_MCI_AD,contrastive_euclidean_probe,611,,0.6281066916655772,,
old_full_20eff128_reference,full_euclidean,raw,dx3,CN_MCI_AD,contrastive_hybrid_basic_probe,611,,0.618827369269109,,
old_full_20eff128_reference,full_euclidean,raw,dx3,CN_MCI_AD,contrastive_rank_kendall_basic_probe,611,,0.6562280571159104,,
old_full_20eff128_reference,full_euclidean,raw,dx3,CN_MCI_AD,contrastive_regress_d_probe,611,,0.6548470085351216,,
old_full_20eff128_reference,full_hybrid_basic,raw,dx3,CN_MCI_AD,baseline_raw,611,,0.6201965471813914,,
old_full_20eff128_reference,full_hybrid_basic,raw,dx3,CN_MCI_AD,contrastive_euclidean_probe,611,,0.5936447604285895,,
old_full_20eff128_reference,full_hybrid_basic,raw,dx3,CN_MCI_AD,contrastive_hybrid_basic_probe,611,,0.6066685477116404,,
old_full_20eff128_reference,full_hybrid_basic,raw,dx3,CN_MCI_AD,contrastive_rank_kendall_basic_probe,611,,0.6087150699808349,,
old_full_20eff128_reference,full_hybrid_basic,raw,dx3,CN_MCI_AD,contrastive_regress_d_probe,611,,0.5990518314097937,,
old_full_20eff128_reference,full_regress_d,raw,dx3,CN_MCI_AD,baseline_raw,611,,0.6886152849602273,,
old_full_20eff128_reference,full_regress_d,raw,dx3,CN_MCI_AD,contrastive_euclidean_probe,611,,0.6731323374838989,,
old_full_20eff128_reference,full_regress_d,raw,dx3,CN_MCI_AD,contrastive_hybrid_basic_probe,611,,0.6767195623278793,,
old_full_20eff128_reference,full_regress_d,raw,dx3,CN_MCI_AD,contrastive_rank_kendall_basic_probe,611,,0.6799236629719122,,
old_full_20eff128_reference,full_regress_d,raw,dx3,CN_MCI_AD,contrastive_regress_d_probe,611,,0.669943867692127,,
budget20_eff128,direct_full_downstream,,dx_binary,CN_vs_AD,direct_full_downstream,352,102.0,0.8958039215686274,0.8599940455140791,0.9273666401059938
budget20_eff128,direct_lora_downstream,,dx_binary,CN_vs_AD,direct_lora_downstream,352,102.0,0.904235294117647,0.8714907909393571,0.934372710837716
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,baseline_raw,352,102.0,0.8600392156862745,0.8176084306060789,0.8973534707657049
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,contrastive_euclidean_probe,352,102.0,0.7683921568627451,0.7142726756970481,0.8176072143458681
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,contrastive_euclidean_s,352,102.0,0.5301568627450981,0.4645047037382837,0.5973440580822172
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,contrastive_hybrid_basic_probe,352,102.0,0.7425882352941177,0.686084094138135,0.7949331131253495
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,contrastive_hybrid_basic_s,352,102.0,0.6460784313725491,0.5803295626084032,0.7135589777280674
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,contrastive_rank_kendall_basic_probe,352,102.0,0.7693333333333333,0.7162694506936632,0.8189434996048038
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,contrastive_rank_kendall_basic_s,352,102.0,0.739764705882353,0.6820350760844217,0.7955963210026279
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,contrastive_regress_d_probe,352,102.0,0.7732549019607843,0.7218360145312933,0.8231423386611796
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,contrastive_regress_d_s,352,102.0,0.771843137254902,0.7185540026091081,0.8232514974438748
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,ridge_dhat_all,352,102.0,0.8257647058823531,0.7767458957016627,0.8708510701238523
budget20_eff128,frozen_feature,raw,dx_binary,CN_vs_AD,ridge_dhat_finetune,352,102.0,0.8257647058823531,0.7767458957016627,0.8708510701238523
budget20_eff128,lora_euclidean,raw,dx_binary,CN_vs_AD,baseline_raw,352,102.0,0.859686274509804,0.8172846910880985,0.8969485228769788
budget20_eff128,lora_euclidean,raw,dx_binary,CN_vs_AD,contrastive_euclidean_probe,352,102.0,0.8025490196078432,0.7524792613976461,0.8484221710597868
budget20_eff128,lora_euclidean,raw,dx_binary,CN_vs_AD,contrastive_euclidean_s,352,102.0,0.6032941176470588,0.5380030572334656,0.6686236384260799
budget20_eff128,lora_euclidean,raw,dx_binary,CN_vs_AD,contrastive_hybrid_basic_probe,352,102.0,0.7755294117647059,0.7252909846774531,0.8237501460158532
budget20_eff128,lora_euclidean,raw,dx_binary,CN_vs_AD,contrastive_hybrid_basic_s,352,102.0,0.7645882352941177,0.7125117846552114,0.8140737022797314
