version,task_kind,task,n,n_positive,method,auc,ci_lo,ci_hi,run_set
raw,dx_binary,CN_vs_AD,352,102,image_only,0.859686274509804,0.8172846910880985,0.8969485228769788,no_epoch_baseline
raw,dx_binary,CN_vs_AD,352,102,image+dhat,0.8563529411764704,0.8143130674738436,0.8952126848385267,no_epoch_baseline
raw,dx_binary,CN_vs_AD,352,102,dhat_only,0.8257254901960785,0.7766436144968576,0.870809469375625,no_epoch_baseline
raw,dx_binary,CN_vs_AD,352,102,image+dtrue,0.9602745098039216,0.9403719145676184,0.9770924552429668,no_epoch_baseline
raw,dx_binary,CN_vs_AD,352,102,dtrue_only,0.9346666666666666,0.9053202035040476,0.959883239319948,no_epoch_baseline
raw,dx_binary,CN_vs_MCI,509,259,image_only,0.5764787644787646,0.5284204908688557,0.6248688186920478,no_epoch_baseline
raw,dx_binary,CN_vs_MCI,509,259,image+dhat,0.5870424710424711,0.5390780976398739,0.6357270037751891,no_epoch_baseline
raw,dx_binary,CN_vs_MCI,509,259,dhat_only,0.5992586872586871,0.5508492180723265,0.6474524081548851,no_epoch_baseline
raw,dx_binary,CN_vs_MCI,509,259,image+dtrue,0.6791196911196911,0.6322217695147837,0.7241065039066816,no_epoch_baseline
raw,dx_binary,CN_vs_MCI,509,259,dtrue_only,0.7186718146718147,0.6732623253091929,0.7617209349360128,no_epoch_baseline
raw,dx_binary,MCI_vs_AD,361,102,image_only,0.7617912029676736,0.7090308284847106,0.8121467565446348,no_epoch_baseline
raw,dx_binary,MCI_vs_AD,361,102,image+dhat,0.7609205844499961,0.7072698506594329,0.8113229323589931,no_epoch_baseline
raw,dx_binary,MCI_vs_AD,361,102,dhat_only,0.7447952153834506,0.688363390765782,0.7986766598977408,no_epoch_baseline
raw,dx_binary,MCI_vs_AD,361,102,image+dtrue,0.8008554773260655,0.7537198472164286,0.8440765905444655,no_epoch_baseline
raw,dx_binary,MCI_vs_AD,361,102,dtrue_only,0.773525626466803,0.7197543320899341,0.8222354471008189,no_epoch_baseline
raw,conversion,MCI_to_AD_2y,65,14,image_only,0.6652661064425771,0.5168010954381753,0.8091715976331361,no_epoch_baseline
raw,conversion,MCI_to_AD_2y,65,14,image+dhat,0.7058823529411765,0.563993137254902,0.8355591016548464,no_epoch_baseline
raw,conversion,MCI_to_AD_2y,65,14,dhat_only,0.7549019607843137,0.6036342119419043,0.8838464431549538,no_epoch_baseline
raw,conversion,MCI_to_AD_2y,65,14,image+dtrue,0.7100840336134454,0.5714206349206349,0.8364779874213836,no_epoch_baseline
raw,conversion,MCI_to_AD_2y,65,14,dtrue_only,0.6624649859943977,0.4988168804755944,0.8108755641521599,no_epoch_baseline
raw,conversion,MCI_to_AD_3y,51,19,image_only,0.7648026315789473,0.6249894781144781,0.8824519137737528,no_epoch_baseline
raw,conversion,MCI_to_AD_3y,51,19,image+dhat,0.8042763157894737,0.6730025553177927,0.9126984126984128,no_epoch_baseline
raw,conversion,MCI_to_AD_3y,51,19,dhat_only,0.8157894736842105,0.6836384680134681,0.9274205993628036,no_epoch_baseline
raw,conversion,MCI_to_AD_3y,51,19,image+dtrue,0.7993421052631579,0.6677113553612805,0.9074074074074074,no_epoch_baseline
raw,conversion,MCI_to_AD_3y,51,19,dtrue_only,0.6858552631578947,0.5235554558745348,0.8397741312741311,no_epoch_baseline
raw,conversion,MCI_to_AD_4y,45,22,image_only,0.6561264822134387,0.4881411161302466,0.8125064300411522,no_epoch_baseline
raw,conversion,MCI_to_AD_4y,45,22,image+dhat,0.7154150197628459,0.5535695914168137,0.8611333333333331,no_epoch_baseline
raw,conversion,MCI_to_AD_4y,45,22,dhat_only,0.7628458498023716,0.6052631578947368,0.896551724137931,no_epoch_baseline
