version,task_kind,task,n,n_positive,method,auc,ci_lo,ci_hi,run_set
raw,diagnosis,CN_vs_AD,352,102.0,oracle_true_d,0.9346666666666666,0.9053202035040476,0.959883239319948,no_epoch_baseline
raw,diagnosis,CN_vs_AD,352,102.0,ridge_dhat_all,0.8257647058823531,0.7767458957016626,0.8708510701238522,no_epoch_baseline
raw,diagnosis,CN_vs_MCI,509,259.0,oracle_true_d,0.7186718146718147,0.6732623253091929,0.7617209349360128,no_epoch_baseline
raw,diagnosis,CN_vs_MCI,509,259.0,ridge_dhat_all,0.5992277992277992,0.5508351118433141,0.6474046307774614,no_epoch_baseline
raw,diagnosis,MCI_vs_AD,361,102.0,oracle_true_d,0.773525626466803,0.7197543320899341,0.8222354471008189,no_epoch_baseline
raw,diagnosis,MCI_vs_AD,361,102.0,ridge_dhat_all,0.7447573624044211,0.6883077783121682,0.7986757449511738,no_epoch_baseline
raw,dx_ordinal,CN<MCI<AD_spearman,611,,oracle_true_d,0.5549541316882647,,,no_epoch_baseline
raw,dx_ordinal,CN<MCI<AD_spearman,611,,ridge_dhat_all,0.3659550680498977,,,no_epoch_baseline
raw,conversion,MCI_to_AD_2y,65,14.0,oracle_true_d,0.6624649859943977,0.4988168804755944,0.8108755641521599,no_epoch_baseline
raw,conversion,MCI_to_AD_2y,65,14.0,ridge_dhat_all,0.7549019607843137,0.6036342119419043,0.8838464431549538,no_epoch_baseline
raw,conversion,MCI_to_AD_3y,51,19.0,oracle_true_d,0.6858552631578947,0.5235554558745348,0.8397741312741311,no_epoch_baseline
raw,conversion,MCI_to_AD_3y,51,19.0,ridge_dhat_all,0.8157894736842105,0.6836384680134681,0.9274205993628036,no_epoch_baseline
raw,conversion,MCI_to_AD_4y,45,22.0,oracle_true_d,0.6640316205533597,0.4859547430830039,0.816,no_epoch_baseline
raw,conversion,MCI_to_AD_4y,45,22.0,ridge_dhat_all,0.7628458498023716,0.6052631578947368,0.896551724137931,no_epoch_baseline
raw,conversion,CN_to_MCI_2y,60,5.0,oracle_true_d,0.6436363636363637,0.4295282131661442,0.8566468253968246,no_epoch_baseline
raw,conversion,CN_to_MCI_2y,60,5.0,ridge_dhat_all,0.7781818181818182,0.5734247740563531,0.9419642857142856,no_epoch_baseline
raw,conversion,CN_to_MCI_3y,49,9.0,oracle_true_d,0.5777777777777778,0.4136067193675889,0.7393135435992583,no_epoch_baseline
raw,conversion,CN_to_MCI_3y,49,9.0,ridge_dhat_all,0.65,0.4679487179487179,0.8277777777777778,no_epoch_baseline
raw,conversion,CN_to_MCI_4y,42,9.0,oracle_true_d,0.5858585858585859,0.4120234204793028,0.7551020408163265,no_epoch_baseline
raw,conversion,CN_to_MCI_4y,42,9.0,ridge_dhat_all,0.6498316498316499,0.452095588235294,0.8215524615524616,no_epoch_baseline
